Primary Sequence Name	Sequence Code	Sequence Description	Log(Ratio)	Fold Change	P-value	Intensity1	Intensity2
NUDT4	212183_at	nudix (nucleoside diphosphate linked moiety X)-type motif 4	-0.48	-3.04	0.003	0.53	0.17
SNX1	214531_s_at	sorting nexin 1	-0.48	-3.03	0.002	0.44	0.14
213610_s_at	213610_s_at	Sapiens, clone IMAGE:3354344, mRNA, partial cds	-0.42	-2.64	0.005	0.18	0.07
VAV3	218806_s_at	vav 3 oncogene	-0.40	-2.53	0.004	0.35	0.14
52285_f_at	52285_f_at	Cluster Incl. AW002970:wr03h11.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2480517 /clone_end=3  /gb=AW002970 /gi=5849976 /ug=Hs.236940 /len=570	-0.36	-2.27	0.000	0.25	0.11
MARCKS	201669_s_at	myristoylated alanine-rich protein kinase C substrate	-0.35	-2.25	0.001	0.29	0.13
NAP1L2	219368_at	nucleosome assembly protein 1-like 2	-0.34	-2.18	0.003	0.22	0.10
EVA1	203780_at	epithelial V-like antigen 1	-0.34	-2.17	0.000	0.45	0.20
PDE4DIP	214130_s_at	phosphodiesterase 4D interacting protein (myomegalin)	-0.32	-2.11	0.008	0.23	0.11
PHLDA1	217997_at	pleckstrin homology-like domain, family A, member 1	-0.32	-2.11	0.003	0.34	0.16
SOX9	202935_s_at	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal)	-0.32	-2.07	0.004	0.28	0.13
SEC24D	202375_at	SEC24 related gene family, member D (S. cerevisiae)	-0.31	-2.06	0.000	0.49	0.23
HBS1L	209314_s_at	HBS1-like (S. cerevisiae)	-0.29	-1.96	0.007	0.28	0.14
PHLDA1	217996_at	pleckstrin homology-like domain, family A, member 1	-0.29	-1.94	0.000	1.17	0.60
SAP30	204900_x_at	sin3-associated polypeptide, 30kDa	-0.27	-1.88	0.001	0.59	0.31
PSPHL	205048_s_at	phosphoserine phosphatase-like	-0.27	-1.86	0.002	0.27	0.15
PCAF	203845_at	p300/CBP-associated factor	-0.27	-1.86	0.000	0.63	0.34
MRPS31	212604_at	mitochondrial ribosomal protein S31	-0.26	-1.84	0.010	0.50	0.27
TMOD3	220800_s_at	tropomodulin 3 (ubiquitous)	-0.26	-1.83	0.001	0.46	0.25
NT5C2	209155_s_at	5-nucleotidase, cytosolic II	-0.26	-1.81	0.005	0.51	0.28
UBBP2	217125_at	Homo sapiens UBBP2 pseudogene for ubiquitin UBB.	-0.25	-1.80	0.009	0.56	0.31
LAMB1	201505_at	laminin, beta 1	-0.25	-1.77	0.001	0.38	0.21
CITED2	209357_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	-0.22	-1.67	0.000	1.32	0.78
PAPSS2	203060_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	-0.22	-1.67	0.000	1.34	0.80
