Gene name	Fold	Description (accession no.)	Function	Location
MGB2	10.4	Mammaglobin 2	Secretory proteins	Genes up-regulated in EECs
LTF	6.5	Lactotransferrin	Secretory proteins	Genes up-regulated in EECs
END3	2.4	Endothelin 3	Secretory proteins	Genes up-regulated in EECs
END1	2.1	Endothelin 1	Secretory proteins	Genes up-regulated in EECs
CTNNA2	2.3	Catenin (cadherin-associated protein), alpha2	Cell adhesion	Genes up-regulated in EECs
SMAC	2.1	Second mitochondrion-derived activator of caspase	Cell death	Genes up-regulated in EECs
HSPG2	2.5	Heparan sulfate proteoglycan 2 (perlecan)	Extracellular matrix	Genes up-regulated in EECs
MMP11	2.1	Matrix metalloproteinase 11 (stromelysin 3)	Extracellular matrix	Genes up-regulated in EECs
LTB	2.1	Lymphotoxin ß (TNF superfamily, member 3)	Immune response/cytokines	Genes up-regulated in EECs
GAD1	3.2	Glutamate decarboxylase 1 (brain, 67 kDa)	Metabolism	Genes up-regulated in EECs
LBC	2.2	Lymphoid blast crisis oncogene	Oncogene	Genes up-regulated in EECs
RBP1	3.1	Retinol-binding protein 1, cellular	Transport	Genes up-regulated in EECs
NFYC	3.9	Nuclear transcription factor Y, gamma	Transcription- related	Genes up-regulated in EECs
HOXB5	3.8	Homeobox B5	Transcription- related	Genes up-regulated in EECs
TCF4	2.6	Transcription factor 4	Transcription- related	Genes up-regulated in EECs
NCOR1	2.2	Nuclear receptor corepressor 1	Transcription- related	Genes up-regulated in EECs
CHD3	2.2	Chromodomain helicase DNA-binding protein 3	Transcription- related	Genes up-regulated in EECs
REST	2.1	RE1-silencing transcription factor	Transcription- related	Genes up-regulated in EECs
PPAP2C	3.1	Phosphatidic acid phosphatase type 2C	Basic cellular function	Genes up-regulated in EECs
TXK	2.1	TXK tyrosine kinase	Basic cellular function	Genes up-regulated in EECs
ESTs	2.9	ESTs (AA676649)	Miscellaneous	Genes up-regulated in EECs
ESTs	2.6	ESTs (AI018619)	Miscellaneous	Genes up-regulated in EECs
ESTs	2.5	ESTs (AI249026)	Miscellaneous	Genes up-regulated in EECs
ESTs	2.4	ESTs (H81275)	Miscellaneous	Genes up-regulated in EECs
