Affy Id	Unigene Id	Mean intensity of  Solid PCT	Mean intensity of TC-PCT	Fold difference	Description	Gene Symbol
100155_at	Mm.5021	662.7	204.8	3.236	Discoidin domain receptor family, member 1	Ddr1
101842_g_at	Mm.8534	214.1	84.1	2.546	RIKEN cDNA E230015J15 gene	Egfr
104265_at	Mm.285	505.1	149.2	3.385	Kinase insert domain protein receptor	Kdr
104417_at	Mm.22574	1699.3	247	6.88	Colony stimulating factor 1 receptor	Csf1r
160867_at	Mm.3291	681.3	155.8	4.373	FMS-like tyrosine kinase 4	Flt4
161832_r_at	Mm.4146	295	61.1	4.828	Platelet derived growth factor receptor, beta polypeptide	Pdgfrb
92194_at	Mm.3401	58.9	17.4	3.385	Proprotein convertase subtilisin/kexin type 5	Pcsk5
95079_at	Mm.3464	513.1	181.4	2.829	FMS-like tyrosine kinase 1	Flt1
98453_at	Mm.3464	454.3	88.2	5.151	FMS-like tyrosine kinase 1	Flt1
99956_at	Mm.247073	392.2	83.1	4.72	Kit oncogene	Kit
92210_at	Mm.3425	503.5	69.3	7.266	Angiopoietin 2	Angpt2
100569_at	Mm.238343	4335.2	135.9	31.9	Annexin A2	Anxa2
99638_at	Mm.4352	2718.2	301.7	9.01	Procollagen, type XVIII, alpha 1	Col18a1
100134_at	Mm.225297	5767.4	719.6	8.015	Endoglin	Eng
102698_at	Mm.1415	423.8	173.8	2.438	Endothelial PAS domain protein 1	Epas1
92365_at	Mm.297978	212.4	84.2	2.523	C-fos induced growth factor	Figf
93294_at	Mm.1810	1606.1	16.3	98.534	Connective tissue growth factor	Ctgf
98453_at	Mm.3464	454.3	88.2	5.151	FMS-like tyrosine kinase 1	Flt1
104265_at	Mm.285	505.1	149.2	3.385	Kinase insert domain protein receptor	Kdr
99993_at	Mm.4487	900	128.3	7.015	Alanyl (membrane) aminopeptidase	Anpep
95016_at	Mm.271745	967.6	49.6	19.508	RIKEN cDNA D030005H02 gene	Nrp1
94932_at	Mm.2675	1257.2	387.7	3.243	Platelet derived growth factor, alpha	Pdgfa
160489_at	Mm.255332	976.2	177.8	5.49	Tumor necrosis factor, alpha-induced protein 2	Tnfaip2
