Kegg Pathway	Pathway description	Gene symbol	Parametric p-value	Hazard Ratio
hsa00190	Oxidative phosphorylation	ATP5D	0.0001609	0.521
hsa00190	Oxidative phosphorylation	SDHB	0.0051689	1.735
hsa00190	Oxidative phosphorylation	TCIRG1	0.0055923	0.629
hsa00190	Oxidative phosphorylation	ATP6V0D2	0.0093856	0.498
hsa00190	Oxidative phosphorylation	ATP5O	0.0218396	1.363
hsa00190	Oxidative phosphorylation	COX10	0.0267999	1.419
hsa00190	Oxidative phosphorylation	ATP5A1	0.0292829	0.576
hsa00190	Oxidative phosphorylation	NDUFC2	0.03277	1.403
hsa00190	Oxidative phosphorylation	ATP5L	0.0419219	0.59
hsa00190	Oxidative phosphorylation	COX11	0.0577921	1.357
hsa00190	Oxidative phosphorylation	NDUFS8	0.08187	0.763
hsa00190	Oxidative phosphorylation	COX7A2L	0.0818861	1.266
hsa00190	Oxidative phosphorylation	NDUFAB1	0.094585	1.24
hsa00190	Oxidative phosphorylation	UQCRFS1	0.0957712	1.253
hsa00190	Oxidative phosphorylation	UQCRB	0.1294919	0.764
hsa00190	Oxidative phosphorylation	COX7A1	0.1379459	1.175
hsa00190	Oxidative phosphorylation	ATP6V0A4	0.1423581	0.726
hsa00190	Oxidative phosphorylation	NDUFA5	0.1484553	1.386
hsa00190	Oxidative phosphorylation	COX4I1	0.1636398	0.792
hsa00190	Oxidative phosphorylation	COX6B2	0.174291	0.728
hsa00190	Oxidative phosphorylation	ATP5E	0.2422558	1.206
hsa00190	Oxidative phosphorylation	NDUFB5	0.2461628	1.172
hsa00190	Oxidative phosphorylation	ATP5I	0.2590241	1.161
hsa00190	Oxidative phosphorylation	NDUFA8	0.2821058	1.148
hsa00190	Oxidative phosphorylation	UQCRQ	0.294366	1.125
hsa00190	Oxidative phosphorylation	ATP5B	0.3092357	1.226
hsa00190	Oxidative phosphorylation	ATP6V0D1	0.3243637	0.809
hsa00190	Oxidative phosphorylation	NDUFA3	0.3296956	0.752
hsa00190	Oxidative phosphorylation	ATP12A	0.3402214	0.871
hsa00190	Oxidative phosphorylation	ATP6V1B1	0.3465936	0.944
hsa00190	Oxidative phosphorylation	NDUFA10	0.3569431	1.213
hsa00190	Oxidative phosphorylation	COX7C	0.3670291	1.134
hsa00190	Oxidative phosphorylation	ATP6V1G1	0.3765014	1.122
hsa00190	Oxidative phosphorylation	CYC1	0.3774871	0.896
hsa00190	Oxidative phosphorylation	ATP6V0E1	0.3802968	1.2
hsa00190	Oxidative phosphorylation	PPA2	0.380846	0.835
hsa00190	Oxidative phosphorylation	COX8A	0.3914268	0.816
hsa00190	Oxidative phosphorylation	ATP6V1A	0.4021495	1.098
hsa00190	Oxidative phosphorylation	NDUFB1	0.4235249	1.09
hsa00190	Oxidative phosphorylation	NDUFA2	0.4359772	1.091
hsa00190	Oxidative phosphorylation	ATP6AP1	0.4369988	0.882
hsa00190	Oxidative phosphorylation	NDUFB8	0.4435279	0.86
hsa00190	Oxidative phosphorylation	COX7B2	0.445474	0.926
hsa00190	Oxidative phosphorylation	ATP6V0A1	0.4506295	0.796
hsa00190	Oxidative phosphorylation	NDUFB6	0.4521654	1.103
hsa00190	Oxidative phosphorylation	ATP6V1D	0.4573615	1.163
hsa00190	Oxidative phosphorylation	ATP6V1E1	0.4594096	0.833
hsa00190	Oxidative phosphorylation	ATP6V0C	0.4777343	1.104
hsa00190	Oxidative phosphorylation	NDUFA1	0.4806423	1.107
hsa00190	Oxidative phosphorylation	NDUFA7	0.4947256	1.098
hsa00190	Oxidative phosphorylation	SDHC	0.500646	1.11
hsa00190	Oxidative phosphorylation	NDUFV1	0.5115488	0.901
hsa00190	Oxidative phosphorylation	COX7A2	0.5132289	1.084
hsa00190	Oxidative phosphorylation	NDUFS2	0.5187204	1.149
hsa00190	Oxidative phosphorylation	ATP5G1	0.5194818	1.11
hsa00190	Oxidative phosphorylation	COX6A2	0.5395025	0.903
hsa00190	Oxidative phosphorylation	ATP6V0B	0.5414005	0.922
hsa00190	Oxidative phosphorylation	ATP6V1F	0.5576283	1.136
hsa00190	Oxidative phosphorylation	NDUFB10	0.5621521	0.902
hsa00190	Oxidative phosphorylation	ATP5F1	0.6088452	0.914
hsa00190	Oxidative phosphorylation	ATP6V1G3	0.6225898	0.929
hsa00190	Oxidative phosphorylation	COX6B1	0.6240261	1.11
hsa00190	Oxidative phosphorylation	NDUFS1	0.6335909	0.911
hsa00190	Oxidative phosphorylation	NDUFB4	0.6412158	1.094
hsa00190	Oxidative phosphorylation	NDUFV3	0.6418396	1.105
hsa00190	Oxidative phosphorylation	PPA1	0.6475235	0.943
hsa00190	Oxidative phosphorylation	NDUFB2	0.6565809	1.064
hsa00190	Oxidative phosphorylation	ATP6V1H	0.6963155	0.928
hsa00190	Oxidative phosphorylation	NDUFS6	0.7116478	1.066
hsa00190	Oxidative phosphorylation	NDUFA13	0.7244117	1.051
hsa00190	Oxidative phosphorylation	NDUFC1	0.7439185	1.058
hsa00190	Oxidative phosphorylation	ATP6V1C2	0.7493165	0.95
hsa00190	Oxidative phosphorylation	ATP5G2	0.7584081	1.068
