Symbol	Name	Median ratio	Locus link ID
CD24	CD24 molecule	11.03	934
HOP	Homeodomain-only protein	6.89	84525
TncRNA	Trophoblast-derived non-coding RNA	6.16	283131
TTC9	Tetratricopeptide repeat domain 9	5.62	23508
RSN	Restin	5.53	6249
CCNG2	Cyclin G2	5.38	901
CD24	CD24 molecule	5.22	934
GRHL1	Grainyhead-like 1 (Drosophila)	4.94	29841
FLJ21511	Hypothetical protein FLJ21511	4.83	80157
RCOR1	REST corepressor 1	4.77	23186
ELL2	Elongation factor, RNA polymerase II, 2	4.56	22936
KRT17	Keratin 17	4.4	3872
LIG4	Ligase IV, DNA, ATP-dependent	4.37	3981
SERPINB1	Serpin peptidase inhibitor, clade B (ovalbumin), member 1	4.3	1992
IDI1	Isopentenyl-diphosphate delta isomerase 1	4.28	3422
KRT17	Keratin 17	4.27	3872
MAST4	Microtubule associated serine/threonine kinase 4	4.26	23227
CD46	CD46 molecule, complement regulatory protein	4.23	4179
DCK	Deoxycytidine kinase	4.22	1633
OTUB2	OTU domain, ubiquitin aldehyde binding 2	4.21	78990
ADCYAP1R1	Adenylate cyclase activating polypeptide 1 receptor type I	4.14	117
GLO1	Glyoxalase I	4.13	2739
KLK10	Kallikrein-related peptidase 10	4.1	5655
VPS4B	Vacuolar protein sorting 4 homolog B (S. cerevisiae)	4.09	9525
CAPN2	Calpain 2, (m/II) large sub-unit	4.07	824
ZMPSTE24	Zinc metallopeptidase (STE24 homolog, yeast)	4.05	10269
RWDD3	RWD domain containing 3	4.02	25950
SFRS5	Splicing factor, arginine/serine-rich 5	4.02	6430
MAL2	Mal, T-cell differentiation protein 2	4.01	114569
UGP2	UDP-glucose pyrophosphorylase 2	3.96	7360
GALNT1	GalNAcTransferase 1	3.92	2589
MAP3K7IP2	Mitogen-activated protein kinase kinase kinase 7 interacting protein 2	3.92	23118
RAB27B	RAB27B, member RAS oncogene family	3.87	5874
LGALS3	Lectin, galactoside-binding, soluble, 3 (galectin 3)	3.86	3958
ITGB8	Integrin, beta 8	3.81	3696
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific)	3.77	1999
DSC2	Desmocollin 2	3.76	1824
TWF1	Twinfilin, actin-binding protein, homolog 1 (Drosophila)	3.75	5756
DLD	Dihydrolipoamide dehydrogenase	3.75	1738
IDI1	Isopentenyl-diphosphate delta isomerase 1	3.75	3422
ANXA1	Annexin A1	3.74	301
DSP	Desmoplakin	3.73	1832
UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	3.71	7336
FAM107B	Family with sequence similarity 107, member B	3.7	83641
DSG2	Desmoglein 2	3.66	1829
RNF11	Ring finger protein 11	3.64	26994
MRPL19	Mitochondrial ribosomal protein L19	3.63	9801
PDCD10	Programmed cell death 10	3.63	11235
SASH1	SAM and SH3 domain containing 1	3.57	23328
UGP2	UDP-glucose pyrophosphorylase 2	3.55	7360
