PC-SPES	DES	Gene description	Probe set
1.52	-3.65	Kallikrein 3 (prostate specific antigen – PSA)	1514_;g_at
1.23	-1.18	Prostate differentiation factor	1890_at
1.16	1.01	Six transmembrane epithelial antigen of the prostate	40297_at
1.08	-1.26	Prostate cancer overexpressed gene 1	33708_at
1.06	-1.15	Putative prostate cancer tumor suppressor	36852_at
1.05	-1.01	Prostate tumor overexpressed gene 1	40955_at
1.03	1.05	Putative prostate cancer susceptibility protein	39367_at
-1.03	-1.08	G antigen, family B, 1 (prostate associated)	32997_at
-1.03	1.05	Kangai 1 (suppression of tumorigenicity 6, prostate)	32247_at
-1.04	1.19	Clusterin (testosterone-repressed prostate message 2)	36780_at
-1.11	1.11	Acid phosphatase, prostate	32200_at
-1.13	1.13	Folate hydrolase (prostate-specific membrane antigen) 1	1740_g_at
