Up in Het	Gene Name	Gene Symbol	p53mA	p53mB	p53hetA	p53hetB	Mean Diff
1415693_at	Der1-like domain family, member 1	Derl1	6.60	6.83	7.61	8.17	-1.17
1415694_at	tryptophanyl-tRNA synthetase	Wars	5.36	5.88	7.10	7.28	-1.57
1415755_a_at	ubiquitin-conjugating enzyme E2 variant 1	Ube2v1	6.41	6.41	7.52	7.93	-1.31
1415768_a_at	ubiquitin-conjugating enzyme E2R 2	Ube2r2	8.61	8.69	10.12	10.04	-1.43
1415802_at	solute carrier family 16 (monocarboxylic acid transporters), member 1	Slc16a1	8.03	8.32	9.30	9.43	-1.18
1415864_at	2,3-bisphosphoglycerate mutase	Bpgm	7.96	8.06	8.86	9.45	-1.14
1415908_at	testis-specific protein, Y-encoded-like 1	Tspyl1	8.96	8.48	10.05	10.33	-1.46
1415941_s_at	expressed sequence AA407930	AA407930	7.84	7.70	9.14	8.75	-1.17
1416046_a_at	fucosidase, alpha-L- 2, plasma	Fuca2	5.84	5.33	7.10	7.00	-1.46
1416072_at	CD34 antigen	Cd34	9.49	9.04	10.54	11.44	-1.73
1416125_at	FK506 binding protein 5	Fkbp5	7.80	7.60	8.84	9.16	-1.30
1416126_at	RNA polymerase 1-2	Rpo1-2	6.13	6.09	7.76	8.31	-1.92
1416136_at	matrix metalloproteinase 2	Mmp2	5.31	3.82	6.97	6.96	-2.39
1416151_at	splicing factor, arginine/serine-rich 3 (SRp20)	Sfrs3	4.74	4.49	5.31	6.02	-1.06
1416152_a_at	splicing factor, arginine/serine-rich 3 (SRp20)	Sfrs3	6.01	6.26	7.37	8.36	-1.73
1416166_a_at	peroxiredoxin 4	Prdx4	9.05	8.89	9.83	10.29	-1.09
1416175_a_at	voltage-dependent anion channel 3	Vdac3	10.51	10.71	11.45	11.86	-1.04
1416187_s_at	proline-rich nuclear receptor coactivator 2	Pnrc2	9.36	9.41	10.86	10.52	-1.31
