Gene symbol	Gene title	GenBank ID	UniGene ID	Fold change	q value
ACADL	acyl-coenzyme A dehydrogenase, long chain	AI367275	Hs.430108	2.107525975	0.028968
ACSL3	acyl-CoA synthetase long-chain family member 3	AL525798	Hs.268012	2.030415626	0.036416
AKAP1	A kinase (PRKA) anchor protein 1	BC000729	Hs.78921	2.374450908	0.035784
ALCAM	activated leukocyte adhesion molecule	AA156721	Hs.150693	0.4909	0.036416
ALDH1A2	aldehyde dehydrogenase 1 family, member A2	NM_003888	Hs.435689	–2.9995	0.020632
AP1M2	adaptor-related protein complex 1, mu 2 subunit	NM_005498	Hs.18894	2.361832782	0.017815
AP1S2	adaptor-related protein complex 1, sigma 2 subunit	AA205444	Hs.121592	0.44094	0.022774
APG7L	APG7 autophagy 7-like (S. cerevisiae)	BC000091	Hs.38032	2.022040239	0.017815
AR	androgen receptor	AF162704	Hs.99915	–2.11902	0.020632
ARHGAP26	Rho GTPase activating protein 26	AI768563	Hs.132942	2.458331285	0.028428
ATBF1	AT-binding transcription factor 1	NM_006885	Hs.108806	2.364457475	0.028968
BCAT1	branched chain aminotransferase 1, cytosolic	AL390172	Hs.438993	2.908583229	0.046272
CD24	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	M58664	Hs.375108	2.129970819	0.028968
CD2AP	CD2-associated protein	NM_012120	Hs.374340	2.082509007	0.028968
CD47	CD47 antigen (Rh-related antigen, integrin- associated signal transducer)	BG230614	Hs.446414	2.348520432	0.020632
CDC2	cell division cycle 2, G1 to S and G2 to M	D88357	Hs.334562	2.103934357	0.035784
CDCP1	CUB domain-containing protein 1	NM_022842	Hs.146170	2.146153021	0.018863
CFTR	cystic fibrosis transmembrane conductance regulator	NM_000492	Hs.411882	2.827494557	0.039344
CXADR	coxsackie virus and adenovirus receptor	NM_001338	Hs.79187	2.170609941	0.027545
CXCL1	chemokine (C-X-C motif) ligand 1	NM_001511	Hs.789	7.175660161	0.035784
CXCL5	chemokine (C-X-C motif) ligand 5	AK026546	Hs.89714	9.875567845	0.041008
CYBA	cytochrome b-245, alpha polypeptide	NM_000101	Hs.68877	2.008516108	0.041008
EHF	Ets homologous factor	AI763378	Hs.200228	2.216017374	0.017815
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific)	U73844	Hs.67928	2.237036374	0.036416
FGFR3	fibroblast growth factor receptor 3	NM_000142	Hs.1420	2.070264787	0.041008
GAS7	growth arrest-specific 7	BC001152	Hs.462214	2.084810074	0.036416
GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)	NM_000161	Hs.86724	2.012355865	0.028968
GRIA2	glutamate receptor, ionotropic, AMPA 2	BE219628	Hs.335051	5.0530571	0.022774
HCLS1	hematopoietic cell-specific Lyn substrate 1	NM_005335	Hs.14601	2.248858704	0.036416
HDAC9	histone deacetylase 9	NM_014707	Hs.487662	2.35977063	0.028968
HES1	hairy and enhancer of split 1, (Drosophila)	NM_005524	Hs.250666	2.089252883	0.036416
HIPK2	Homeodomain interacting protein kinase 2	BF218115	Hs.397465	2.538908777	0.0372
HLA-DMB	major histocompatibility complex, class II, DM beta	NM_002118	Hs.1162	2.393260578	0.035784
HOXA5	homeo box A5	NM_019102	Hs.37034	–4.82313	0.033765
HOXB7	homeo box B7	S49765	Hs.436181	2.171081198	0.027545
HP	haptoglobin	NM_005143	Hs.403931	3.062411956	0.028968
IER3	immediate early response 3	NM_003897	Hs.76095	4.072158651	0.027545
ITGA8	integrin, alpha 8	AI193623	Hs.171025	2.030333178	0.039344
KLF5	Kruppel-like factor 5 (intestinal)	AF132818	Hs.84728	2.276659685	0.033765
KRT18	keratin 18	NM_000224	Hs.406013	2.208041688	0.020632
KRT19	keratin 19	NM_002276	Hs.309517	3.054927598	0.020632
KRT8	keratin 8	U76549	Hs.356123	2.115864754	0.020632
LYPLA1	lysophospholipase I	BG288007	Hs.446676	2.297371807	0.028968
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	NM_002358	Hs.79078	2.217196577	0.036416
MET	met proto-oncogene (hepatocyte growth factor receptor)	BG170541	Hs.419124	2.224446669	0.041008
MSX2	msh homeo box homolog 2 (Drosophila)	D89377	Hs.89404	2.602269179	0.035784
MUC1	mucin 1, transmembrane	NM_002456	Hs.89603	2.786524368	0.020632
NR4A1	nuclear receptor subfamily 4, group A, member 1	D85245	Hs.1119	2.227270702	0.027545
PAK7	p21(CDKN1A)-activated kinase 7	AB040812	Hs.32539	2.983560581	0.041008
PDLIM1	PDZ and LIM domain 1 (elfin)	BC000915	Hs.75807	2.013449845	0.028968
PGK1	phosphoglycerate kinase 1	AA069778	Hs.78771	2.33628484	0.026722
PRIM2A	primase, polypeptide 2A, 58 kDa	NM_000947	Hs.440603	2.169762194	0.028968
PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta	NM_002736	Hs.77439	2.030992952	0.041008
PTPRF	protein tyrosine phosphatase, receptor type, F	NM_002840	Hs.75216	2.164877035	0.033765
RCP	RAB11 family interacting protein 1 (class I)	NM_025151	Hs.96125	0.45633	0.029329
REN	renin	NM_000537	Hs.3210	14.94991778	0.028968
RIPK2	receptor-interacting serine-threonine kinase 2	AF027706	Hs.103755	2.104421389	0.027545
SAT	spermidine/spermine N1-acetyltransferase	BE971383	Hs.28491	2.2573873	0.049421
SCNN1A	sodium channel, nonvoltage-gated 1 alpha	NM_001038	Hs.130989	2.395783421	0.028968
SCNN1G	sodium channel, nonvoltage-gated 1, gamma	AI985987	Hs.145645	2.499625056	0.029329
SGK	serum/glucocorticoid regulated kinase	NM_005627	Hs.296323	3.082899158	0.041008
SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	AK025062	Hs.110736	2.147996993	0.046272
SLC9A3R1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	NM_004252	Hs.396783	4.064544974	0.028968
SLPI	secretory leukocyte protease inhibitor (antileukoproteinase)	NM_003064	Hs.251754	2.319808848	0.036416
STRA13	stimulated by retinoic acid 13	U95006	Hs.37616	0.34603	0.035784
TAX1BP1	Tax1 (human T-cell leukemia virus type I) binding protein 1	AI935415	Hs.5437	2.080169742	0.020632
THBD	thrombomodulin	NM_000361	Hs.2030	2.185314685	0.035784
TNFRSF6B	tumor necrosis factor receptor superfamily, member 6b	NM_003823	Hs.434878	2.543687839	0.020632
TPD52L1	tumor protein D52-like 1	AF208012	Hs.16611	2.433030827	0.028968
