Symbol	Description
ABHD6	abhydrolase domain containing 6
ABLIM1	actin binding lim protein 1
ACADL	acyl-coenzyme a dehydrogenase, long chain
ACAT1	acetyl-coenzyme a acetyltransferase 1 (acetoacetyl coenzyme a thiolase)
ADAMTS1	adam metallopeptidase with thrombospondin type 1 motif, 1
ADH1C	alcohol dehydrogenase 1a (class i), alpha polypeptide
ADM	adrenomedullin
ADRB2	adrenergic, beta-2-, receptor, surface
AGTR1	angiotensin ii receptor, type 1
AHNAK	ahnak nucleoprotein (desmoyokin)
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
ALDOC	aldolase c, fructose-bisphosphate
ANG	angiogenin, ribonuclease, rnase a family, 5
ANXA11	annexin a11
APOB	apolipoprotein b (including ag(x) antigen)
APOLD1	apolipoprotein l domain containing 1
AQP7	aquaporin 7
AREG	amphiregulin (schwannoma-derived growth factor)
ARHGEF15	rho guanine nucleotide exchange factor (gef) 15
ARID5B	at rich interactive domain 5b (mrf1-like)
ARIH1	ariadne homolog
ARPP-19	cyclic amp phosphoprotein, 19 kd
ATP6V1E1	atpase, h+ transporting, lysosomal 31kda, v1 subunit e1
AVPI1	arginine vasopressin-induced 1
BAG3	bcl2-associated athanogene 3
BCAP31	b-cell receptor-associated protein 31
BCL2	b-cell cll/lymphoma 2
BCL2A1	bcl2-related protein a1
BCL2L13	bcl2-like 13 (apoptosis facilitator)
BCL7B	b-cell cll/lymphoma 7b
BHMT2	betaine-homocysteine methyltransferase 2
BNIP3L	bcl2/adenovirus e1b 19kda interacting protein 3-like
BTG2	btg family, member 2
C14orf139	chromosome 14 open reading frame 139
C20orf30	chromosome 20 open reading frame 30
C21orf25	chromosome 21 open reading frame 25
C6	complement component 6
C6orf145	chromosome 6 open reading frame 145
CABC1	chaperone, abc1 activity of bc1 complex like (s. pombe)
CAPN2	calpain 2, (m/ii) large subunit
CAV2	caveolin 2
CCDC69	coiled-coil domain containing 69
CCNH	cyclin h
CD151	cd151 antigen (raph blood group)
CD59	cd59 antigen, complement regulatory protein
CDC37L1	cdc37 cell division cycle 37 homolog (s. cerevisiae)-like 1
CDC42EP2	cdc42 effector protein (rho gtpase binding) 2
CDKN1A	cyclin-dependent kinase inhibitor 1a (p21, cip1)
CDKN1C	cyclin-dependent kinase inhibitor 1c (p57, kip2)
CDV3	cdv3 homolog (mouse)
CEBPB	ccaat/enhancer binding protein (c/ebp), beta
CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)
CFLAR	casp8 and fadd-like apoptosis regulator
CHP	calcium binding protein p22
CHPT1	choline phosphotransferase 1
CIDEA	cell death-inducing dffa-like effector a
CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)
CLMN	calmin (calponin-like, transmembrane)
CLSTN2	calsyntenin 2
COBLL1	cobl-like 1
COL4A3BP	collagen, type iv, alpha 3 (goodpasture antigen) binding protein
CPM	carboxypeptidase m
CREBL2	camp responsive element binding protein-like 2
CRIM1	cysteine rich transmembrane bmp regulator 1 (chordin-like)
CRK	v-crk sarcoma virus ct10 oncogene homolog (avian)
CRYAB	crystallin, alpha b
CSDA	cold shock domain protein a
CSF3	colony stimulating factor 3 (granulocyte)
CSF3R	colony stimulating factor 3 receptor (granulocyte)
CSN1S1	casein alpha s1
CXCL2	chemokine (c-x-c motif) ligand 2
CYB5R1	cytochrome b5 reductase 1
CYP4B1	cytochrome p450, family 4, subfamily b, polypeptide 1
DAPK2	death-associated protein kinase 2
DDR1	discoidin domain receptor family, member 1
DHRS3	dehydrogenase/reductase (sdr family) member 3
DIXDC1	dix domain containing 1
DLC1	deleted in liver cancer 1
DNAJB12	dnaj (hsp40) homolog, subfamily b, member 12
DSG2	desmoglein 2
DUSP1	dual specificity phosphatase 1
DUSP3	dual specificity phosphatase 3 (vaccinia virus phosphatase vh1-related)
ECHDC3	enoyl coenzyme a hydratase domain containing 3
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
EIF1	eukaryotic translation initiation factor 1
EIF4EBP2	eukaryotic translation initiation factor 4e binding protein 2
EIF5	eukaryotic translation initiation factor 5
EPAS1	endothelial pas domain protein 1
EPB49	erythrocyte membrane protein band 4.9 (dematin)
EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)
EPS8	epidermal growth factor receptor pathway substrate 8
ETF1	eukaryotic translation termination factor 1
ETS2	v-ets erythroblastosis virus e26 oncogene homolog 2 (avian)
FADS3	fatty acid desaturase 3
FAM107A	family with sequence similarity 107, member a
FAM62A	family with sequence similarity 62 (c2 domain containing), member a
FCGR3B	fc fragment of igg, low affinity iiib, receptor (cd16b)
FCN3	ficolin (collagen/fibrinogen domain containing) 3 (hakata antigen)
FGF1	fibroblast growth factor 1 (acidic)
FGF2	fibroblast growth factor 2 (basic)
FHL1	four and a half lim domains 1
FHL5	four and a half lim domains 5
FLJ20366	hypothetical protein flj20366
FLJ20581	hypothetical protein flj20581
FLJ22655	hypothetical protein flj22655
FOS	v-fos fbj murine osteosarcoma viral oncogene homolog
FOSB	fbj murine osteosarcoma viral oncogene homolog b
FOXO1A	forkhead box o1a (rhabdomyosarcoma)
FPR1	formyl peptide receptor 1
FUT1	fucosyltransferase 1 (galactoside 2-alpha-l-fucosyltransferase, h blood group)
FYCO1	fyve and coiled-coil domain containing 1
GABARAPL3	gaba(a) receptors associated protein like 3
GADD45B	growth arrest and dna-damage-inducible, beta
GCHFR	gtp cyclohydrolase i feedback regulator
GDPD5	glycerophosphodiester phosphodiesterase domain containing 5
GHITM	growth hormone inducible transmembrane protein
GLRX	glutaredoxin (thioltransferase)
GLYAT	glycine-n-acyltransferase
GPR109B	g protein-coupled receptor 109b
GPR56	g protein-coupled receptor 56
GPX1	glutathione peroxidase 1
GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)
GSN	gelsolin (amyloidosis, finnish type)
HBA1, HBA2	hemoglobin, alpha 1
HBB	hemoglobin, beta
HBG2	hemoglobin, gamma a
HLA-E	major histocompatibility complex, class i, e
HRSP12	heat-responsive protein 12
HSPB7	heat shock 27kda protein family, member 7 (cardiovascular)
ICA1	islet cell autoantigen 1, 69kda
ICAM1	intercellular adhesion molecule 1 (cd54), human rhinovirus receptor
ID4	inhibitor of dna binding 4, dominant negative helix-loop-helix protein
IFITM2	interferon induced transmembrane protein 2 (1-8d)
IL1R2	interleukin 1 receptor, type ii
IL6	interleukin 6 (interferon, beta 2)
IL6ST	interleukin 6 signal transducer (gp130, oncostatin m receptor)
IRS2	insulin receptor substrate 2
ITGB1BP1	integrin beta 1 binding protein 1
ITPK1	inositol 1,3,4-triphosphate 5/6 kinase
JUNB	jun b proto-oncogene
KCNIP2	kv channel interacting protein 2
KIAA0146	kiaa0146 protein
KLF11	kruppel-like factor 11
KLF4	kruppel-like factor 4 (gut)
KLF6	kruppel-like factor 6
KRTHB5	keratin, hair, basic, 5
KTN1	kinectin 1 (kinesin receptor)
LAMB3	laminin, beta 3
LDLR	low density lipoprotein receptor (familial hypercholesterolemia)
LILRB3	leukocyte immunoglobulin-like receptor, subfamily b (with tm and itim domains), member 3
LITAF	lipopolysaccharide-induced tnf factor
LMBRD1	lmbr1 domain containing 1
LMCD1	lim and cysteine-rich domains 1
LMOD1	leiomodin 1 (smooth muscle)
LOC55908	hepatocellular carcinoma-associated gene td26
LOC645745	hypothetical protein loc645745
LOH3CR2A	loss of heterozygosity, 3, chromosomal region 2, gene a
MAOA	monoamine oxidase a
MAOB	monoamine oxidase b
MAP1LC3B	microtubule-associated protein 1 light chain 3 beta
MAP3K5	mitogen-activated protein kinase kinase kinase 5
MAPT	microtubule-associated protein tau
MARCH2	membrane-associated ring finger (c3hc4) 2
MBNL2	muscleblind-like 2 (drosophila)
MCAM	melanoma cell adhesion molecule
MCF2L	mcf.2 cell line derived transforming sequence-like
MDH1	malate dehydrogenase 1, nad (soluble)
METTL5	methyltransferase like 5
