Prob Set	Gene	Accession	Fold change	p value	Function
1449235_at	Tumor necrosis factor (ligand) superfamily, member 6	NM_010177	6.76	0.04	Apoptosis/anti-apoptosis
1424278_a_at	Baculoviral IAP repeat-containing 5	AF416641	–4.13	0.05	Apoptosis/anti-apoptosis
1437122_at	B-cell leukemia/lymphoma 2	BC024780	–3.63	0.03	Apoptosis/anti-apoptosis
1425768_at	Diablo homolog (Drosophila)	AW542545	–3.6	0.04	Apoptosis/anti-apoptosis
1447862_x_at	Thrombospondin 2	BB233297	7.77	0.03	Cell adhession
1450637_a_at	AE binding protein 1	NM_009636	7.31	0.05	Cell adhession
1448895_a_at	Catenin alpha 2	NM_009819	4.34	0.05	Cell adhession
1426947_x_at	Procollagen, type VI, alpha 2	BI455189	4.27	0.04	Cell adhession
1424415_s_at	Spondin 1, (f-spondin) extracellular matrix protein	BC020531	3.81	0.01	Cell adhession
1450855_at	Armadillo repeat gene deleted in velo-cardio-facial syndrome	BB336845	–3	0.03	Cell adhession
1441361_at	Multiple PDZ domain protein		–3	0.05	Cell adhession
1423805_at	Disabled homolog 2 (Drosophila)	BC006588	4.25	0.02	Cell differentiation
1448925_at	Twist homolog 2 (Drosophila)	NM_007855	3.15	0.01	Cell differentiation
1458012_at	Dacbshund 2 (Drosophila)	BB175077	4.3	0.04	Cell growth/development
1436950_at	v-Crk sarcoma virus CT10 oncogene homolog (avian)-like	AW541802	4.26	0.01	Cell growth/development
1419431_at	Epiregulin	NM_007950	4.22	0.02	Cell growth/development
1434921_at	Nuclear receptor subfamily 2, group E, member 1	BG072053	4.3	0.01	Cell growth/development
1455899_x_at	Suppressor of cytokine signaling 3	BB241535	3.8	0.04	Cell growth/development
1434496_at	Cytokine inducible kinase	BM947855	3.33	0.04	Cell growth/development
1424050_s_at	Fibroblast growth factor receptor 1	M33760	4.83	0.05	Cell growth/development
1433574_at	Cell division cycle 37 homolog (Saccharomyces cerevisiae)-like	BE824561	3.28	0.02	Cell growth/development
1424955_at	Coiled-coil domain containing 5	NM_018827	–4.27	0.01	Cell growth/development
1443990_at	Neurotrophic tyrosine kinase, receptor, type 1	AI648260	–3.77	0.04	Cell growth/development
1437344_x_at	Keratin complex 1, acidic, gene 13	AV085233	9.46	0.03	Cytoskeleton
1422588_at	Keratin complex 2, basic, gene 6g	NM_010669	4.21	0.03	Cytoskeleton
1423952_a_at	Keratin complex 2, basic, gene 7	BC010337	3.02	0.03	Cytoskeleton
1437591_a_at	WD repeat domain 1	BB053542	–3.56	0.05	Cytoskeleton
1421313_s_at	Cortactin	BB317504	–3.13	0.02	Cytoskeleton
1460287_at	Tissue inhibitor of metalloproteinase 2	M93954	5.62	0.01	Excellular matrix protein
1421917_at	Platelet derived growth factor receptor, alpha polypeptide	AW537708	5.2	0.03	Excellular matrix protein
1419214_at	Tumor necrosis factor receptor superfamily, member 11a	BC019185	3.1	0.03	Excellular matrix protein
1420404_at	CD86 antigen	NM_019388	5.73	0.01	Receptors
1456778_at	Mus musculus 7 days embryo whole body cDNA,	BB409477	3.98	0.01	Receptors
1424414_at	Opioid growth factor receptor like 1	BE650508	3.28	0.03	Receptors
1455477_s_at	Membrane associated protein 17	AA396586	4.11	0.04	Receptors
1429290_at	Neuronal pentraxin receptor	AK010743	–6.19	0.05	Receptors
1435687_at	Synaptic vesicle glycoprotein 2 b	BE947943	–3.03	0.01	Receptors
1417481_at	Receptor (calcitonin) activity modifying protein 1	NM_016894	3.66	0.05	Signal transduction
1425814_a_at	Calcitonin receptor-like	AF209905	3.18	0.01	Signal transduction
1448818_at	Wingless-related MMTV integration site 5A	BC018425	3.01	0.05	Signal transduction
1419127_at	Neuropeptide Y	BB817939	–6.91	0.02	Signal transduction
1418688_at	Calcitonin receptor	AI596632	–5.83	0.01	Signal transduction
1426072_at	Chemokine-like receptor 1	BE982944	–4.71	0.05	Signal transduction
1449298_a_at	Phosphodiesterase 1A, calmodulin-dependent	BM208103	–3.44	0.04	Signal transduction
1427011_a_at	LanC (bacterial lantibiotic synthetase component C)-like	BB667274	–3.26	0.03	Signal transduction
1419156_at	SRY-box containing gene 4	AI428101	5.75	0.03	Transcription regulation
1436329_at	Early growth response 3	AV346607	4.23	0.04	Transcription regulation
1432543_a_at	Kruppel-like factor 13	AK002926	3.38	0.03	Transcription regulation
1443597_at	Cofactor required for Sp1 transcriptional activation subunit 2	AF302127	–4.05	0.02	Transcription regulation
