Affy ID	Gene Symbol	Gene name	Cellular location	Family	UniGene ID	RefSeq Transcript ID	MSC	MAPC- 1	MAPC-2	ESC
1448162_at	Vcam1	vascular cell adhesion molecule 1	Plasma Membrane	other	Mm.76649	NM_011693	1266.3	2720.8	1138.3	9.7
1456483_at	Zfp9	zinc finger protein 9		transcription regulator	Mm.106970	NM_011763	486.4	687.9	635.0	7.0
1429987_at	Kiaa1199	KIAA1199			Mm.160389	NM_030728	1166.7	628.8	474.3	9.9
1418538_at	Kdelr3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3			Mm.298199	NM_134090	1797.4	5055.1	4572.1	55.5
1434369_a_at	Cryab	crystallin, alpha B	Nucleus	other	Mm.178	NM_009964	3241.2	6168.9	5035.8	146.9
1417272_at	Loc92689	hypothetical protein BC001096			Mm.258545	NM_026667	1400.3	1095.8	1001.4	49.6
1423635_at	Bmp2	bone morphogenetic protein 2	Extracellular Space	growth factor	Mm.103205	NM_007553	386.5	2023.7	1714.6	13.4
1433670_at	Emp2	epithelial membrane protein 2	Plasma Membrane	other	Mm.246009	NM_007929	1656.4	847.8	783.1	37.3
1424524_at	Flj11259	hypothetical protein FLJ11259			Mm.35450	NM_027878	488.3	1808.9	2094.9	19.5
1438936_s_at	Ang	angiogenin, ribonuclease, RNase A family, 5			---	NM_007447	530.6	569.8	788.6	22.0
1434129_s_at	Lhfpl2	lipoma HMGIC fusion partner-like 2			Mm.316553	NM_172589	754.3	920.2	1019.1	35.7
1418455_at	Copz2	coatomer protein complex, subunit zeta 2	Cytoplasm	transporter	Mm.22144	NM_019877	1429.3	670.8	328.2	21.6
1434314_s_at	Rab11Fip5	RAB11 family interacting protein 5 (class I)	Cytoplasm	other	Mm.220334	NM_001003955 /// NM_177466	1671.0	1735.4	1309.6	83.1
1452094_at	P4Ha1	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	Cytoplasm	enzyme	Mm.2212	NM_011030	2170.1	3618.6	3434.6	126.9
1452445_at	Slc41A2	solute carrier family 41, member 2			Mm.67073	NM_177388	407.9	328.6	175.2	8.3
1418379_s_at	Gpr124	G protein-coupled receptor 124			Mm.87046	NM_054044	152.3	133.9	152.8	1.4
1460287_at	Timp2	TIMP metallopeptidase inhibitor 2	Extracellular Space	other	Mm.206505	NM_011594	5783.7	4728.9	2521.3	245.1
1452366_at	Chgn	chondroitin beta1,4 N-acetylgalactosaminyltransferase	Unknown	enzyme	Mm.334569	NM_172753	212.3	273.8	243.0	7.5
1416592_at	Glrx	glutaredoxin (thioltransferase)	Cytoplasm	enzyme	Mm.25844	NM_053108	576.7	413.2	464.6	25.7
1456312_x_at	Gsn	gelsolin (amyloidosis, Finnish type)	Extracellular Space	other	Mm.21109	NM_146120	5662.9	2916.2	4258.4	284.8
1456733_x_at	Serpinh1	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	Extracellular Space	other	Mm.22708	NM_009825	3355.0	6998.5	6777.9	279.1
1424376_at	Cdc42Ep1	CDC42 effector protein (Rho GTPase binding) 1	Extracellular Space	other	Mm.307488	NM_027219	311.3	394.7	289.0	18.7
1420688_a_at	Sgce	sarcoglycan, epsilon	Plasma Membrane	other	Mm.8739	NM_011360	1404.2	1273.3	1562.3	112.9
1449632_s_at	Fkbp10	FK506 binding protein 10, 65 kDa			Mm.3894	NM_010221	2676.3	2097.0	1004.5	127.2
1416805_at	Dkfzp434L142	hypothetical protein DKFZp434L142			Mm.331088	NM_133187	818.9	321.5	1096.8	54.1
1417149_at	P4Ha2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	Cytoplasm	enzyme	Mm.3705	NM_011031	1249.3	5920.4	4543.6	102.3
1437132_x_at	Nedd9	neural precursor cell expressed, developmentally down-regulated 9	Nucleus	other	Mm.288980	NM_017464	440.7	232.7	472.6	23.3
1455249_at	Slc36A4	solute carrier family 36 (proton/amino acid symporter), member 4			Mm.138815	NM_172289	289.7	442.3	335.1	17.9
1426397_at	Tgfbr2	transforming growth factor, beta receptor II (70/80kDa)	Plasma Membrane	kinase	Mm.172346	NM_009371 /// NM_029575	2315.5	851.3	996.3	75.3
1426534_a_at	Arfgap3	ADP-ribosylation factor GTPase activating protein 3	Cytoplasm	transporter	Mm.258910	NM_025445	625.3	649.4	663.9	49.0
1419091_a_at	Anxa2	annexin A2	Plasma Membrane	other	Mm.238343	NM_007585	9985.7	6359.6	6040.7	570.3
1419455_at	Il10Rb	interleukin 10 receptor, beta			Mm.4154	NM_008349	227.1	223.5	309.9	13.2
1433833_at	Fndc3B	fibronectin type III domain containing 3B			Mm.38832	NM_173182	4932.9	4765.5	4663.1	451.8
1439407_x_at	Tagln2	transgelin 2	Cytoplasm	other	Mm.271711	NM_178598	3160.1	4999.6	5352.7	300.3
1422510_at	Ctdspl	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	Nucleus	other	Mm.47093	NM_133710	661.7	846.9	674.8	57.0
1426672_at	Flj10375	transmembrane protein 16K			Mm.87676	NM_133979	393.2	313.7	339.0	24.5
1429065_at	Ikip	IKK interacting protein			---	NM_026166 /// NM_027078	737.1	631.0	938.1	66.1
1419814_s_at	S100A1	S100 calcium binding protein A1	Cytoplasm	other	Mm.24662	NM_011309	826.9	254.8	499.0	30.0
1436614_at	Ai843639	expressed sequence AI843639			---	---	626.9	710.5	348.9	45.9
1435346_at	Flj23518	hypothetical protein FLJ23518			Mm.290620	NM_025534	402.2	199.0	263.4	15.6
1450350_a_at	Jdp2	jun dimerization protein 2	Nucleus	transcription regulator	Mm.103560	NM_030887	704.0	572.5	425.3	43.2
1454795_at	Cobll1	COBL-like 1			Mm.34159	NM_177025	793.3	1144.6	1666.4	74.3
1443698_at	Fbxo39	F-box protein 39			Mm.291131	XM_282966	282.3	223.8	344.7	21.4
1439018_at	Kiaa1727	KIAA1727 protein			---	---	530.5	477.6	434.3	39.6
1416589_at	Sparc	secreted protein, acidic, cysteine-rich (osteonectin)	Extracellular Space	other	Mm.291442	NM_009242	6555.8	9095.1	8721.9	677.7
1452381_at	Creb3L2	cAMP responsive element binding protein 3-like 2			Mm.169929	NM_178661	342.4	1266.0	1636.7	28.2
1419184_a_at	Fhl2	four and a half LIM domains 2	Nucleus	other	Mm.6799	NM_010212	1322.3	622.0	761.4	65.4
1416039_x_at	Cyr61	cysteine-rich, angiogenic inducer, 61	Extracellular Space	other	Mm.1231	NM_010516	3641.0	1898.3	5842.1	384.7
1455288_at	Sc65	synaptonemal complex protein SC65			Mm.4940	NM_176830	647.0	863.7	429.1	62.5
1435644_at	G431001E03Rik	RIKEN cDNA G431001E03 gene			Mm.227616	NM_177364	605.6	983.8	1114.0	59.4
1426866_at	D4St1	dermatan 4 sulfotransferase 1			Mm.278349	NM_028117	1062.1	534.4	479.2	48.8
1427017_at	Satb2	SATB family member 2			Mm.145599	NM_139146	587.8	522.3	256.2	36.2
1450429_at	Capn6	calpain 6	Cytoplasm	peptidase	Mm.30290	NM_007603	248.1	1161.4	630.6	20.6
1420664_s_at	Procr	protein C receptor, endothelial (EPCR)	Plasma Membrane	other	Mm.3243	NM_011171	601.4	989.7	1528.6	62.6
