ProbeID (Affymetrix)	Fold Change(CLDN1 transfectants/Mock)	Gene Symbol	Common Name	Description	Location	Function	Genbank	UniGene	RefSeq	Pathways	GO biological process	GO molecular function	GO cellular component	Map_
226281_at	0.00932	DNER	DNER	Delta-notch-like EGF repeat-containing transmembrane	Plasma Membrane	transmembrane receptor	BF059512	Hs.234074	NM_139072					2q36.3
221107_at	0.0166	CHRNA9	NACHRA9; HSA243342	cholinergic receptor, nicotinic, alpha polypeptide 9	Plasma Membrane	transmembrane receptor	NM_017581	Hs.272278	NM_017581		GO:6816(calcium ion transport); GO:6811(ion transport)	GO:5262(calcium channel activity); GO:5509(calcium ion binding); GO:5230(extracellular ligand-gated ion channel activity); GO:5216(ion channel activity); GO:30594(neurotransmitter receptor activity); GO:4889(nicotinic acetylcholine-activated cation-selective channel activity)	GO:16021(integral to membrane); GO:45211(postsynaptic membrane)	4p14
201909_at	0.0188	RPS4Y1	RPS4Y; MGC5070; MGC119100	ribosomal protein S4, Y-linked 1	Cytoplasm	other	NM_001008	Hs.282376	NM_001008	KEGG pathway: Ribosome 03010; Reactome Event:Gene Expression 74160; Reactome Event:Translation 72766	GO:6412(protein biosynthesis)	GO:3723(RNA binding); GO:3735(structural constituent of ribosome)	GO:5843(cytosolic small ribosomal subunit (sensu Eukaryota)); GO:5840(ribosome)	Yp11.3
205681_at	0.0282	BCL2A1	GRS; BFL1; HBPA1; BCL2L5	BCL2-related protein A1	Cytoplasm	other	NM_004049	Hs.227817	NM_004049	Apoptosis_KEGG ; GenMAPP	GO:6916(anti-apoptosis); GO:42981(regulation of apoptosis)		GO:5622(intracellular)	15q24.3
227614_at	0.0402	HKDC1	FLJ22761	Hexokinase domain containing 1	Unknown	kinase	W81116	Hs.522988	NM_025130					10q22.1
226834_at	0.0536		ASAM	Adipocyte-specific adhesion molecule			BG112263	Hs.504187	NM_024769					11q24.1
208892_s_at	0.0612	DUSP6	MKP3; PYST1	dual specificity phosphatase 6	Cytoplasm	phosphatase	BC003143	Hs.298654	NM_001946	KEGG pathway: MAPK signaling pathway 04010	GO:188(inactivation of MAPK activity); GO:6470(protein amino acid dephosphorylation); GO:74(regulation of progression through cell cycle)	GO:17017(MAP kinase phosphatase activity); GO:16787(hydrolase activity); GO:4722(protein serine/threonine phosphatase activity); GO:4725(protein tyrosine phosphatase activity)	GO:5737(cytoplasm); GO:5625(soluble fraction)	12q22-q23
205000_at	0.0627	DDX3Y (includes EG:8653)	DBY	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	Unknown	enzyme	NM_004660	Hs.99120	NM_004660			GO:5524(ATP binding); GO:8026(ATP-dependent helicase activity); GO:3677(DNA binding); GO:3723(RNA binding); GO:16787(hydrolase activity); GO:166(nucleotide binding)	GO:5634(nucleus)	Yq11
228128_x_at	0.0645	PAPPA	PAPPA	Pregnancy-associated plasma protein A, pappalysin 1	Extracellular Space	peptidase	AI110886	Hs.494928	NM_002581					9q33.2
224941_at	0.0674	PAPPA		601823976F1 NIH_MGC_79 Homo sapiens cDNA clone IMAGE:4043586 5, mRNA sequence.	Extracellular Space	peptidase	BF107618	Hs.494928	NM_002581					9q33.2
