GenBank accession no.	P value	Ratio	Description (LocusLink ID)	Type
L38486	6.7 × 10^-16	179	Microfibrillar-associated protein 4 (MFAP4)	Normal lung
AI312905	1.6 × 10^-14	439	EST	Normal lung
M91211	7.8 × 10^-14	15	Advanced glycosylation end product-specific receptor (AGER)	Normal lung
D88587	2.5 × 10^-11	14	Ficolin (FCN3)	Normal lung
J04111	4.4 × 10^-7	0.35	v-jun Avian sarcoma virus 17 oncogene homolog (JUN)	Normal lung
L19185	2.7 × 10^-5	0.34	Peroxiredoxin 2 (PRDX2)	Normal lung
Z69043	9.5 × 10^-5	0.46	Signal sequence receptor, delta (SSR4)	Normal lung
AB000712	2.4 × 10^-9	94	Claudin 4 (CLDN4)	Lung adenocarcinoma
AF001294	4.0 × 10^-9	3.6	Tumor suppressing subtransferable candidate 3 (TSSC3)	Lung adenocarcinoma
J05581	1.7 × 10^-7	4.1	Mucin 1, transmembrane (MUC1)	Lung adenocarcinoma
M18728	3.0 × 10^-7	5.4	Carcinoembryonic antigen-related cell adhesion molecule 6 (CEACAM6)	Lung adenocarcinoma
Z78388	7.3 × 10^-10	0.31	Neuronal protein (NP25)	Lung adenocarcinoma
M25756	1.2 × 10^-7	0.03	Secretogranin II (SCG2)	Lung adenocarcinoma
U15979	1.4 × 10^-7	0.02	Delta-like homolog, Drosophila (DLK1)	Lung adenocarcinoma
L07335	2.1 × 10^-7	0.22	Sex-determining region Y-box 2 (SOX2)	Lung adenocarcinoma
M21389	8.2 × 10^-11	30	Keratin 5 (KRT5)	Lung squamous cell carcinoma
Y16961	1.8 × 10^-8	23	Tumor protein 63 kd with strong homology to p53 (TP63)	Lung squamous cell carcinoma
L42611	3.9 × 10^-8	18	Keratin 6A (KRT6A)	Lung squamous cell carcinoma
U97105	8.7 × 10^-7	0.37	Dihydropyrimidinase-like 2 (DPYSL2)	Lung squamous cell carcinoma
AF004563	1.7 × 10^-5	0.48	Syntaxin binding protein 1 (STXBP1)	Lung squamous cell carcinoma
AF042792	8.0 × 10^-5	0.32	Calcium channel, voltage-dependent (CACNA2D2)	Lung squamous cell carcinoma
U43203	1.8 × 10^-4	0.26	Thyroid transcription factor 1 (TITF1)	Lung squamous cell carcinoma
D82345	1.6 × 10^-8	16	Thymosin, beta (TMSNB)	Small cell lung cancer
AA203476	5.6 × 10^-8	9	Pituitary tumor transforming 1 (PTTG1)	Small cell lung cancer
U73379	1.1 × 10^-7	17	Ubiquitin-conjugating enzyme E2C (UBE2C)	Small cell lung cancer
D00762	6.6 × 10^-7	11	Proteasome subunit, alpha type, 3 (PSMA3)	Small cell lung cancer
L25080	8.4 × 10^-5	0.28	ras Homolog gene family, member A (ARHA)	Small cell lung cancer
X05409	8.0 × 10^-4	0.2	Aldehyde dehydrogenase 2 (ALDH2)	Small cell lung cancer
X59798	0.002	0.24	Cyclin D1 (CCND1)	Small cell lung cancer
X04366	0.008	0.25	Calpain 1 (CAPN1)	Small cell lung cancer
L18983	1.6 × 10^1-0	11	Protein tyrosine phosphatase, receptor type, N (PTPRN)	Pulmonary carcinoid
AB014558	7.8 × 10^-10	102	Cryptochrome 2, photolyase-like (CRY2)	Pulmonary carcinoid
U96750	4.6 × 10^-7	350	ras Homolog gene family, member I (ARHI)	Pulmonary carcinoid
Y00064	5.8 × 10^-7	118	Chromogranin B (CHGB)	Pulmonary carcinoid
AA203487	5.4 × 10^-8	0.03	CD68 antigen (CD68)	Pulmonary carcinoid
AA631972	1.1 × 10^-7	0.01	Natural killer cell transcript 4 (NK4)	Pulmonary carcinoid
X67325	1.2 × 10^-7	0.15	Interferon, alpha-inducible protein 27 (IFI27)	Pulmonary carcinoid
X62744	3.5 × 10^-7	0.01	Major histocompatibility complex, class II, DM alpha (HLA-DMA)	Pulmonary carcinoid
