Gene	Kurtosis	Clusters	pval
SCGB1D2	-0.87	2	0.2365
TFF1	-0.77	2	0.7492
SCGB2A2	-0.77	2	0.4357
PSD3	-0.73	2	0.692
NAT1	-0.72	2	0.2408
SLC1A1	-0.71	2	0.2753
TFAP2B	-0.71	2	0
NALP2	-0.69	2	0.2781
G1P2	-0.61	2	0.1142
WFDC2	-0.61	2	0.5276
PIP	-0.59	2	0.013
DHRS2	-0.58	2	1
BAMBI	-0.58	2	0.2399
CITED1	-0.56	2	0.1711
HLA-DPB1	-0.55	2	0.0374
KCNK1	-0.55	2	0.5168
S100P	-0.54	2	0.1139
KIF13B	-0.53	2	0.0004
CILP	-0.51	2	0.4343
PDZK1	-0.47	2	0.2814
IFIT1	-0.46	2	0.2421
SLC39A6	-0.42	2	0.0752
MX1	-0.41	2	0.0408
FKBP3	-0.41	2	0.2408
COX6C	-0.4	2	0.0632
HIST2H2AA	-0.39	2	0.1636
GNPAT	-0.38	2	0.6904
SLC27A5	-0.38	2	0.5539
SLC16A5	-0.37	2	0.4256
LTF	-0.37	1	NA
AP3S1	-0.37	2	0.5535
ZMYND10	-0.36	2	0.7541
COL11A1	-0.36	2	0.9222
NPY1R	-0.35	2	0.6645
HOXB2	-0.35	2	0.6763
ATP6V1B1	-0.35	2	0.6104
FYB	-0.35	2	0.7625
HIST1H2BD	-0.35	2	0.5479
GSTM3	-0.35	2	0.0005
PGR	-0.35	2	0.0015
AREG	-0.34	2	1
CHAD	-0.33	2	0.0247
NUDT1	-0.33	2	0.8206
NUP133	-0.33	2	0.24
FBN1	-0.32	2	0.6954
SIX1	-0.32	1	NA
DNCLI2	-0.32	1	NA
WISP2	-0.31	2	0.2715
EGR1	-0.3	2	0.0237
PR48	-0.28	2	0.7171
IFI30	-0.28	2	0.8822
EPHX2	-0.27	2	0.2254
DHFR	-0.27	2	0.0573
TAF7	-0.27	2	0.3131
SEC14L2	-0.26	2	0.0119
CTSB	-0.26	1	NA
RNF6	-0.26	2	0.6838
MCP	-0.26	1	NA
CDS1	-0.26	2	1
RHOBTB2	-0.25	2	0.8439
NHP2L1	-0.25	2	0.0954
FLJ10326	-0.24	2	0.0049
VPS13A	-0.24	2	0.3852
HLA-G	-0.24	2	0.4308
PDCD4	-0.23	1	NA
PRRX2	-0.22	2	0.4219
MMP11	-0.21	1	NA
CYR61	-0.21	2	0.5319
ALDH9A1	-0.21	1	NA
THAP4	-0.21	2	0.7989
LRRN5	-0.2	2	0.4847
QDPR	-0.2	2	0.3567
EMILIN1	-0.2	2	0.3577
SERPINA3	-0.2	2	0.1969
RPS9	-0.19	1	NA
FADS2	-0.19	2	0.0417
FLJ22390	-0.19	2	0.4165
TGFBI	-0.19	2	0.2137
ASPN	-0.18	2	0.5427
KIFC1	-0.18	2	0.0029
TFF3	-0.17	2	0.4616
UNG2	-0.16	2	0.2367
OLFM1	-0.16	2	0.3264
KIAA1036	-0.16	1	NA
CDC42SE1	-0.16	2	0.1115
PCNP	-0.16	2	0.1001
SERPINA5	-0.16	2	0.8538
APOD	-0.16	2	0.3917
ATPIF1	-0.16	2	0.307
SORL1	-0.15	2	0.1463
DUSP6	-0.15	1	NA
CTGF	-0.15	2	1
KTN1	-0.15	2	0.3417
HMGB2	-0.14	2	0.0009
RNF7	-0.14	1	NA
LW-1	-0.14	1	NA
RTCD1	-0.14	1	NA
WDR6	-0.14	1	NA
NDUFAB1	-0.13	2	0.0024
NDUFA4	-0.13	2	0.0602
ATP1B1	-0.12	2	0.0012
RPL10	-0.12	2	0.0017
RPS15	-0.11	1	NA
FLJ20152	-0.11	2	0.5577
TOMM20	-0.11	2	0.8219
HERC6	-0.11	2	0.1231
SDCCAG1	-0.11	2	0.2819
NID2	-0.11	2	0.883
FY	-0.11	2	0.0137
SCUBE2	-0.1	2	0.0627
CDH3	-0.1	2	0.0507
SNRPE	-0.1	2	0.1079
MT2A	-0.1	2	0.2599
PSME3	-0.1	2	0.0767
UQCRB	-0.1	2	0.1529
HTATSF1	-0.1	2	0.1725
ALDH2	-0.09	2	0.0003
NPM1	-0.09	1	NA
SLC9A3R2	-0.09	1	NA
TRAPPC4	-0.09	1	NA
IGLL1	-0.09	2	0.5512
TBCA	-0.09	1	NA
RABEP1	-0.09	1	NA
LPL	-0.09	2	0.2086
TCEB1	-0.09	2	0.0002
