Rank (Q4)	Chromosome	Probe set	Symbol	CKSIB amplification index r^	CKSIB r	PCLIr	Adjusted survival P-value
1	8q21.13	202345_s_at	NA	0.2	0.22		0.001
2	Xp22.2-p22.1	1555864_s_at	NA	0.34	0.47		0.007
3	5pl5.33	204033_at	TRIP13	0.19	0.45	0.2	0.001
4	Iq22	206513_at	AIM2	0.15	0.13		0.089
5	2p24.1	1555274_a_at	SELI	0.28	0.31		0.001
6	21q22.3	211576_s_at	SLG19A1	0.17	0.23		0.007
7	3p21.3	204016_at	LARS2	-0.18			0.002
8	Iq43	156595 l_s_at	OPN3	0.36	0.36		0.007
9	Iq31	219918_s_at	ASPM	0.36	0.64	0.17	0.01
10	12ql5	201947_s_at	CCT2	0.23	0.43	0.13	0.004
11	16pl3.3	213535_s_at	UBE2I		0.38		0.022
12	20ql3.2-ql3.3	204092_s_at	STK6	0.31	0.51	0.19	0.044
13	Ip36.33-p36.21	213607_x_at	FLJ13052				0.15
14	Xql2-ql3	208117_s_at	FLJ12525		0.34		0.006
15	17q25	210334_x_at	BIRC5	0.2	0.36	0.14	0.11
16	3q27	204023_at	NA	0.29	0.62	0.16	0.072
17	Iq21.2	201897_s_at	CKSIB	0.5	1	0.15	0.007
18	19ql3.11-ql3.12	216194_s_at	CKAPl	0.24	0.38		0.001
19	Iq21	225834_at	MGC57827	0.39	0.66	0.23	0.14
20	19ql3.12	238952_x_at	DKFZp779O175		0.11		0.009
21	17pl3.3	200634_at	PFNl	0.3	0.41		0.002
22	19pl3.2	20893 l_s_at	ILF3	0.22	0.22		0.22
23	Iq22	206332_s_at	IFI16	0.3	0.32	0.13	0.003
24	7pl4-pl3	220789_s_at	TBRG4		0.13	0.17	0.009
25	lOpll.23	218947_s_at	PAPDl	0.31	0.3		0.15
26	8q24	213310_at	EIF2C2	0.28	0.37		0.031
27	3ql2.1	224523_s_at	MGC4308	0.17	0.24	0.14	0.038
28	Ip36.3-p36.2	201231_s_at	ENOl		0.23		< 0.001
29	18ql2.1	217901_at	DSG2	0.15			0.005
30	6q22	226936_at	NA	0.15	0.52	0.17	0.027
31	8q24.3	58696_at	EXOSC4		0.2		0.33
32	Iq21-q25	200916_at	TAGLN2	0.47	0.52		0.12
33	3q21	201614_s_at	RUVBLl	0.16	0.14		0.023
34	16q22-q24	200966_x_at	ALDOA	0.21	0.28		0.001
35	2p25.1	225082_at	CPSF3		0.39		0.073
36	Iq43	242488_at	NA	0.18	0.27	0.14	0.09
37	3ql2.3	24301l_at	MGCI5606		0.27		0.004
38	22ql3.1	201105_at	LGALSl		0.31		0.051
39	3p25-p24	224200_s_at	RAD18	0.17	0.41	0.14	0.04
40	20pll	222417_s_at	SNX5				0.085
41	Iq21.2	210460_s_at	PSMD4	0.58	0.59	0.13	0.067
42	12q24.3	200750_s_at	RAN	0.22	0.4		0.056
43	Ipter-q31.3	206364_at	KIF14	0.41	0.57	0.25	0.019
44	7pl5.2	201091_s_at	CBX3	0.14	0.2	0.16	0.15
45	12q22	203432_at	TMPO	0.32	0.59	0.18	0.007
46	17q24.2	221970_s_at	DKFZP586L0724	0.27	0.47		0.081
47	Ilpl5.3-pl5.1	212533_at	WEEl	0.2	0.54	0.13	0.056
48	3pl2	213194_at	ROBOl				0.15
49	5q32-q33.1	244686_at	TCOFl				0.12
50	8q23.1	200638_s_at	YWHAZ	0.26	0.23		0.012
51	10q23.31	205235_s_at	MPHOSPHl		0.4	0.16	0.05
