Accession no.	Description	Statistics
AA629262	PLK1: polo-like kinase 1 (Drosophila)	0.52
AA936181	DKFZp762E1312: hypothetical protein DKFZp762E1312	0.54
R33355	TNFRSF12A: tumor necrosis factor receptor superfamily, member 12A	0.54
AI263109	SFRS5: splicing factor, arginine/serine-rich 5	0.55
AI369629	CENPA: centromere protein A, 17 kDa	0.56
W87741	MYC: v-myc myelocytomatosis viral oncogene homologue (avian)	0.57
AA465342	CDCA4: cell division cycle associated 4	0.59
W90128	XBP1: X-box binding protein 1	0.6
AA469975	SLC25A29: solute carrier family 25, member 29	0.64
AA010188	mRNA; cDNA DKFZp434B0425 (from clone DKFZp434B0425)	0.65
AA481531	NUP62: nucleoporin 62 kDa	0.68
AA458994	PMSCL1: polymyositis/scleroderma autoantigen 1, 75 kDa	0.7
AA063580	TAF7: TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55 kDa	0.73
H27564	DDX5: DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	0.73
AA485397	UBL4: ubiquitin-like 4	0.76
AA775271	C20orf20: chromosome 20 open reading frame 20	0.76
AA663976	ZDHHC7: zinc finger, DHHC domain containing 7	0.78
