Genesymbol	Description	Fold change
CT45	Cancer/testis antigen CT45	11.6
GAS2L3	Growth arrest–specific 2 like 3	3.5
SUCLG2	Succinate-CoA ligase, GDP-forming, beta subunit	3.2
SLC22A15	Solute carrier family 22 (organic cation transporter), member 15	3.1
HOXB6	Homeobox B6	3
TUBB6	Tubulin, beta 6	2.8
HNRPLL	Heterogeneous nuclear ribonucleoprotein L-like	2.8
IRX5	Iroquois homeobox protein 5	2.6
FAM127A	Family with sequence similarity 127, member A	2.6
HIST1H2BG	Histone cluster 1, H2bg	2.5
C5orf32	Chromosome 5 open reading frame 32	2.4
C3AR1	Complement component 3a receptor 1	2.4
CAST	Calpastatin	2.2
PLAUR	Plasminogen activator, urokinase receptor	2.1
HIST2H2AA3	Histone cluster 2, H2aa3	2.1
HOXB7	Homeobox B7	2.1
ANXA2	Annexin A2	2.1
ELL2	Elongation factor, RNA polymerase II, 2	2.1
MGC26963	Hypothetical protein MGC26963	2
