Probe ID	Mean fold change	Gene Description
213975_s_at	35.1	AV711904 DCA Homo sapiens cDNA clone DCAAIE08 5, mRNA sequence.
201163_s_at	14.3	synonyms: PSF, FSTL2, MAC25, IGFBP-7; go_component: extracellular [goid 0005576] [evidence IEA]; go_function: insulin-like growth factor binding [goid 0005520] [evidence IEA]; go_process: regulation of cell growth [goid 0001558] [evidence IEA]; go_process: negative regulation of cell proliferation [goid 0008285] [evidence TAS] [pmid 8939990]; Homo sapiens insulin-like growth factor binding protein 7 (IGFBP7), mRNA.; Insulin-like growth factor binding protein 7
209774_x_at	9.4	Human gro-beta mRNA, complete cds.; Chemokine (C-X-C motif) ligand 2
205692_s_at	9.1	synonym: T10; ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase; go_component: plasma membrane [goid 0005886] [evidence TAS] [pmid 8253715]; go_component: integral to membrane [goid 0016021] [evidence IEA]; go_component: membrane fraction [goid 0005624] [evidence TAS] [pmid 8253715]; go_function: hydrolase activity [goid 0016787] [evidence IEA]; go_function: NAD+ nucleosidase activity [goid 0003953] [evidence IEA]; go_process: energy pathways [goid 0006091] [evidence NR]; go_process: signal transduction [goid 0007165] [evidence NR] [pmid 8253715]; go_process: induction of apoptosis by extracellular signals [goid 0008624] [evidence TAS] [pmid 10777496]; Homo sapiens CD38 antigen (p45) (CD38), mRNA.
214776_x_at	7.9	zi99g02.s1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA clone IMAGE:448946 3, mRNA sequence.
202917_s_at	6.1	synonyms: P8, MIF, NIF, CAGA, CFAG, CGLA, L1Ag, MRP8, CP-10, MA387, 60B8AG; calgranulin A; cystic fibrosis antigen; S100 calcium-binding protein A8 (calgranulin A); go_component: extracellular space [goid 0005615] [evidence NR]; go_function: calcium ion binding [goid 0005509] [evidence TAS] [pmid 2149559]; go_process: inflammatory response [goid 0006954] [evidence TAS] [pmid 3313057]; Homo sapiens S100 calcium binding protein A8 (calgranulin A) (S100A8), mRNA.
210512_s_at	5.8	Homo sapiens vascular endothelial growth factor mRNA, complete cds.; Vascular endothelial growth factor
205114_s_at	5.4	synonyms: MIP1A, SCYA3, G0S19-1, LD78ALPHA, MIP-1-alpha; Small inducible cytokine A3; small inducible cytokine A3 (homologous to mouse Mip-1a); go_component: extracellular [goid 0005576] [evidence IEA]; go_component: soluble fraction [goid 0005625] [evidence TAS] [pmid 10706735]; go_function: chemokine activity [goid 0008009] [evidence TAS] [pmid 10660125]; go_function: signal transducer activity [goid 0004871] [evidence TAS] [pmid 10857861]; go_process: chemotaxis [goid 0006935] [evidence TAS] [pmid 10679098]; go_process: exocytosis [goid 0006887] [evidence TAS] [pmid 10734056]; go_process: immune response [goid 0006955] [evidence IEA]; go_process: cell motility [goid 0006928] [evidence TAS] [pmid 10660125]; go_process: cell-cell signaling [goid 0007267] [evidence TAS] [pmid 10679098]; go_process: signal transduction [goid 0007165] [evidence TAS] [pmid 10706735]; go_process: inflammatory response [goid 0006954] [evidence TAS] [pmid 10679098]; go_process: calcium ion homeostasis [goid 0006874] [evidence TAS] [pmid 10734056]; go_process: regulation of viral genome replication [goid 0045069] [evidence TAS] [pmid 10841574]; go_process: cytoskeleton organization and biogenesis [goid 0007010] [evidence TAS] [pmid 10072545]; go_process: antimicrobial humoral response (sensu Vertebrata) [goid 0019735] [evidence TAS] [pmid 9973507]; go_process: G-protein coupled receptor protein signaling pathway [goid 0007186] [evidence TAS] [pmid 10734056]; Homo sapiens chemokine (C-C motif) ligand 3 (CCL3), mRNA.; Chemokine (C-C motif) ligand 3
207107_at	4.8	synonyms: LCA2, RP20; retinal pigment epithelium-specific protein (65kD); retinitis pigmentosa 20 (autosomal recessive); go_component: membrane [goid 0016020] [evidence IEA]; go_function: protein binding [goid 0005515] [evidence TAS] [pmid 9326941]; go_process: visual perception [goid 0007601] [evidence TAS] [pmid 9326941]; go_process: vitamin A metabolism [goid 0006776] [evidence TAS] [pmid 9326941]; Homo sapiens retinal pigment epithelium-specific protein 65kDa (RPE65), mRNA.; Retinal pigment epithelium-specific protein 65kDa
221312_at	4.4	go_component: membrane [goid 0016020] [evidence IEA]; go_component: plasma membrane [goid 0005886] [evidence TAS] [pmid 9990065]; go_component: integral to membrane [goid 0016021] [evidence TAS] [pmid 9990065]; go_function: G-protein coupled receptor activity [goid 0004930] [evidence IEA]; go_function: G-protein coupled receptor activity [goid 0004930] [evidence TAS] [pmid 9990065]; go_process: positive regulation of cell proliferation [goid 0008284] [evidence TAS] [pmid 9990065]; go_process: G-protein coupled receptor protein signaling pathway [goid 0007186] [evidence IEA]; go_process: G-protein signaling, coupled to cAMP nucleotide second messenger [goid 0007188] [evidence TAS] [pmid 9990065]; Homo sapiens glucagon-like peptide 2 receptor (GLP2R), mRNA.; Glucagon-like peptide 2 receptor
