PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
203053_at	BCAS2	RNA splicing
218462_at	BXDC5	rRNA processing /// ribosome biogenesis /// ribosome biogenesis
203341_at	CEBPZ	transcription /// regulation of transcription, DNA-dependent /// transcription from RNA polymerase II promoter
222182_s_at	CNOT2	regulation of transcription, DNA-dependent /// regulation of global transcription from RNA polymerase II promoter /// transcription /// regulation of transcription
202467_s_at	COPS2	transcription from RNA polymerase II promoter /// signal transduction
200702_s_at	DDX24	RNA metabolism
204095_s_at	ELL	transcription /// regulation of transcription, DNA-dependent /// RNA elongation from RNA polymerase II promoter
208066_s_at	GTF2B	transcription initiation /// regulation of transcription, DNA-dependent /// transcription from RNA polymerase II promoter /// transcription /// regulation of transcription
209905_at	HOXA9	regulation of transcription, DNA-dependent /// development /// transcription /// development /// regulation of transcription
210093_s_at	MAGOH	nuclear mRNA splicing, via spliceosome /// mRNA export from nucleus /// transport /// female gamete generation /// mRNA processing
217843_s_at	MED4	transcription /// regulation of transcription, DNA-dependent /// transcription initiation from RNA polymerase II promoter /// androgen receptor signaling pathway /// transcription from RNA polymerase II promoter /// steroid hormone receptor signaling path
203004_s_at	MEF2D	transcription /// regulation of transcription, DNA-dependent /// transcription from RNA polymerase II promoter /// muscle development /// GTP biosynthesis /// UTP biosynthesis /// CTP biosynthesis /// pyrimidine ribonucleoside triphosphate biosynthesis
214009_at	MSL3L1	chromatin assembly or disassembly /// transcription /// regulation of transcription, DNA-dependent /// transcription from RNA polymerase II promoter /// development /// chromatin modification
205322_s_at	MTF1	transcription /// regulation of transcription from RNA polymerase II promoter /// response to metal ion /// regulation of transcription, DNA-dependent
202697_at	NUDT21	mRNA processing /// mRNA processing
222035_s_at	PAPOLA	transcription /// mRNA polyadenylylation /// mRNA processing
204195_s_at	PKNOX1	regulation of transcription, DNA-dependent /// regulation of transcription /// transcription
203497_at	PPARBP	transcription /// regulation of transcription, DNA-dependent /// transcription initiation from RNA polymerase II promoter /// development /// androgen receptor signaling pathway /// fat cell differentiation /// positive regulation of transcription from RN
212263_at	QKI	nuclear mRNA splicing, via spliceosome /// mRNA export from nucleus /// regulation of translation /// transport /// cell differentiation /// mRNA processing /// regulation of protein biosynthesis /// development
201846_s_at	RYBP	transcription /// regulation of transcription, DNA-dependent /// apoptosis
202656_s_at	SERTAD2	transcription /// regulation of transcription, DNA-dependent
202774_s_at	SFRS8	nuclear mRNA splicing, via spliceosome /// transcription /// regulation of transcription, DNA-dependent /// mRNA splice site selection /// RNA processing /// mRNA processing /// mRNA processing
211988_at	SMARCE1	nucleosome disassembly /// regulation of transcription from RNA polymerase II promoter /// chromatin modification /// negative regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent
202863_at	SP100	regulation of transcription, DNA-dependent /// regulation of transcription, DNA-dependent
213311_s_at	TCF25 /// MXRA7	negative regulation of transcription from RNA polymerase II promoter /// transcription /// regulation of transcription, DNA-dependent /// heart development
204255_s_at	VDR	transcription /// regulation of transcription, DNA-dependent /// signal transduction /// negative regulation of transcription
202173_s_at	VEZF1	transcription /// regulation of transcription from RNA polymerase II promoter /// cellular defense response /// regulation of transcription, DNA-dependent
214310_s_at	ZFPL1	regulation of transcription
207920_x_at	ZFX	regulation of transcription, DNA-dependent /// regulation of transcription /// transcription
210281_s_at	ZMYM2	transcription /// regulation of transcription, DNA-dependent
218401_s_at	ZNF281	negative regulation of transcription from RNA polymerase II promoter /// transcription /// regulation of transcription, DNA-dependent
203321_s_at	ZNF508	regulation of transcription, DNA-dependent /// regulation of transcription
220658_s_at	ARNTL2	regulation of transcription, DNA-dependent /// signal transduction /// entrainment of circadian clock /// rhythmic process /// regulation of transcription from RNA polymerase II promoter /// circadian rhythm /// regulation of transcription, DNA-dependent
221161_at	ASCL3	regulation of transcription, DNA-dependent
