UniGene Cluster ID	Gene Symbol	Gene name
Hs.109752	C6orf108	putative c-Myc-responsive
Hs.165843	CSNK2B	casein kinase 2, beta polypeptide
Hs.172690	DGKA	diacylglycerol kinase, alpha (80kD)
Hs.7019	SIPA1	signal-induced proliferation-associated gene 1
Hs.850	IMPDH1	IMP (inosine monophosphate) dehydrogenase 1
Hs.138860	ARHGAP1	Rho GTPase activating protein 1
Hs.153640	PLK3	cytokine-inducible kinase
Hs.153704	NEK2	NIMA (never in mitosis gene a)-related kinase 2
Hs.155530	IFI16	interferon, gamma-inducible protein 16
Hs.1592	CDC16	CDC16 cell division cycle 16 homolog (S. cerevisiae)
Hs.184167	SRSF7	splicing factor, arginine/serine-rich 7 (35kD)
Hs.2331	E2F5	E2F transcription factor 5, p130-binding
Hs.347349	TBRG4	cell cycle progression 2 protein
Hs.57101	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S.cerevisiae)
Hs.75586	CCND2	cyclin D2
Hs.77171	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle46 (S. cerevisiae)
Hs.77313	CDK10	cyclin-dependent kinase (CDC2-like) 10
Hs.77613	ATR	ataxia telangiectasia and Rad3 related
Hs.9700	CCNE1	cyclin E1
