Probe Set	Gene	NPMc+	P-value	RT-qPCR	RefSeq	Description
213110_s_at	COL4A5	I	0.0000		NM_033380	collagen, type IV, alpha 5 (Alport syndrome)
201596_x_at	KRT18	I	0.0000		NM_199187	keratin 18
208557_at	HOXA6	I	0.0000	yes	NM_024014	homeo box A6
206298_at	ARHGAP22	I	0.0001		NM_021226	Rho GTPase activating protein 22
211596_s_at	LRIG1	I	0.0001		NM_015541	leucine-rich repeats and immunoglobulin-like domains 1
219090_at	SLC24A3	I	0.0001		NM_020689	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
205801_s_at	RASGRP3	I	0.0003	yes	NM_170672	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
201069_at	MMP2	I	0.0005		NM_004530	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)
202729_s_at	LTBP1	I	0.0008		NM_000627	latent transforming growth factor beta binding protein 1
218801_at	UGCGL2	I	0.0008		NM_020121	UDP-glucose ceramide glucosyltransferase-like 2
209906_at	C3AR1	I	0.0010		NM_004054	complement component 3a receptor 1
205624_at	CPA3	I	0.0011		NM_001870	carboxypeptidase A3 (mast cell)
204069_at	MEIS1	I	0.0014	yes	NM_002398	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)
213260_at	FOXC1	I	0.0014		NM_001453	forkhead box C1
206289_at	HOXA4	I	0.0017	yes	NM_002141	homeo box A4
209451_at	TANK	I	0.0017		NM_004180	TRAF family member-associated NFKB activator
46665_at	SEMA4C	I	0.0027		NM_017789	(semaphorin) 4C
219615_s_at	KCNK5	I	0.0028		NM_003740	potassium channel, subfamily K, member 5
219737_s_at		I	0.0028		NM_020403	protocadherin 9 precursor; cadherin superfamily protein VR4-11
206847_s_at	HOXA7	I	0.0028	yes	NM_006896	homeo box A7
205366_s_at	HOXB6	I	0.0030	yes	NM_156036	homeo box B6
57588_at	SLC24A3	I	0.0030		NM_020689	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
204485_s_at	TOM1L1	I	0.0037	yes	NM_005486	target of myb1-like 1 (chicken)
217975_at	LOC51186	I	0.0037		NM_016303	pp21 homolog
217963_s_at	NGFRAP1	I	0.0038		NM_014380	nerve growth factor receptor (TNFRSF16) associated protein 1
218627_at	FLJ11259	I	0.0047		NM_018370	hypothetical protein FLJ11259
205600_x_at	HOXB5	I	0.0048	yes	NM_002147	homeo box B5
204750_s_at	DSC2	I	0.0055		NM_004949	desmocollin 2
