Gene Symbol	T test P	Description
C20ORF103	0.000000	Genes overexpressed
GGA2	0.000000	Genes overexpressed
ICSBP1	0.000000	Genes overexpressed
FLT3	0.000000	Genes overexpressed
LMO2	0.000005	Genes overexpressed
ITGA7	0.000013	Genes overexpressed
AKR7A2	0.000014	Genes overexpressed
PPARG	0.000016	Genes overexpressed
SURF1	0.000024	Genes overexpressed
ADAMTS2	0.000036	Genes overexpressed
DAP	0.000092	Genes overexpressed
IRAK1	0.000093	Genes overexpressed
PRL	0.000096	Genes overexpressed
HIST1H2A	0.000134	Genes overexpressed
RET	0.000260	Genes overexpressed
CHD3	0.000264	Genes overexpressed
LGALS3	0.000749	Genes overexpressed
DDB2	0.000829	Genes overexpressed
SATB1	0.001823	Genes overexpressed
HOXA9	0.003608	Genes overexpressed
S100A11	0.015956	Genes overexpressed
CEBPA	0.021236	Genes overexpressed
STAT5B	0.036902	Genes underexpressed
CREBBP	0.041165	Genes underexpressed
STAT5A	0.049642	Genes underexpressed
