Rank	Database Name	Pathway Name	Gene Symbole
1	KEGG	Natural killer cell mediated cytotoxicity	PPP3R1, MICA, SYK,
2	KEGG	B cell receptor signaling pathway	PPP3R1, SYK
3	KEGG	TGF-beta signaling pathway	SMAD6, BMP8A
4	KEGG	T cell receptor signaling pathway	PPP3R1, CBLB
5	KEGG	Cell cycle	CDC33, CDK7
6	KEGG	MAPK signaling pathway	TGFR1, PPP3R1, MAP4K4
7	KEGG	Ubiquitin mediated proteolysis	CDC23
8	KEGG	Notch signaling pathway	NOTCH4
9	KEGG	Hedgehog signaling pathway	BMP8A
10	KEGG	Long-term potentiation	PPP3R1
11	KEGG	Adipocytokine signaling pathway	RXRA
12	KEGG	Complement and coagulation cascades	SERPINA5
13	KEGG	VEGF signaling pathway	PPP3R1
14	KEGG	Fc epsilon RI signaling pathway	SYK
15	KEGG	Adherens junction	FGFR1
16	KEGG	Apoptosis	PPP3R1
17	KEGG	Antigen processing and presentation	TAPBP
18	KEGG	ECM-receptor interaction	LAMA3
19	KEGG	Tight junction	EPB41L2
20	KEGG	Axon guidance	PPP3R1
21	KEGG	Insulin signaling pathway	CBLB
22	KEGG	Wnt signaling pathway	PPP3R1
23	KEGG	Jak-STAT signaling pathway	CBLB
24	KEGG	Calcium signaling pathway	PPP3R1
25	KEGG	Focal adhesion	LAMA3
26	KEGG	Regulation of actin cytoskeleton	FGFR1
27	KEGG	Cytokine-cytokine receptor interaction	TNFSF13B
28	KEGG	Neuroactive ligand-receptor interaction	ADORA1
