Probe set	Gene Name	Gene symbol	Fold change rC2/rC1	p value
204694_at	alpha-fetoprotein	AFP	35.0	< 1e-07
201650_at	keratin 19	KRT19	10.5	0.0002417
207695_s_at	immunoglobulin superfamily, member 1	IGSF1	9.5	< 1e-07
205777_at	dual specificity phosphatase 9	DUSP9	8.7	2.00E-07
219918_s_at	asp (abnormal spindle)-like, microcephaly associated (Drosophila)	ASPM	8.1	0.0001151
201292_at	topoisomerase (DNA) II alpha 170kDa	TOP2A	7.4	6.96E-05
203764_at	discs, large homolog 7 (Drosophila)	DLG7	7.2	8.00E-07
206000_at	meprin A, alpha (PABA peptide hydrolase)	MEP1A	7.0	0.0003607
219148_at	PDZ binding kinase	PBK	6.9	2.09E-05
201890_at	ribonucleotide reductase M2 polypeptide	RRM2	6.8	8.52E-05
208029_s_at	lysosomal associated protein transmembrane 4 beta	LAPTM4B	6.7	0.0001952
214039_s_at	lysosomal associated protein transmembrane 4 beta	LAPTM4B	6.1	0.0003152
204836_at	glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P)	GLDC	5.9	5.05E-05
202870_s_at	CDC20 cell division cycle 20 homolog (S. cerevisiae)	CDC20	5.8	3.31E-05
208025_s_at	high mobility group AT-hook 2	HMGA2	5.5	7.98E-05
210052_s_at	TPX2, microtubule-associated, homolog (Xenopus laevis)	TPX2	5.5	3.10E-06
214710_s_at	cyclin B1	CCNB1	5.5	6.60E-06
201291_s_at	topoisomerase (DNA) II alpha 170kDa	TOP2A	5.3	2.48E-05
209773_s_at	ribonucleotide reductase M2 polypeptide	RRM2	5.2	0.0009409
219215_s_at	solute carrier family 39 (zinc transporter), member 4	SLC39A4	5.0	5.48E-05
208767_s_at	lysosomal associated protein transmembrane 4 beta	LAPTM4B	5.0	5.54E-05
218051_s_at	hypothetical protein FLJ12442	FLJ12442	4.9	0.0002495
205342_s_at	sulfotransferase family, cytosolic, 1C, member 1	SULT1C1	4.7	3.50E-06
209714_s_at	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	CDKN3	4.6	2.04E-05
201839_s_at	tumor-associated calcium signal transducer 1	TACSTD1	4.6	0.0001587
207828_s_at	centromere protein F, 350/400ka (mitosin)	CENPF	4.6	4.36E-05
208079_s_at	serine/threonine kinase 6	STK6	4.6	3.30E-06
218755_at	kinesin family member 20A	KIF20A	4.5	8.85E-05
218009_s_at	protein regulator of cytokinesis 1	PRC1	4.3	0.0002492
200790_at	ornithine decarboxylase 1	ODC1	4.2	0.0001362
