SYMBOL	DESCRIPTION	LOCUS	AFFYMETRIX ID	ANNOTATION	FOLD CHANGE	R -	S -	Expression
PCOLCE	procollagen C-endopeptidase enhancer	7q22	L33799_at	CELLULAR ARCHITECTURE	26.08	1470.8	56.4	Overexpressed in KCL22-r
TFF2	trefoil factor 2 (spasmolytic protein 1)	21q22.3	X51698_s_at	UNKNOWN	25.89	1294.3	50	Overexpressed in KCL22-r
TWIST	twist homolog	7p21.2	X99268_at	TRANSCRIPTIONAL REGULATION	18.28	1048	57.3	Overexpressed in KCL22-r
NNMT	nicotinamide N-methyltransferase	11q23.1	U08021_at	METABOLISM	17.21	1415.9	82.3	Overexpressed in KCL22-r
CRADD	CASP2 and RIPK1  domain containing adaptor with death domain	12q21.33-q23.1	U79115_s_at	APOPTOSIS	7.84	1142.5	145.7	Overexpressed in KCL22-r
XIST	XIST	Xq13.2	X56199_at	UNKNOWN	6.97	1740.9	249.8	Overexpressed in KCL22-r
CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	12q21.33-q23.1	U84388_at	APOPTOSIS	5.89	2922.5	496.6	Overexpressed in KCL22-r
DTR	diphtheria toxin receptor	5q23	M60278_at	SIGNAL TRANSDUCTION	5.7	1580.2	277.4	Overexpressed in KCL22-r
TCIRG1	T-cell immune regulator1 (ATPase, H+ transporting)	11q13.4-q13.5	U45285_at	PROTON PUMP	5	1029.4	205.9	Overexpressed in KCL22-r
GADD45A	growth arrest and DNA-damage-inducible ?	1p31.2-p31.1	M60974_s_at	DNA REPAIR	4.04	1141.5	282.8	Overexpressed in KCL22-r
PSAP	prosaposin	10q21-q22	J03077_s_at	METABOLISM	4.02	4813.3	1198.4	Overexpressed in KCL22-r
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2	21q22.2	J04102_at	TRANSCRIPTIONAL REGULATION	3.86	1185.8	307.2	Overexpressed in KCL22-r
PTGS1	prostaglandin-endoperoxide synthase1/cyclooxygenase1	9q32-q33.3	M59979_at	METABOLISM	3.84	1306.7	340.2	Overexpressed in KCL22-r
STAB1	stabilin 1	3p21.31	D87433_at	UNKNOWN	3.75	3536.1	942.2	Overexpressed in KCL22-r
GMFB	glia maturation factor, ?	14q22.1	AB001106_at	SIGNAL TRANSDUCTION	3.38	1022.2	302.5	Overexpressed in KCL22-r
PEA15	phosphoprotein enriched in astrocytes 15	1q21.1	X86809_at	SIGNAL TRANSDUCTION	3.36	2783.1	828.1	Overexpressed in KCL22-r
TGFB1	transforming growth factor, ?1	19q13.2	M38449_s_at	SIGNAL TRANSDUCTION	3.12	1859.3	596.1	Overexpressed in KCL22-r
	epican, alternative splice 1/CD44		HG2981-HT3125_s_at	SIGNAL TRANSDUCTION	3.09	2829.2	915.3	Overexpressed in KCL22-r
SLC6A8	cosmid creatine transporter	Xq28	U36341_rna1_at	SOLUTE CARRIER	3.08	1069.7	347.8	Overexpressed in KCL22-r
TUBA1	Tubulin ?1 Isoform 44	2q	HG2259-HT2348_s_at	CELLULAR ARCHITECTURE	3.05	3205.2	1051.3	Overexpressed in KCL22-r
ANGPT1	angiopoietin 1	8q22.3-q23	D13628_at	SIGNAL TRANSDUCTION	3.03	1005.8	332.4	Overexpressed in KCL22-r
MAC25	Mac25/IGFBP7	4q12	HG987-HT987_at	SIGNAL	0.02	50	2369.4	Underexpressed in KCL22-r
KIAA0225	KIAA0225 protein	7q31.32	D86978_at	UNKNOWN	0.04	50	1226.6	Underexpressed in KCL22-r
