Rank	ProbeSet	A	P-Value	High=>	Gene	Chromo some	Description
1	33412_at	0.917	0.000003	Group2	LGALS1	22q13.1	lectin, galactoside-binding, soluble, 1 (galectin 1)
2	38916_at	0.903	0.00001	Group1	CXorf6	Xq28	chromosome X open reading frame 6
3	41279_f_at	0.902	0.000012	Group1	MAPK8IP1	11p12-p11.2	mitogen-activated protein kinase 8 interacting protein 1
4	31993_f_at	0.893	0.000026	Group1	FLJ23743	10p13	hypothetical protein FLJ23743
5	38823_s_at	0.888	0.000044	Group1	STK17A	7p12-p14	serine/threonine kinase 17a (apoptosis-inducing)
6	36446_s_at	0.885	0.000058	Group1	HDGF	Xq25	hepatoma-derived growth factor (high-mobility group protein 1-like)
7	35807_at	0.883	0.00007	Group2	CYBA	16q24	cytochrome b-245, alpha polypeptide
8	36675_r_at	0.882	0.000076	Group2	PFN1	17p13.3	profilin 1
9	41744_at	0.876	0.000128	Group1	OPTN	10p14	optineurin
10	40062_s_at	0.876	0.000131	Group1	MYL4	17q21-qter	myosin, light polypeptide 4, alkali; atrial, embryonic
11	1460_g_at	0.875	0.000138	Group1	PTPN4	2q14.2	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)
12	38976_at	0.875	0.000142	Group2	CORO1A	16p12.1	coronin, actin binding protein, 1A
13	560_s_at	0.874	0.000158	Group1			M63589 /FEATURE=mRNA#5 /DEFINITION=HUMSCL7 Human stem cell leukemia gene product, exon 6
14	39182_at	0.873	0.000163	Group2	EMP3	19q13.3	epithelial membrane protein 3
15	34330_at	0.871	0.000191	Group1	COX7A2L	2p22.1	cytochrome c oxidase subunit VIIa polypeptide 2 like
16	40013_at	0.870	0.000207	Group1	CLIC2	Xq28	chloride intracellular channel 2
17	36713_at	0.867	0.000285	Group1	BIA2	1q44	BIA2
18	31820_at	0.866	0.000301	Group2	HCLS1	3q13	hematopoietic cell-specific Lyn substrate 1
19	41003_at	0.865	0.000326	Group1	PFDN4	20q13	prefoldin 4
20	37911_at	0.865	0.000343	Group2	STX4A	16p11.2	syntaxin 4A (placental)
21	41147_at	0.862	0.000413	Group1	MGC4276	9q22.1	hypothetical protein MGC4276 similar to CG8198
22	40039_g_at	0.861	0.000483	Group1	ST7	7q31.1-q31.3	suppression of tumorigenicity 7
23	1825_at	0.860	0.000496	Group2	IQGAP1	15q26.1	IQ motif containing GTPase activating protein 1
23	33799_at	0.860	0.000496	Group1	SIAH2	3q25	seven in absentia homolog 2 (Drosophila)
25	794_at	0.860	0.000509	Group2	PTPN6	12p13	protein tyrosine phosphatase, non-receptor type 6
26	33232_at	0.859	0.000536	Group2	CRIP1	7q11.23	cysteine-rich protein 1 (intestinal)
27	36598_s_at	0.858	0.000595	Group2	INPPL1	11q23	inositol polyphosphate phosphatase-like 1
28	AFFX-HSAC07/X00351_M_at	0.858	0.000626	Group2	ACTB	7p15-p12	actin, beta
29	38647_at	0.857	0.000677	Group2	COPE	19p13.11	coatomer protein complex, subunit epsilon
30	38087_s_at	0.855	0.00077	Group2	S100A4	1q21	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)
31	31481_s_at	0.854	0.000853	Group2	TMSB10	2p11.2	thymosin, beta 10
32	31850_at	0.853	0.000898	Group1	GCLC	6p12	glutamate-cysteine ligase, catalytic subunit
33	38369_at	0.853	0.000945	Group2	MYD88	3p22	myeloid differentiation primary response gene (88)
33	33357_at	0.853	0.000945	Group1	NCKAP1	2q32	NCK-associated protein 1
35	41743_i_at	0.851	0.001073	Group1	OPTN	10p14	optineurin
36	33804_at	0.851	0.001101	Group2	PTK2B	8p21.1	PTK2B protein tyrosine kinase 2 beta
37	36977_at	0.850	0.001129	Group2	NAPA	19q13.33	N-ethylmaleimide-sensitive factor attachment protein, alpha
38	39409_at	0.849	0.00125	Group1	C1R	12p13	complement component 1, r subcomponent
39	1315_at	0.849	0.001315	Group2	OAZ1	19p13.3	ornithine decarboxylase antizyme 1
39	34004_at	0.849	0.001315	Group1	MPL	1p34	myeloproliferative leukemia virus oncogene
41	384_at	0.847	0.00153	Group2	PSMB10	16q22.1	proteasome (prosome, macropain) subunit, beta type, 10
41	33336_at	0.847	0.00153	Group1	SLC4A1	17q21-q22	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)
43	32737_at	0.846	0.001568	Group2	RAC2	22q13.1	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
44	37405_at	0.846	0.001649	Group1	SELENBP1	1q21-q22	selenium binding protein 1
44	33791_at	0.846	0.001649	Group1	DLEU1	13q14.3	deleted in lymphocytic leukemia, 1
46	34610_at	0.845	0.001778	Group1	GNB2L1	5q35.3	guanine nucleotide binding protein (G protein), beta polypeptide2-like 1
47	37230_at	0.845	0.001823	Group1	KIAA0469	1p36.23	KIAA0469 gene product
48	39280_at	0.844	0.001869	Group2	TNRC5	6pter-p12.1	trinucleotide repeat containing 5
49	38895_i_at	0.844	0.001965	Group2	NCF4	22q13.1	neutrophil cytosolic factor 4, 40kDa
50	33659_at	0.844	0.001965	Group2	CFL1	11q13	cofilin 1 (non-muscle)
