Biological Process	Gene No.	Gene Name
Transcription	6	HSF4, ISGF3G, ZNF644, AVIAN, KLF6, SP4 transcription factor
Biological process unknown	6	ARPP-21, KLF6, NAT10, SLTT2, GSTA2, GLTSCR2
Regulation of transcription, DNA-dependent	6	HSF4, ZNF644, ISGF3G, VENTX, ISGF3G, AVIAN
Immune response	4	ISGF3G, AVIAN, TNF (superfamily, member1), OAS2
Protein transport	4	VPS33B1, SEC61A1, TOMM40, VPS35
Apoptosis	3	RNF34, ATG5, RAD21
Ubiquitin cycle	3	FBXO22, RNF34, USP30
Carbohydrate metabolism	3	PHKA2, MGAT4B, TALDO1
Transcription from RNA polymerase II Promotor	3	ISGF3G, PTTG1, AVIAN
Cell adhesion	3	NRXN2, MAGI1I, TGAV
Response to virus	3	VISA, ISGF3G, FGR
