ProbeID	GeneSymbol	Description	LocusLink	Fold Ch
225098_at	ABI-2	Abl interactor 2	10152	0.853191
218150_at	ARL5	ADP-ribosylation factor-like 5	26225	0.868845
222667_s_at	ASH1L	Data not found	55870	0.724807
208859_s_at	ATRX	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	546	0.783157
222696_at	AXIN2	Axin 2 (conductin, axil)	8313	6.453544
60474_at	C20orf42	Chromosome 20 open reading frame 42	55612	0.741197
218796_at	C20orf42	Chromosome 20 open reading frame 42	55612	0.815365
212996_s_at	C21orf108	Chromosome 21 open reading frame 108	9875	0.752229
212177_at	C6orf111	Chromosome 6 open reading frame 111	25957	0.713918
204048_s_at	C6orf56	Phosphatase and actin regulator 2	9749	0.809344
1555945_s_at	C9orf10	Chromosome 9 open reading frame 10	23196	0.796364
1555920_at	CBX3	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	11335	0.750542
236241_at	CGI-125	Mediator of RNA polymerase II transcription, subunit 31 homolog (yeast)	51003	0.716219
211343_s_at	COL13A1	Collagen, type XIII, alpha 1	1305	0.61354
221900_at	COL8A2	Collagen, type VIII, alpha 2	1296	0.899105
215646_s_at	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	1462	0.634903
209257_s_at	CSPG6	Chondroitin sulfate proteoglycan 6 (bamacan)	9126	0.734719
206504_at	CYP24A1	Cytochrome P450, family 24, subfamily A, polypeptide 1	1591	3.638601
223139_s_at	DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	170506	0.843948
229115_at	DNCH1	Dynein, cytoplasmic, heavy polypeptide 1	1778	0.681536
209457_at	DUSP5	Dual specificity phosphatase 5	1847	0.703286
212420_at	ELF1	E74-like factor 1 (ets domain transcription factor)	1997	0.70032
200842_s_at	EPRS	Glutamyl-prolyl-tRNA synthetase	2058	0.711191
203255_at	FBXO11	F-box protein 11	80204	0.835119
226799_at	FGD6	FYVE, RhoGEF and PH domain containing 6	55785	0.704373
225021_at	FLJ10697	Zinc finger protein 532	55205	0.789844
235388_at	FLJ12178	Data not found	80205	0.729346
222760_at	FLJ14299	Hypothetical protein FLJ14299	80139	2.795844
232094_at	FLJ22557	Chromosome 15 open reading frame 29	79768	0.712836
227475_at	FOXQ1	Forkhead box Q1	94234	1.515285
210178_x_at	FUSIP1	FUS interacting protein (serine/arginine-rich) 1	10772	0.808346
222834_s_at	GNG12	Guanine nucleotide binding protein (G protein), gamma 12	55970	0.599542
225097_at	HIPK2	Homeodomain interacting protein kinase 2	28996	0.78873
225116_at	HIPK2	Homeodomain interacting protein kinase 2	28996	0.809485
210118_s_at	IL1A	Interleukin 1, alpha	3552	0.622384
208953_at	KIAA0217	KIAA0217	23185	0.874794
212355_at	KIAA0323	KIAA0323	23351	0.846491
213352_at	KIAA0779	Transmembrane and coiled-coil domains 1	23023	0.714135
1554260_a_at	KIAA0826	Data not found	23045	0.652964
216563_at	KIAA0874	Ankyrin repeat domain 12	23253	0.719102
212492_s_at	KIAA0876	Jumonji domain containing 2B	23030	0.804138
213478_at	KIAA1026	Kazrin	23254	0.856901
212794_s_at	KIAA1033	KIAA1033	23325	0.723008
235009_at	KIAA1327	KIAA1327 protein	57219	0.897353
223380_s_at	LATS2	LATS, large tumor suppressor, homolog 2 (Drosophila)	26524	0.819796
212692_s_at	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	987	0.817006
1558173_a_at	LUZP1	leucine zipper protein 1	7798	0.795629
229846_s_at	MAPKAP1	Mitogen-activated protein kinase associated protein 1	79109	0.908201
222728_s_at	MGC5306	Hypothetical protein MGC5306	79101	0.647211
207700_s_at	NCOA3	Nuclear receptor coactivator 3	8202	0.75129
213328_at	NEK1	NIMA (never in mitosis gene a)-related kinase 1	4750	0.822685
203304_at	NMA	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	25805	1.528657
211671_s_at	NR3C1	Nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2908	0.752479
