z-score	tag	Gene Title	Gene Symbol	Chromosomal Location	description
-5.429	201_s_at	beta-2-microglobulin	B2M	15q21-q22.2	S82297 /FEATURE= /DEFINITION=S82297 beta 2-microglobulin {11bp deleted between nucleotides 98-99} [human, colon cancer cell line HCT, mRNA Mutant, 416 nt]
-4.538	31330_at	ribosomal protein S19	RPS19	19q13.2	Cluster Incl. M81757:H.sapiens S19 ribosomal protein mRNA, complete cds /cds=(22,459) /gb=M81757 /gi=337732 /ug=Hs.126701 /len=497
-4.116	34608_at	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	GNB2L1	5q35.3	Cluster Incl. M24194:Human MHC protein homologous to chicken B complex protein mRNA, complete cds /cds=UNKNOWN /gb=M24194 /gi=187701 /ug=Hs.5662 /len=1093
-4.039	31527_at	ribosomal protein S2	RPS2	16p13.3	Cluster Incl. X17206:Human mRNA for LLRep3 /cds=(240,905) /gb=X17206 /gi=34391 /ug=Hs.182426 /len=934
-4.026	31956_f_at	ribosomal protein, large, P1	RPLP1	15q22	Cluster Incl. M17886:Human acidic ribosomal phosphoprotein P1 mRNA, complete cds /cds=(129,473) /gb=M17886 /gi=190233 /ug=Hs.177592 /len=512
-3.865	34592_at	ribosomal protein S17	RPS17	15q	Cluster Incl. M13932:Human ribosomal protein S17 mRNA, complete cds /cds=(25,432) /gb=M13932 /gi=337500 /ug=Hs.5174 /len=477
-3.769	35119_at	ribosomal protein L13a /// similar to ribosomal protein L13a /// similar to ribosomal protein L13a /// similar to ribosomal protein L13a; 60S ribosomal protein L13a; 23 kD highly basic protein /// similar to ribosomal protein L13a /// similar to ribosomal	RPL13A /// LOC283340 /// LOC284821 /// RP11-365K22.1 /// LOC642209 /// LOC649564 /// LOC728658	19q13.3 /// 10q24.1 /// 21q21.2 /// 13q21.1	Cluster Incl. X56932:H.sapiens mRNA for 23 kD highly basic protein /cds=(17,628) /gb=X56932 /gi=23690 /ug=Hs.119122 /len=672
-3.711	38061_at	ribosomal protein S16	RPS16	19q13.1	Cluster Incl. AI541256:pec1.2-3.F11.r Homo sapiens cDNA, 5 end /clone_end=5 /gb=AI541256 /gi=4458629 /ug=Hs.80617 /len=717
-3.334	347_s_at	ribosomal protein S23	RPS23	5q14.2	D14530 /FEATURE= /DEFINITION=HUMRSPT Human homolog of yeast ribosomal protein S28, complete cds
-3.302	32330_at	ribosomal protein S11	RPS11	19q13.3	Cluster Incl. X06617:Human mRNA for ribosomal protein S11 /cds=(15,491) /gb=X06617 /gi=36143 /ug=Hs.182740 /len=543
-3.297	32748_at	ribosomal protein S27 (metallopanstimulin 1)	RPS27	1q21	Cluster Incl. AI557852:P6test.G05.r Homo sapiens cDNA, 5 end /clone_end=5 /gb=AI557852 /gi=4490215 /ug=Hs.195453 /len=693
-3.177	41231_f_at	high-mobility group nucleosomal binding domain 2 /// similar to D-PCa-2 protein isoform c /// similar to Nonhistone chromosomal protein HMG-17 (High-mobility group nucleosome-binding domain-containing protein 2) /// similar to Nonhistone chromosomal prote	HMGN2 /// LOC643744 /// LOC727795 /// LOC728632 /// LOC730562	1p36.1 /// 5q13.3 /// 15q13.1 /// 16p12.1	Cluster Incl. X13546:Human HMG-17 gene for non-histone chromosomal protein HMG-17 /cds=(107,379) /gb=X13546 /gi=32328 /ug=Hs.181163 /len=1198
-2.877	2016_s_at	ribosomal protein L10	RPL10	Xq28	M64241 /FEATURE= /DEFINITION=HUMQM Human Wilm s tumor-related protein (QM) mRNA, complete cds
-2.75	31545_at	ribosomal protein S18	RPS18	6p21.3	Cluster Incl. AL031228:dJ1033B10.4 (40S ribosomal protein S18 (RPS18, KE-3)) /cds=(39,497) /gb=AL031228 /gi=3646023 /ug=Hs.75362 /len=541
-2.72	31385_at	ribosomal protein L28	RPL28	19q13.4	Cluster Incl. U14969:Human ribosomal protein L28 mRNA, complete cds /cds=(27,440) /gb=U14969 /gi=550018 /ug=Hs.4437 /len=485
-2.717	31505_at	ribosomal protein L8	RPL8	8q24.3	Cluster Incl. Z28407:H.sapiens mRNA for ribosomal protein L8 /cds=(43,816) /gb=Z28407 /gi=433898 /ug=Hs.178551 /len=852
-2.5	34593_g_at	ribosomal protein S17	RPS17	15q	Cluster Incl. M13932:Human ribosomal protein S17 mRNA, complete cds /cds=(25,432) /gb=M13932 /gi=337500 /ug=Hs.5174 /len=477
-2.181	34643_at	ribosomal protein S4, X-linked	RPS4X	Xq13.1	Cluster Incl. M58458:Human ribosomal protein S4 (RPS4X) isoform mRNA, complete cds /cds=(35,826) /gb=M58458 /gi=337509 /ug=Hs.75344 /len=888
-2.178	32438_at	ribosomal protein S20	RPS20	8q12	Cluster Incl. L06498:Homo sapiens ribosomal protein S20 (RPS20) mRNA, complete cds /cds=(113,472) /gb=L06498 /gi=292442 /ug=Hs.8102 /len=505
