Classification	Accession ID	Symbol	Gene name	Expression level (Log2 ratio)a)
Calcium ion binding	NM_005184.1	CALM3	calmodulin 3 (phosphorylase kinase, delta)	-1.32
Calcium ion binding	NM_003127.1	SPTAN1	Spectrin, alpha, non-erythrocytic 1	-0.76
Cell growth and/or maintenance	NM_012242.1	DKK1	dickkopf homolog 1 (Xenopus laevis)	-0.63
Cell growth and/or maintenance	NM_003226.1	TFF3	trefoil factor 3 (intestinal)	-0.82
Cell proliferation	NM_004111.4	FEN1	Flap structure-specific endonuclease 1	-0.94
Cell proliferation	NM_013400.1	REPIN1	replication initiator 1	-1.07
Metabolism	NM_004905.2	PRDX6	peroxiredoxin 6	-1.08
Metabolism	XM_113678.4	NUP160	nucleoporin 160 kDa	-0.88
Metabolism	NM_000858.3	GUK1	Guanylate kinase 1	-0.73
Metabolism	NM_000386.2	BLMH	Bleomycin hydrolase	-1.41
Metabolism	NM_020202.2	NIT2	Nit protein 2	-0.86
Metabolism	NM_003133.1	SRP9	Signal recognition particle 9 kDa	-0.84
Metabolism	NM_003145.2	SSR2	signal sequence receptor, beta (translocon)	-1.13
Metabolism	NM_144563.1	RPIA	ribose 5-phosphate isomerase A	-0.96
Miscellaneous	NM_031434.2	C7orf21	chromosome 7 open reading frame 21	-0.94
Miscellaneous	NM_174889.2	LOC91942	Hydrothetical protein LOC91942	-0.86
Miscellaneous	XM_086257.2		similar to ribosomal protein S15	-0.7
Miscellaneous	NM_078642	CypB	Cyclophilin B (peptidylproplyl isomerase B) mRNA	-1.31
