probe	EntrezGene.ID	coefficient	NCBI.gene.symbol	Description
208392_x_at	3431	-1	SP110	SP110 nuclear body protein
217428_s_at	1300	1	COL10A1	collagen, type X, alpha 1(Schmid metaphyseal chondrodysplasia)
201641_at	684	-1	BST2	bone marrow stromal cell antigen 2
202411_at	3429	-1	IFI27	interferon, alpha-inducible protein 27
205280_at	2743	1	GLRB	glycine receptor, beta
204698_at	3669	-1	ISG20	interferon stimulated exonuclease gene 20kDa
216541_x_at	479	-1	ATP12A	ATPase, H+/K+ transporting, nongastric, alpha polypeptide
206326_at	2922	1	GRP	gastrin-releasing peptide
209930_s_at	4778	-1	NFE2	nuclear factor (erythroid-derived 2), 45kDa
204890_s_at	3932	-1	LCK	lymphocyte-specific protein tyrosine kinase
204661_at	1043	-1	CD52	CD52 molecule
204320_at	1301	1	COL11A1	collagen, type XI, alpha 1
221286_s_at	51237	-1	MGC29506	hypothetical protein MGC29506
206067_s_at	7490	1	WT1	Wilms tumor 1
205267_at	5450	-1	POU2AF1	POU domain, class 2, associating factor 1
205569_at	27074	-1	LAMP3	lysosomal-associated membrane protein 3
200628_s_at	7453	-1	WARS	tryptophanyl-tRNA synthetase
213764_s_at	8076	1	MFAP5	microfibrillar associated protein 5
219087_at	54829	1	ASPN	asporin (LRR class 1)
204439_at	10964	-1	IFI44L	interferon-induced protein 44-like
205713_s_at	1311	1	COMP	cartilage oligomeric matrix protein
219262_at	79723	-1	SUV39H2	suppressor of variegation 3-9 homolog 2 (Drosophila)
