ProbeID	GeneSymbol	Description	LocusLink	Fold Ch
208161_s_at	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	8714	0.619311
209641_s_at	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	8714	0.583339
231907_at	ABL2	V-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	27	0.807707
234312_s_at	ACAS2	Acetyl-Coenzyme A synthetase 2 (ADP forming)	55902	0.776573
205180_s_at	ADAM8	A disintegrin and metalloproteinase domain 8	101	0.689631
227530_at	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	9590	0.513224
227529_s_at	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	9590	0.352185
209645_s_at	ALDH1B1	Aldehyde dehydrogenase 1 family, member B1	219	1.268676
207396_s_at	ALG3	Asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase)	10195	1.919284
229267_at	ANAPC1	Anaphase promoting complex subunit 1	64682	1.317454
224634_at	APOA1BP	Apolipoprotein A-I binding protein	128240	1.613712
47069_at	ARHGAP8	Data not found	23779	1.186684
209824_s_at	ARNTL	Aryl hydrocarbon receptor nuclear translocator-like	406	0.44197
210971_s_at	ARNTL	Aryl hydrocarbon receptor nuclear translocator-like	406	0.450156
224204_x_at	ARNTL2	Aryl hydrocarbon receptor nuclear translocator-like 2	56938	0.615163
208758_at	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	471	1.571547
212135_s_at	ATP2B4	Data not found	493	0.613668
205410_s_at	ATP2B4	Data not found	493	0.577779
207618_s_at	BCS1L	BCS1-like (yeast)	617	1.164672
220688_s_at	C1orf33	Chromosome 1 open reading frame 33	51154	1.855329
50314_i_at	C20orf27	Chromosome 20 open reading frame 27	54976	1.752335
211559_s_at	CCNG2	Cyclin G2	901	0.566033
221520_s_at	CDCA8	Cell division cycle associated 8	55143	0.545742
211804_s_at	CDK2	Cyclin-dependent kinase 2	1017	0.287966
202246_s_at	CDK4	Cyclin-dependent kinase 4	1019	1.613593
211862_x_at	CFLAR	CASP8 and FADD-like apoptosis regulator	8837	0.762106
218732_at	CGI-147	Bcl-2 inhibitor of transcription	51651	1.818935
223232_s_at	CGN	Cingulin	57530	0.623875
230656_s_at	CIRH1A	Cirrhosis, autosomal recessive 1A (cirhin)	84916	1.663557
224903_at	CIRH1A	Cirrhosis, autosomal recessive 1A (cirhin)	84916	1.62898
233986_s_at	CLG	Pleckstrin homology domain containing, family G (with RhoGef domain) member 2	64857	0.244642
202310_s_at	COL1A1	Collagen, type I, alpha 1	1277	0.594462
203325_s_at	COL5A1	Collagen, type V, alpha 1	1289	0.672956
221900_at	COL8A2	Collagen, type VIII, alpha 2	1296	0.801925
205076_s_at	CRA	Myotubularin related protein 11	10903	0.626912
215537_x_at	DDAH2	Dimethylarginine dimethylaminohydrolase 2	23564	0.693711
202262_x_at	DDAH2	Dimethylarginine dimethylaminohydrolase 2	23564	0.422444
204977_at	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	1662	1.833822
208895_s_at	DDX18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	8886	1.430173
203385_at	DGKA	Diacylglycerol kinase, alpha 80kDa	1606	0.77032
213632_at	DHODH	Dihydroorotate dehydrogenase	1723	1.476806
213279_at	DHRS1	Dehydrogenase/reductase (SDR family) member 1	115817	0.696949
201479_at	DKC1	Dyskeratosis congenita 1, dyskerin	1736	2.03138
226763_at	DKFZp434O0515	SEC14 and spectrin domains 1	91404	0.718923
209725_at	DRIM	Down-regulated in metastasis	27340	1.912342
