Affymetrix ID	Gene Name	Fold Change	p-value
217700_at	hypothetical protein MGC40499	2.57	0.0002
204239_s_at	neuronatin	3.54	0.0028
210745_at	one cut domain, family member 1	3.27	0.0018
211781_x_at		4.53	0.0436
208134_x_at	pregnancy specific beta-1-glycoprotein 6	3.43	0.0046
204250_s_at	KIAA1052 protein	2.79	0.0038
219720_s_at	chromosome 14 open reading frame 118	2.3	0.0003
211104_s_at	myosin VIIA (Usher syndrome 1B (autosomal recessive, severe))	2.94	0.0041
211824_x_at	death effector filament-forming Ced-4-like apoptosis protein	2	0.0005
214907_at	hypothetical protein R29124_1	2.33	0.0014
213767_at	kinase suppressor of ras	3.48	0.0126
221614_s_at	rabphilin 3A-like (without C2 domains)	2.21	0.002
220274_at	hypothetical protein FLJ22527	2.75	0.005
216951_at	Fc fragment of IgG, high affinity Ia, receptor for (CD64)	2.63	0.0059
209789_at	coronin, actin binding protein, 2B	3.52	0.011
205974_at	Homo sapiens transcribed sequences	2.83	0.014
211692_s_at	BCL2 binding component 3	1.7	0.0005
219589_s_at	hypothetical protein FLJ10922	4.44	0.0424
207458_at	hypothetical protein MGC3113	1.99	0.0005
214950_at	Homo sapiens transcribed sequence with weak  similarity to protein sp:Q01113 (H.sapiens) IL9R_HUMAN Interleukin-9 receptor precursor (IL-9R)	2.51	0.0063
202391_at	brain abundant, membrane attached signal protein 1	1.76	0.0005
220519_s_at	lens intrinsic membrane protein 2, 19kDa	2.66	0.0169
219830_at	retinoic acid induced 1	4.7	0.0987
222058_at	ring finger protein 130	1.85	0.0006
208404_x_at	potassium inwardly-rectifying channel, subfamily J, member 5	2.35	0.0105
217193_x_at	Homo sapiens clone P2-114 anti-oxidized LDL immunoglobulin light chain Fab mRNA, partial cds	2.58	0.0061
221091_at	insulin-like 5	2.56	0.0179
207429_at	solute carrier family 22 (organic cation transporter), member 2	4.09	0.0227
222174_at	farnesyltransferase, CAAX box, beta	2.75	0.005
202547_s_at	Rho guanine nucleotide exchange factor (GEF) 7	1.96	0.0068
215074_at	myosin IB	2.91	0.0444
206811_at	adenylate cyclase 8 (brain)	2.59	0.0057
221885_at	KIAA1277 protein	4.32	0.021
220822_at		2.36	0.0121
221292_at	patched homolog 2 (Drosophila)	1.89	0.0028
221018_s_at	tudor domain containing 1	2.33	0.0125
202327_s_at	polycystic kidney disease 1 (autosomal dominant)	2.46	0.003
207873_x_at	seizure related 6 homolog (mouse)-like	2.89	0.0103
207058_s_at	Parkinson disease (autosomal recessive, juvenile) 2, parkin	1.98	0.0052
206318_at	serine protease inhibitor-like, with Kunitz and WAP domains 1 (eppin)	2.04	0.0046
209048_s_at	protein kinase C binding protein 1	1.59	0.0003
202873_at	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C, isoform 1	1.69	0.0008
206826_at	peripheral myelin protein 2	1.96	0.011
207477_at	Homo sapiens transcribed sequences	3.24	0.0176
221350_at	homeo box C8	2.58	0.0128
221317_x_at	protocadherin beta 6	3.13	0.0196
207553_at	opioid receptor, kappa 1	1.9	0.0078
206873_at	carbonic anhydrase VI	2.46	0.0086
216432_at	solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	2.37	0.0111
214295_at	KIAA0485 protein	1.72	0.0013
221178_at	hypothetical protein FLJ22582	2.15	0.0606
207693_at	calcium channel, voltage-dependent, beta 4 subunit	2.11	0.0498
208106_x_at	pregnancy specific beta-1-glycoprotein 6	1.76	0.0017
207964_x_at	interferon, alpha 4	1.91	0.0032
214803_at	Homo sapiens mRNA; cDNA DKFZp564N1116 (from clone DKFZp564N1116)	2.08	0.0131
208187_s_at		2.15	0.0071
204543_at	guanine nucleotide-releasing factor 2 (specific for crk proto-oncogene)	2.9	0.0486
214218_s_at	hypothetical protein LOC139202	4.46	0.0762
219398_at	cell death activator CIDE-3	1.67	0.0019
215060_at	alpha-2-glycoprotein 1, zinc	2.08	0.0167
203267_s_at	developmentally regulated GTP binding protein 2	1.64	0.0016
206794_at	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	2.27	0.0215
219444_at	hypothetical protein FLJ11362	1.57	0.0005
203896_s_at	phospholipase C, beta 4	2.95	0.0789
219477_s_at	thrombospondin, type I, domain 1	2.08	0.0223
209842_at	LOC348630	2.86	0.0341
213471_at	nephronophthisis 4	1.51	0.0001
205850_s_at	gamma-aminobutyric acid (GABA) A receptor, beta 3	3.1	0.0403
202548_s_at	Rho guanine nucleotide exchange factor (GEF) 7	1.93	0.0184
206965_at	Kruppel-like factor 12	1.84	0.0083
213307_at	SH3 and multiple ankyrin repeat domains 2	2.62	0.1258
214906_x_at	hypothetical gene CG018	1.74	0.005
221629_x_at	brain protein 16	1.76	0.0038
213103_at	START domain containing 13	1.65	0.004
213492_at	collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	1.82	0.0047
220918_at	runt-related transcription factor 1(acute myeloid leukemia 1; aml1 oncogene)	2.46	0.014
201579_at	FAT tumor suppressor homolog 1 (Drosophila)	1.88	0.0159
210358_x_at	GATA binding protein 2	1.55	0.0012
214122_at	enigma (LIM domain protein)	1.96	0.0648
216955_at	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	2.07	0.0097
215256_x_at	sorting nexin 26	2.02	0.0128
214443_at	poliovirus receptor	1.81	0.0039
215843_s_at	tolloid-like 2	2.69	0.0167
206217_at	ectodermal dysplasia 1, anhidrotic	1.72	0.0027
220566_at	phosphoinositide-3-kinase, regulatory subunit, polypeptide p101	1.68	0.0031
220897_at		1.9	0.0117
220087_at	beta-carotene 15, 15-dioxygenase	2.29	0.0506
221991_at	neurexophilin 3	1.91	0.0142
204166_at	KIAA0963 protein	1.97	0.0132
202340_x_at	nuclear receptor subfamily 4, group A, member 1	1.79	0.0609
206623_at	phosphodiesterase 6A, cGMP-specific, rod, alpha	2.73	0.0328
209874_x_at	cyclin M2	1.61	0.002
205117_at		2.12	0.0163
