Clone ID	GenBank	UniGene	Symbol	Name	Entrez	Log Fold Change	q-value
377461	AA055368	Hs.74034	CAV1	Caveolin 1, caveolae protein, 22kDa	857	-0.3299405	0.5558353
253141	H88963	Hs.502876	RHOB	Ras homolog gene family, member B	388	0.18327379	0.5919386
288936	N62696	Hs.459035	RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1	5923	0.212024245	0.5919386
219976	H81820	Hs.431048	ABL1	V-abl Abelson murine leukemia viral oncogene homolog 1	25	0.103541692	0.5919386
345680	W72033	Hs.194695	DIRAS3	DIRAS family, GTP-binding RAS-like 3	9077	0.39175	0.5558353
302073	AI668644	Hs.513645	PAK6	P21(CDKN1A)-activated kinase 6	56924	0.080148831	0.5919386
510318	AA053218	Hs.86859	GRB7	Growth factor receptor-bound protein 7	2886	-0.51101193	0.5558353
321271	AA037410	Hs.102336	ARHGAP8	Rho GTPase activating protein 8	23779	0.19131308	0.5919386
417226	W87741	Hs.202453	MYC	V-myc myelocytomatosis viral oncogene homolog (avian)	4609	0.10553573	0.5919386
193310	H47614	Hs.15738	RAB7	RAB7, member RAS oncogene family	7879	0.13949999	0.5919386
754275	AA479287	Hs.24598	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	23365	0.363273818	0.5558353
246377	N52517	Hs.445030	RHOBTB3	Rho-related BTB domain containing 3	22836	0.161190563	0.5919386
283954	N53351	Hs.464985	RIT2	Ras-like without CAAX 2	6014	-0.077738088	0.5919386
113488	T78604	Hs.131489	PARD3	Par-3 partitioning defective 3 homolog (C. elegans)	56288	-0.44244045	0.5558353
624414	AA181207	Hs.525389	RHOJ	Ras homolog gene family, member J	57381	-0.165427636	0.5919386
327150	W02657	Hs.159195	DOCK1	Dedicator of cytokinesis 1	1793	0.44226188	0.5558353
49810	H15287	Hs.513645	PAK6	P21(CDKN1A)-activated kinase 6	56924	0.30955358	0.5558353
49389	H15539	Hs.488683	STX1A	Syntaxin 1A (brain)	6804	0.52175597	0.5558353
123858	R00765	Hs.431048	ABL1	V-abl Abelson murine leukemia viral oncogene homolog 1	25	0.04496154	0.5919386
796984	AA463492	Hs.292356	CYBB	Cytochrome b-245, beta polypeptide (chronic granulomatous disease)	1536	0.28964281	0.5558353
202901	H54025	Hs.369921	VAV2	Vav 2 oncogene	7410	0.35636905	0.5558353
137063	R35902	Hs.478673	IL1RAP	Interleukin 1 receptor accessory protein	3556	0.37999995	0.5558353
29964	R42421	Hs.343380	CDC42EP2	CDC42 effector protein (Rho GTPase binding) 2	10435	0.11737504	0.5919386
328868	W40475	Hs.502328	CD44	CD44 antigen (Indian blood group)	960	-0.099761877	0.5919386
357681	W92603	Hs.474781	NCF4	Neutrophil cytosolic factor 4, 40kDa	4689	1.0626189	0.5558353
1473690	AA916728	Hs.102336	ARHGAP8	Rho GTPase activating protein 8	23779	0.388720214	0.5558353
40673	R56044	Hs.195659	SRC	V-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	6714	0.150999995	0.5919386
1011443	AA229714	Hs.496240	AR	Androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	367	-0.049166655	0.5919386
897642	AA496785	Hs.431048	ABL1	V-abl Abelson murine leukemia viral oncogene homolog 1	25	-0.41116068	0.4359238
268700	N23996	Hs.153026	SWAP70	SWAP-70 protein	23075	-0.375297589	0.5558353
1590206	AA947606	Hs.408312	TP53	Tumor protein p53 (Li-Fraumeni syndrome)	7157	0.026849824	0.624869
564428	AA101677	Hs.25960	MYCN	V-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	4613	-0.227857148	0.5558353
323474	W45572	Hs.286221	ARF1	ADP-ribosylation factor 1	375	0.16514287	0.5919386
814123	AA465389	Hs.474781	NCF4	Neutrophil cytosolic factor 4, 40kDa	4689	0.119732158	0.5919386
244801	N54420	Hs.516954	ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11	9826	-0.39464283	0.5558353
131880	R24654	Hs.391828	PARD6B	Par-6 partitioning defective 6 homolog beta (C. elegans)	84612	0.251815468	0.5558353
768246	AA424937	Hs.531704	PRKCA	Protein kinase C, alpha	5578	0.29723212	0.5558353
1156267	AA776225	Hs.159195	DOCK1	Dedicator of cytokinesis 1	1793	0.42000001	0.5558353
44351	H05800	Hs.387262	MCF2	MCF.2 cell line derived transforming sequence	4168	0.12466666	0.5919386
41565	R66447	Hs.25960	MYCN	V-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	4613	0.27083334	0.5558353
142134	R69153	Hs.102336	ARHGAP8	Rho GTPase activating protein 8	23779	0.46324402	0.5558353
1203641	AA635404	Hs.131489	PARD3	Par-3 partitioning defective 3 homolog (C. elegans)	56288	-0.089833345	0.5919386
127099	R08116	Hs.131489	PARD3	Par-3 partitioning defective 3 homolog (C. elegans)	56288	-0.93619058	0.4359238
40011	R54037	Hs.162189	KALRN	Kalirin, RhoGEF kinase	8997	0.337142837	0.5558353
151430	H03494	Hs.502328	CD44	CD44 antigen (Indian blood group)	960	0.41014879	0.5558353
245062	N72384	Hs.291030	IQGAP2	IQ motif containing GTPase activating protein 2	10788	-0.335625	0.5558353
773276	AA425319	Hs.98303	CAV3	Caveolin 3	859	0.055625	0.5919386
840889	AA482251	Hs.282177	PIP5K1C	Phosphatidylinositol-4-phosphate 5-kinase, type I, gamma	23396	-0.24872023	0.5558353
210415	H64850	Hs.517228	TIAM1	T-cell lymphoma invasion and metastasis 1	7074	0.188928574	0.5919386
