Subgroup	Probe ID	Gene	Rank RMA/RF	Rank Ross et al†	Expression above/below mean	Fold change
BCR-ABL	201906_s_at	CTDSPL	1	17	Above	2.5
BCR-ABL	209365_s_at	ECM1	2	3	Above	5.0
BCR-ABL	210830_s_at	PON2	3	2	Above	5.7
BCR-ABL	202123_s_at	ABL1	4	76	Above	2.0
BCR-ABL	222154_s_at	DNAPTP6	5	13	Above	6.9
E2A-PBX1	212148_at	PBX1	1	4	Above	29.6
E2A-PBX1	221113_s_at	WNT16	2	18	Above	6.2
E2A-PBX1	205253_at	PBX1	3	3	Above	36.1
E2A-PBX1	230306_at•	MGC10485	4	11	Above	5.9
E2A-PBX1	225483_at•	MGC10485	5	8	Above	8.2
Hyperdipl.>50	200659_s_at	PHB	1	-	Above	2.8
Hyperdipl.>51	216071_x_at	TNRC11	2	1	Above	1.7
Hyperdipl.>52	208598_s_at	UREB1	3	12	Above	1.6
Hyperdipl.>53	226875_at•	DOCK11	4	35	Above	2.3
Hyperdipl.>54	200057_s_at	NONO	5	-	Above	1.5
MLL	226939_at•	CPEB2	1	1	Above	5
MLL	219463_at	C20orf103	2	2	Above	15.2
MLL	204069_at	MEIS1	3	3	Above	10
MLL	218847_at	IMP-2	4	24	Above	7
MLL	201152_s_at	MBNL1	5	23	Above	2.2
T-ALL	213539_at	CD3D	1	17	Above	28.3
T-ALL	227646_at•	EBF	2	23	Below	24.6
T-ALL	217147_s_at	TRIM	3	20	Above	10.1
T-ALL	229487_at•	EBF	4	24	Below	20.4
T-ALL	50221_at	TFEB	5	-	Below	2.2
TEL-AML1	206231_at	KCNN1	1	15	Above	3.2
TEL-AML1	241505_at•	EST	2	4	Above	5.8
TEL-AML1	206033_s_at	DSC3	3	12	Above	8.8
TEL-AML1	214110_s_at	EST	4	-	Above	2.2
TEL-AML1	206032_at	DSC3	5	11	Above	4.8
