Rank	ProbeSet	Z score	High	Gene	Chromosome	Description
1	1495_at	242.84	A	LTBP1	2p22-p21	latent transforming growth factor beta binding protein 1
2	32696_at	138.64	A	PBX3	9q33-q34	pre-B-cell leukemia transcription factor 3
3	37039_at	87.57	NOT A	HLA-DRA	6p21.3	major histocompatibility complex, class II, DR alpha
4	38095_i_at	81.36	NOT A	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
5	32667_at	60.66	A	COL4A5	Xq22	collagen, type IV, alpha 5 (Alport syndrome)
6	34777_at	42.71	N/A	ADM	11p15.4	adrenomedullin
7	36143_at	37.88	A	CASP3	4q34	caspase 3, apoptosis-related cysteine protease
8	34789_at	35.12	NOT A	SERPINB6	6p25	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6
9	40202_at	33.74	N/A	BTEB1	9q13	basic transcription element binding protein 1
10	41136_s_at	26.15	N/A	APP	21q21.3	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)
11	37242_at	26.15	A	FTO	16q12.2	fatso
12	33371_s_at	24.77	NOT A	RAB31	18p11.3	RAB31, member RAS oncogene family
13	38096_f_at	24.08	NOT A	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
14	36773_f_at	21.32	N/A	HLA-DQB1	6p21.3	major histocompatibility complex, class II, DQ beta 1
15	41038_at	20.63	N/A	NCF2	1q25	neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease,autosomal 2)
16	32747_at	19.25	N/A	ALDH2	12q24.2	aldehyde dehydrogenase 2 family (mitochondrial)
17	39593_at	15.80	N/A	FGL2	7q11.23	fibrinogen-like 2
18	35847_at	15.80	A	USP24	1p32.3	ubiquitin specific protease 24
19	34878_at	15.80	A	SMC4L1	3q26.1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)
20	40063_at	15.11	A	NDP52	17q21.33	nuclear domain 10 protein
21	41237_at	14.42	NOT A	HLA-A	6p21.3	major histocompatibility complex, class I, A
22	39746_at	14.42	A	POLR2B	4q12	polymerase (RNA) II (DNA directed) polypeptide B, 140kDa
23	38567_at	13.73	N/A	CD1D	1q22-q23	CD1D antigen, d polypeptide
24	37685_at	13.73	A	PICALM	11q14	phosphatidylinositol binding clathrin assembly protein
25	37423_at	13.73	A	SLC12A2	5q23.3	solute carrier family 12 (sodium/potassium/chloride transporters), member 2
26	37383_f_at	13.73	NOT A	HLA-C	6p21.3	major histocompatibility complex, class I, C
27	37187_at	13.73	N/A	CXCL2	4q21	chemokine (C-X-C motif) ligand 2
28	34748_at	13.73	A	RASGRP3	2p25.1-p24.1	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
29	32963_s_at	13.04	N/A	RRAGD	6q15-q16	Ras-related GTP binding D
30	40091_at	12.35	N/A	BCL6	3q27	B-cell CLL/lymphoma 6 (zinc finger protein 51)
31	2042_s_at	12.35	A	MYB	6q22-q23	v-myb myeloblastosis viral oncogene homolog (avian)
32	38472_at	11.66	A	KIAA0143	8q24.22	KIAA0143 protein
33	37398_at	11.66	NOT A	PECAM1	17q23	platelet/endothelial cell adhesion molecule (CD31 antigen)
34	37009_at	11.66	A	CAT	11p13	catalase
35	32675_at	11.66	N/A	BST1	4p15	bone marrow stromal cell antigen 1
36	32529_at	11.66	N/A	CKAP4	12q24.11	cytoskeleton-associated protein 4
37	2045_s_at	11.66	N/A	HCK	20q11-q12	hemopoietic cell kinase
38	763_at	10.97	A	GMFB	14q22.2	glia maturation factor, beta
39	41723_s_at	10.28	NOT A	HLA-DRB3	6p21.3	major histocompatibility complex, class II, DR beta 3
40	41609_at	10.28	N/A	HLA-DMB	6p21.3	major histocompatibility complex, class II, DM beta
41	40791_at	10.28	A	POLR2A	17p13.1	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa
42	35294_at	10.28	A	SSA2	1q31	Sjogren syndrome antigen A2 (60kDa, ribonucleoprotein autoantigen SS-A/Ro)
43	1290_g_at	10.28	N/A	GSTM5	1p13.3	glutathione S-transferase M5
44	41448_at	9.59	N/A	HOXA10	7p15-p14	homeo box A10
45	38833_at	9.59	NOT A	HLA-DPA1	6p21.3	major histocompatibility complex, class II, DP alpha 1
46	37199_at	9.59	A	D2LIC	2p25.1-p24.1	dynein 2 light intermediate chain
47	37012_at	9.59	NOT A	CAPZB	1p36.1	capping protein (actin filament) muscle Z-line, beta
48	34678_at	9.59	N/A	FER1L3	10q24	fer-1-like 3, myoferlin (C. elegans)
49	32697_at	9.59	A	IMPA1	8q21.13-q21.3	inositol(myo)-1(or 4)-monophosphatase 1
50	1860_at	9.59	A	TP53BP2	1q42.1	tumor protein p53 binding protein, 2
