HG U133A probe set	Gene Symbol	MLL rearranged	non-MLL rearranged	Fold change	t statistic	P	q
209905_at	HOXA9	1868.0	373.0	5.0	12.2	0.0000	0.0000
214651_s_at	HOXA9	3174.9	698.7	4.5	11.6	0.0000	0.0000
213147_at	HOXA10	1753.4	491.6	3.6	10.7	0.0000	0.0000
213150_at	HOXA10	1589.7	384.8	4.1	10.0	0.0000	0.0000
206622_at	TRH	50.9	1932.1	-38.0	-7.9	0.0000	0.0000
201105_at	LGALS1	21844.0	8709.0	2.5	7.4	0.0000	0.0000
203733_at	DEXI	637.3	194.7	3.3	8.5	0.0000	0.0000
214671_s_at	ABR	316.8	126.3	2.5	7.1	0.0000	0.0000
219790_s_at	NPR3	22.6	117.3	-5.2	-7.5	0.0000	0.0000
208789_at	PTRF	38.7	313.7	-8.1	-6.7	0.0000	0.0000
204069_at	MEIS1	1008.3	324.2	3.1	7.4	0.0000	0.0000
210405_x_at	TNFRSF10B	222.1	108.2	2.1	6.7	0.0000	0.0001
204494_s_at	DKFZP434H132	1278.4	808.8	1.6	6.1	0.0000	0.0001
200961_at	SEPHS2	999.4	703.8	1.4	7.1	0.0000	0.0001
201904_s_at	CTDSPL	34.2	191.3	-5.6	-6.1	0.0000	0.0001
213547_at	TIP120B	172.1	113.9	1.5	5.8	0.0000	0.0001
218557_at	NIT2	748.4	1285.5	-1.7	-6.9	0.0000	0.0002
221581_s_at	WBSCR5	5384.1	2682.1	2.0	5.9	0.0000	0.0002
204438_at	MRC1	98.4	604.9	-6.1	-5.6	0.0000	0.0002
201850_at	CAPG	4969.4	1413.8	3.5	6.7	0.0000	0.0003
218404_at	SNX10	899.3	369.0	2.4	6.1	0.0000	0.0004
219452_at	DPEP2	931.4	489.5	1.9	5.6	0.0000	0.0004
212175_s_at	AK2	3465.9	1820.7	1.9	7.1	0.0000	0.0004
221755_at	EHBP1L1	600.1	333.5	1.8	5.7	0.0000	0.0004
205857_at	SLC18A2	28.8	229.5	-8.0	-6.0	0.0000	0.0004
218813_s_at	SH3GLB2	415.0	250.2	1.7	5.5	0.0000	0.0004
203760_s_at	SLA	1390.4	819.0	1.7	5.8	0.0000	0.0005
210755_at	HGF	151.3	745.2	-4.9	-5.7	0.0000	0.0005
215923_s_at	PSD4	268.3	178.4	1.5	5.4	0.0000	0.0005
218376_s_at	NICAL	2878.9	1207.2	2.4	6.5	0.0000	0.0005
206135_at	ST18	14.9	325.0	-21.8	-5.9	0.0000	0.0005
206470_at	PLXNC1	315.6	124.7	2.5	6.3	0.0000	0.0005
206940_s_at	POU4F1	143.4	1874.3	-13.1	-5.3	0.0000	0.0005
212080_at	MLL	575.8	1094.4	-1.9	-6.9	0.0000	0.0005
212173_at	AK2	840.8	390.3	2.2	6.5	0.0000	0.0005
203865_s_at	ADARB1	273.8	149.4	1.8	5.5	0.0000	0.0005
214196_s_at	CLN2	2403.9	1469.0	1.6	5.6	0.0000	0.0005
216015_s_at	CIAS1	380.6	222.3	1.7	5.5	0.0000	0.0005
210059_s_at	MAPK13	124.7	76.2	1.6	5.5	0.0000	0.0006
207540_s_at	SYK	1366.5	839.8	1.6	5.3	0.0000	0.0006
202545_at	PRKCD	1696.1	1057.0	1.6	5.3	0.0000	0.0007
217520_x_at	LOC283683	888.7	329.0	2.7	6.4	0.0000	0.0007
204495_s_at	---	881.7	623.4	1.4	5.2	0.0000	0.0007
208967_s_at	AK2	2861.7	1506.3	1.9	6.6	0.0000	0.0008
201621_at	NBL1	38.4	191.4	-5.0	-5.5	0.0000	0.0008
210506_at	FUT7	164.8	88.1	1.9	5.6	0.0000	0.0008
211722_s_at	HDAC6	115.7	79.2	1.5	5.1	0.0000	0.0008
212314_at	KIAA0746	1303.0	638.4	2.0	5.7	0.0000	0.0008
216950_s_at	FCGR1A	2498.0	943.2	2.6	6.2	0.0000	0.0008
206210_s_at	CETP	16.0	94.7	-5.9	-5.1	0.0000	0.0009
215087_at	DKFZP434H132	334.1	212.1	1.6	5.4	0.0000	0.0009
204210_s_at	PCYT1A	83.0	32.6	2.5	5.9	0.0000	0.0010
212922_s_at	SMYD2	523.4	895.4	-1.7	-6.4	0.0000	0.0010
202054_s_at	ALDH3A2	581.9	241.4	2.4	5.6	0.0000	0.0010
203570_at	LOXL1	11.7	41.6	-3.6	-5.0	0.0000	0.0013
201720_s_at	LAPTM5	10058.6	6968.1	1.4	5.1	0.0000	0.0013
202053_s_at	ALDH3A2	961.6	468.8	2.1	5.9	0.0000	0.0013
203909_at	SLC9A6	949.0	698.4	1.4	5.0	0.0000	0.0013
205301_s_at	OGG1	120.1	64.9	1.9	5.4	0.0000	0.0013
219293_s_at	PTD004	1925.8	2677.4	-1.4	-5.7	0.0000	0.0013
221628_s_at	N-PAC	158.7	103.7	1.5	5.1	0.0000	0.0013
