Probe set	Gene symbol	Score	Gene description
211748_x_at	PTGDS	1,013,416,371	Prostaglandin D2 synthase 21 kDa (brain)
244813_at	RAD51L1	7,676,334,816	RAD51-like 1 (S cerevisiae)
213915_at	NKG7	7,649,233,005	Natural killer cell group 7 sequence
215898_at	TTLL5	7,324,824,305	Tubulin tyrosine ligase-like family, member 5
206026_s_at	TNFAIP6	7,270,728,576	Tumor necrosis factor, alpha-induced protein 6
219023_at	C4orf16	7,237,962,005	Chromosome 4 open reading frame 16
222858_s_at	DAPP1	6,933,745,384	Dual adaptor of phosphotyrosine and 3-phosphoinositides
223484_at	C15orf48	6,916,996,754	Chromosome 15 open reading frame 48
208184_s_at	TMEM1	671,864,243	Transmembrane protein 1
214038_at	CCL8	6,110,026,344	Chemokine (C-C motif) ligand 8
209799_at	PRKAA1	5,895,332,958	Protein kinase, AMP-activated, alpha 1 catalytic subunit
231577_s_at	GBP1	5,876,037,622	Quanylate binding protein 1, interferon-inducible, 67 kDa
213002_at	MARCKS	5,841,826,371	Myristoylated alanine-rich protein kinase C substrate
205159_at	CSF2RB	5,826,684,303	Colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
230012_at	C17orf44	5,810,899,214	Chromosome 17 open reading frame 44
205267_at	POU2AF1	57,541,994	POU domain, class 2, associating factor 1
222388_s_at	VPS35	5,750,463,855	Vacuolar protein sorting 35 (yeast)
1554885_a_at	PRIM2A	5,734,193,947	Primase, polypeptide 2A, 58 kDa
223382_s_at	ZNRF1	5,700,054,082	Zinc and ring finger 1
41469_at	PI3	5,667,143,829	Peptidase inhibitor 3, skin-derived (SKALP)
229344_x_at	FAM80B	5,615,111,734	Family with sequence similarity 80, member B
218096_at	AGPAT5	5,548,067,875	1-Acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)
241917_at	FCHSD2	5,544,997,567	FCH and double SH3 domains 2
1555884_at	PSMD6	5,462,286,485	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 6
