Probe Set	Unigene acc. No.	Gene symbol	Gene	Fold Change	log2 Fold Change	std	p_value	lower cl	upper cl	Detection call
94354_at	Mm.369	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	1.98	0.98	0.26	0.02	0.28	1.69	PPP PPP
99329_at	Mm.196634	Abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	1.57	0.65	0.11	0	0.35	0.94	PPA PPA
103689_at	Mm.23942	Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	-1.4	-0.48	0.06	0	-0.65	-0.32	PPP PPP
100568_at	Mm.5831	Abce1	ATP-binding cassette, sub-family E (OABP), member 1	1.62	0.7	0.12	0	0.35	1.04	PPP PPP
95064_at	Mm.142498	Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)	-1.48	-0.57	0.1	0	-0.84	-0.3	PPP PPP
92581_at	Mm.10530	Acadm	acetyl-Coenzyme A dehydrogenase, medium chain	1.87	0.91	0.18	0.01	0.42	1.39	PPP PPP
96870_at	Mm.154581	Aco2	aconitase 2, mitochondrial	1.44	0.52	0.08	0	0.31	0.74	PPP PPP
97904_at	Mm.183102	Actr3	ARP3 actin-related protein 3 homolog (yeast)	-1.65	-0.72	0.13	0.01	-1.08	-0.36	PPP PPP
98589_at	Mm.381	Adfp	adipose differentiation related protein	-1.75	-0.8	0.07	0	-0.99	-0.62	PPP PPP
98435_at	Mm.3440	Adss	adenylosuccinate synthetase, muscle	-1.77	-0.82	0.15	0.01	-1.24	-0.41	PPP PPP
99038_at	Mm.132946	Adss2	adenylosuccinate synthetase 2, non muscle	-1.64	-0.71	0.08	0	-0.94	-0.49	PPP PPP
99039_g_at	Mm.132946	Adss2	adenylosuccinate synthetase 2, non muscle	-2.27	-1.18	0.19	0	-1.7	-0.67	PPP PPP
95577_at	Mm.27829	AI314180	expressed sequence AI314180	1.69	0.76	0.12	0	0.42	1.09	PPP PPP
103443_at	Mm.205096	Aim1	absent in melanoma 1	-2.63	-1.4	0.15	0	-1.81	-0.99	PPP PPP
100884_at	Mm.5378	Akr1b8	aldo-keto reductase family 1, member B8	-1.5	-0.58	0.09	0	-0.83	-0.34	PPP PPP
