Gene Symbol	Gene description	Affy ID	Fold-change
13CDNA73	hypothetical protein	204072_s_at	2.67
ABCC4	Atp-binding cassette	203196_at	3.41
ALDH1A1	aldehyde dehydrogenase	212224_at	9.51
ANKRD27	ankyrin repeat domain	221522_at	3.59
ANXA1	annexin	201012_at	12.73
ASAH1	acid ceramidase	213702_x_at	2.16
ASAH1	acid ceramidase	210980_s_at	2.50
BAG2	BCL2-associated anthologene	209406_at	2.63
BPAG1/DST	bullous pemphigold antigen 1/dystonin	212254_s_at	2.83
BPAG1/DST	bullous pemphigold antigen 1/dystonin	215016_x_at	3.39
C11orf8	chromosome 11 open reading frame 8	205413_at	1.00
C12orf14	chromosome 12 open reading frame 14	220147_s_at	1.22
CASP6	caspase	209790_s_at	3.50
CPA3	carboxpeptidase	205624_at	16.30
CRYGD	crystallin	207532_at	1.84
CSF2RB	colony stimulating factor 2 receptor	205159_at	3.13
CST3	cystatin C	201360_at	3.50
CTSC	cathepsin	201487_at	2.52
CTSW	cathepsin	214450_at	3.49
DCL-1	type 1 transmembrane C-type lectin receptor	203799_at	5.03
DEPDC6	DEP domain containing 6	218858_at	6.39
DLEU1	deleted in lymphocytic leukaemia	205677_s_at	2.11
EIF3S6IP	translation initiation factor interacting protein	217719_at	1.33
EREG	epiregulin	205767_at	12.52
FAD104	FAD104	218618_s_at	2.83
FAH	fumarylacetoacetate hydrolase	202862_at	3.39
FAM45A	family with sequence similarity	221804_s_at	2.16
FCER1A	Fc fragment of IgE receptor for alpha polypeptide	211734_s_at	17.41
FHL2	four and a half LIM domains 2	202949_s_at	5.49
FKBP4	FK506 binding protein 4	200894_s_at	2.49
FKBP4	FK506 binding protein 4	200895_s_at	1.87
FLJ32731	hypothetical protein	218017_s_at	2.51
FLJ36166	hypothetical protein	215143_at	1.97
FXR1	fragile X metal retardation, autosomal homolog 1	201637_s_at	1.53
GALNT11	galactosamine acetylgalactosaminyltransferase	219013_at	2.29
HIC	l-mfa domian-containing protein	211675_s_at	1.51
HOXA10	homeo box A10	213150_at	6.75
HOXA9	homeo box A9	214651_s_at	23.24
HSRTSBETA	rTS beta protein	204143_s_at	1.78
IGFBP7	insulin-like growth factor binding protein	201162_at	2.31
IL12RB2	interleukin recptor	206999_at	1.57
IMPACT	hypothetical protein	218637_at	1.90
ISYNA1	myo-inositol 1-phophate synthase A1	222240_s_at	2.93
ITM2A	integral membrane protein 2A	202746_at	3.04
KIAA0125	KIAA0125 gene product	206478_at	6.41
KIAA0182	KIAA0182 protein	212056_at	1.61
KIAA1797	KIAA0193 gene product	218503_at	1.97
KIT	v-kit oncogene homolog	205051_s_at	11.75
LCE	long-chain fatty acid elongase	204256_at	3.68
LDHB	lactate dehydrogenase	213564_x_at	1.88
LGALS1	lectin	201105_at	5.81
LOC91752	similar to C630007C17Rik protein	215767_at	1.50
MAP3K5	mitogen-activated protein kniase kinase kinase	203836_s_at	2.09
MAP7	microtubule-associated protein	202890_at	3.63
MAP7	microtubule-associated protein	202889_x_at	3.39
MAP7	microtubule-associated protein	215471_s_at	3.14
MAPKAPK3	mitogen-activated protein kniase-activated protein kinase	202788_at	2.12
MEST	mesoderm specific transcript homolog	202016_at	3.82
MGLL	monoglyceride lipase	211026_s_at	3.35
MINA	myc-induced nuclear antigen	213188_s_at	1.88
MTX2	metaxin 2	203517_at	2.55
NANS	N-acetylneuraminic acid synthase	218189_s_at	2.16
NCB5OR	NADPH cytochrome B5 oxidoreductase	219079_at	1.59
NGFRAP1	nerve growth factor receptor associated protein	217963_s_at	3.71
NOTCH2	Notch homolog 2	202443_x_at	2.74
NOTCH2	Notch homolog 2	212377_s_at	2.53
PAM	peptidylglycine alpha-amidating monooxygenase	202336_s_at	2.36
PARVB	parvin, beta	37966_at	2.46
PAWR	PRKC, apoptosis, WT1, regulator	204004_at	5.56
PBX1	pre-B leaukaemia transciption factor	212148_at	1.53
PDLIM5	PDZ and LIM domain 5	212412_at	1.78
PDGFC	platelet-derived growth factor	218718_at	11.13
PHACTR2	phosphatase and actin regulator	204049_s_at	3.27
PIK3CB	phophoinositide-3-kinase, catalytic, beta polypeptide	212688_at	2.62
PLAGL1	pleiomorphic adenoma gene-like 1	207002_s_at	7.79
PLAGL1	pleiomorphic adenoma gene-like 1	207943_x_at	6.48
PLAGL1	pleiomorphic adenoma gene-like 1	209318_x_at	8.06
PLXNC1	plexin C1	213241_at	4.97
PLXNC1	plexin C1	206470_at	2.41
PPGB	protective protein for beta-galactosidase	200661_at	1.74
PPIE	peptidylprolyl isomerase	210502_s_at	1.82
PRSS21	protease	220051_at	2.25
PSTPIP2	proline-serine-threonine phophatase interacting protein	219938_s_at	3.37
PTPN22	protein tyrosine phosphotase, non-receptor type	206060_s_at	1.61
RAB32	member of the RAS oncogene family	204214_s_at	3.45
RAB38	member of the RAS oncogene family	219412_at	2.13
RAD50	RAD50 homolog	209349_at	1.62
RAP1GDS1	RAP1, GTP-GDP dissociation stimulator	209444_at	1.77
RARS	arginyl-tRNA synthetase	201330_at	1.49
SCRN1	secernin 1	201462_at	5.45
SERPINB1	serine proteinase inhibitor	212268_at	5.76
SLC27A2	solute carrier family 27, member 2	205769_at	4.38
SLC27A2	solute carrier family 27, member 2	205768_s_at	2.44
SNX10	sorting nexin	218404_at	2.21
SPINK2	serine protease inhibitor	206310_at	15.34
SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	203016_s_at	1.75
SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	203017_s_at	1.81
TES	testis derived transcript	202719_s_at	3.23
VANGL1	vang-like 1	219330_at	1.54
WBP5	WW domain binding protein	217975_at	3.32
