Gene Symbol	Anova P	Description
C20ORF103	0.000000	Genes overexpressed
ICSBP1	0.000010	Genes overexpressed
FLT3	0.000087	Genes overexpressed
GGA2	0.000094	Genes overexpressed
AKR7A2	0.000245	Genes overexpressed
SURF1	0.002103	Genes overexpressed
LMO2	0.002979	Genes overexpressed
HIST1H2A	0.004580	Genes overexpressed
ITGA7	0.005785	Genes overexpressed
PPARG	0.006282	Genes overexpressed
ADAMTS2	0.014015	Genes overexpressed
CEBPA	0.014782	Genes overexpressed
IRAK1	0.019370	Genes overexpressed
LGALS3	0.021620	Genes overexpressed
DDB2	0.023266	Genes overexpressed
DAP	0.025509	Genes overexpressed
PRL	0.027868	Genes overexpressed
SATB1	0.039598	Genes overexpressed
WT1	0.000061	Genes underexpressed
CCND2	0.001073	Genes underexpressed
STAT5B	0.003404	Genes underexpressed
STAT5A	0.027617	Genes underexpressed
