Fold increase	Gene	Description
7.5	Iltifb	interleukin 10-related T cell-derived inducible factor beta (Iltifb),
7.2	Dtx1	deltex 1 homolog (Drosophila) (Dtx1), mRNA.
6.7	Igh-6	Immunoglobulin heavy chain 6 (heavy chain of IgM)
5.8	Ccl8	chemokine (C-C motif) ligand 8 (Ccl8), mRNA.
5.5	Tcrb	T-cell receptor beta-1 chain C region (LOC669847), mRNA.
5.3	Mrpl38	mitochondrial ribosomal protein L38 (Mrpl38), mRNA.
4.3	Gapdh	glyceraldehyde-3-phosphate dehydrogenase (LOC14433),.
4.3	Eef2	eukaryotic translation elongation factor 2 (Eef2), mRNA.
4.3	Lmo1	LIM domain only 1 (Lmo1), mRNA.
4.3	Tubb5	tubulin, beta 5 (Tubb5), mRNA.
4.2	eEFTu	Mouse eEF-Tu gene encoding elongation factor Tu, 5? end.
4.2	Ftl1	ferritin light chain 1 (Ftl1), mRNA.
-4	Arpp21	cyclic AMP-regulated phosphoprotein, 21 (Arpp21)
-4.1	Ly49n	Mus musculus natural killer cell receptor (Ly49n) gene
-4.2	Cbr2	carbonyl reductase 2 (Cbr2), mRNA.
-4.2	Bop1	block of proliferation 1 (Bop1), mRNA.
-4.3	Tcrd	T-cell receptor delta
-4.3	Fabp3	fatty acid binding protein 3, muscle and heart (Fabp3), mRNA.
-4.3	Lcn5	lipocalin 5 (Lcn5), mRNA.
-4.4	1700084E18Rik	RIKEN cDNA 1700084E18 gene (1700084E18Rik)
-4.4	Rb1cc1	RB1-inducible coiled-coil 1 (Rb1cc1), mRNA.
-4.5	Scnn1a	sodium channel, nonvoltage-gated, type I, alpha (Scnn1a)
-4.6	Fkbp6	FK506 binding protein 6 (Fkbp6), mRNA.
-4.7	Hbaa1	hemoglobin alpha, adult chain 1 (Hba-a1), mRNA.
-4.7	Ctsl	cathepsin L (Ctsl), mRNA.
-4.8	Cstb	cystatin B (Cstb), mRNA.
-4.8	Slc18a3	solute carrier family 18, member 3 (Slc18a3)
-4.9	LOC674927	PREDICTED: similar to melanoma antigen (LOC674927)
-5.4	Erf1	Mus musculus ETS-related transcription factor ERF (Erf1)
-5.4	Cdo1	cysteine dioxygenase 1, cytosolic (Cdo1), mRNA.
-5.7	Diras2	DIRAS family, GTP-binding RAS-like 2 (Diras2), mRNA.
-5.7	Tctex1d1	Tctex1 domain containing 1 (Tctex1d1), mRNA.
-5.8	Spatial	Mus musculus fetal thymus spatial protein mRNA
-6.1	Dgat2	diacylglycerol O-acyltransferase 2 (Dgat2), mRNA.
-6.4	Cidea	cell death-inducing DNA fragmentation factor, alpha subunit
-6.5	Fabp9	Fatty acid binding protein 9, testis
-6.6	Cd83	CD83 antigen (Cd83), mRNA.
-7	Krt2-8	keratin complex 2, basic, gene 8 (Krt2-8), mRNA.
-7.3	Fabp4	Fatty acid binding protein 4, adipocyte
-7.3	Cox8b	cytochrome c oxidase, subunit VIIIb (Cox8b), mRNA.
-14.5	Ccl25	Chemokine (C-C motif) ligand 25
-22.4	Prss16	protease, serine, 16 (thymus) (Prss16), mRNA.
