Order	F	ProbeS et	Contrast	P value	Bootstrap	Gene	Chromosome	Description
1	60.38	40782_at	2791.89	0.003	12.5	SDR1	1p36.1	short-chain dehydrogenase/reductase 1
2	48.68	40390_at	1018.82	0.01	33.5	SDS	12q24.21	serine dehydratase
3	37.64	34891_at	-3307.1	0.015	53.4	DNCL1	12q24.23	dynein, cytoplasmic, light polypeptide 1
4	35.14	109_at	-996.64	0.022	58.5	RAB9P40	9q34.11	Rab9 effector p40
5	34.47	37211_at	-1000.54	0.035	78.9	BDH	3q29	3-hydroxybutyrate dehydrogenase (heart, mitochondrial)
6	34.46	40856_at	2040.11	0.058	114.3	SERPINF 1	17p13.1	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
7	34.23	41590_at	-1322.76	0.018	78	CGI-87	2p25.3	CGI-87 protein
8	33.88	38575_at	1113.51	0.092	163.6	MALT1	18q21	mucosa associated lymphoid tissue lymphoma translocation gene 1
9	33.67	39733_at	2713.29	0.051	109.4	HERPUD 1	16q12.2-q13	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
10	33.33	37625_at	1779.77	0.056	155.7	IRF4	6p25-p23	interferon regulatory factor 4
11	33.26	1062_g_ at	2890.2	0.034	83.8	IL10RA	11q23	interleukin 10 receptor, alpha
12	32.99	31842_at	-1367.44	0.035	100.6	BCS1L	2q33	BCS1-like (yeast)
13	32.73	39628_at	1523.18	0.054	133.9	RAB9A	Xp22.2	RAB9A, member RAS oncogene family
14	32.13	39516_at	-1422.15	0.027	75.3	POP5	12q24.31	RNase MRP/RNase P protein-like
15	30.75	38980_at	1707.24	0.06	133.7	MAP3K7I P2	6q25.1-q25.3	mitogen-activated protein kinase kinase kinase 7 interacting protein 2
16	30.54	41111_at	-1277.64	0.028	110.4	BCAT2	19q13	branched chain aminotransferase 2, mitochondrial
17	30.49	40623_at	-995.82	0.057	125.6	UBE3B	12q24.12	ubiquitin protein ligase
18	30.12	34261_at	-1259.45	0.044	115.5	PCYT2	17q25.3	phosphate cytidylyltransferase 2, ethanolamine
19	29.94	37352_at	1381.4	0.047	124	SP100	2q37.1	nuclear antigen Sp100
20	29.84	39428_at	1779.42	0.038	129.9	LNK	12q24	lymphocyte adaptor protein
21	29.82	41577_at	2424.95	0.035	111.6	PPP1R16 B	20q12	protein phosphatase 1, regulatory (inhibitor) subunit 16B
22	29.63	776_at	-1015.86	0.056	147.8	PIGF	2p21-p16	phosphatidylinositol glycan, class F
23	29.51	32051_at	-2048.02	0.056	134.4	MGC284 0	11pter-p15.5	hypothetical protein MGC2840 similar to a putative glucosyltransferase
24	29.18	38794_at	-1361.02	0.046	126.1	UBTF	17q21.3	upstream binding transcription factor, RNA polymerase I
25	29.17	1061_at	1544.26	0.096	169	IL10RA	11q23	interleukin 10 receptor, alpha
26	28.61	33555_at	3213.91	0.145	296.6	LIR9	19q13.4	leukocyte Ig-like receptor 9
27	28.23	33225_at	-726.95	0.056	172.5	MGC130 10	8q24.3	hypothetical protein MGC13010
28	27.83	32975_g _at	-828.47	0.049	138.2	RRP4	9q34	homolog of Yeast RRP4 (ribosomal RNA processing 4), 3-5-exoribonuclease
29	27.72	39752_at	-1857.5	0.053	156.7	101F6	3p21.3	putative tumor suppressor 101F6
30	27.46	38384_at	-1760.8	0.034	142.7	GART	21q22.11	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
