Probe set	Gene Name	Gene symbol	Fold change  HB/NL	p value
209560_s_at	delta-like 1 homolog (Drosophila)	DLK1	61.7	< 1e-07
204602_at	dickkopf homolog 1 (Xenopus laevis)	DKK1	20.2	5.32E-05
209220_at	glypican 3	GPC3	19.5	4.10E-06
212092_at	paternally expressed 10	PEG10	14.9	1.21E-05
213880_at	leucine-rich repeat-containing G protein-coupled receptor 5	LGR5	14	3.00E-07
212094_at	paternally expressed 10	PEG10	11.3	3.00E-07
209218_at	squalene epoxidase	SQLE	10.4	< 1e-07
218332_at	brain expressed, X-linked 1	BEX1	9.9	< 1e-07
201839_s_at	tumor-associated calcium signal transducer 1	TACSTD1	9.7	4.50E-06
213904_at	CDNA FLJ42670 fis, clone BRAMY2022383		8.4	4.95E-05
201656_at	integrin, alpha 6	ITGA6	7.9	< 1e-07
209243_s_at	paternally expressed 3	PEG3	7.7	6.40E-06
210794_s_at	maternally expressed 3	MEG3	7.1	2.12E-05
209242_at	paternally expressed 3	PEG3	6.9	< 1e-07
208650_s_at	CD24 antigen (small cell lung carcinoma cluster 4)	CD24	6.7	2.47E-05
200648_s_at	glutamate-ammonia ligase (glutamine synthetase)	GLUL	6.4	0.0001445
218847_at	IGF-II mRNA-binding protein 2	IMP-2	6.4	< 1e-07
212651_at	Rho-related BTB domain containing 1	RHOBTB1	6.3	2.69E-05
213194_at	roundabout, axon guidance receptor, homolog 1	ROBO1	5.8	4.15E-05
219732_at	plasticity related gene 3	PRG-3	5.5	3.00E-07
208025_s_at	high mobility group AT-hook	HMGA2	5.4	0.000538
203477_at	collagen, type XV, alpha 1	COL15A1	5.3	8.42E-05
209160_at	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	AKR1C3	5.1	1.94E-05
209610_s_at	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	SLC1A4	4.9	1.00E-07
202478_at	tribbles homolog 2 (Drosophila)	TRIB2	4.9	3.00E-07
206857_s_at	FK506 binding protein 1B, 12.6 kDa	FKBP1B	4.9	9.31E-05
221558_s_at	lymphoid enhancer-binding factor 1	LEF1	4.8	0.0004018
222288_at	Transcribed locus		4.8	0.0001926
205890_s_at	ubiquitin D	UBD	4.7	9.80E-06
215177_s_at	integrin, alpha 6	ITGA6	4.7	8.50E-06
209550_at	necdin homolog (mouse)	NDN	4.5	2.00E-07
213562_s_at	squalene epoxidase	SQLE	4.5	0.0003619
218181_s_at	mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	4.4	2.00E-07
212190_at	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2	SERPINE2	4.4	0.0008903
202479_s_at	tribbles homolog 2 (Drosophila)	TRIB2	4.3	2.04E-05
202491_s_at	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	IKBKAP	4.1	3.63E-05
208647_at	farnesyl-diphosphate farnesyltransferase 1	FDFT1	4.1	1.00E-06
210950_s_at	farnesyl-diphosphate farnesyltransferase 1	FDFT1	4.1	4.00E-06
266_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	4.1	3.91E-05
201670_s_at	myristoylated alanine-rich protein kinase C substrate	MARCKS	4	4.00E-07
201667_at	gap junction protein, alpha 1, 43kDa (connexin 43)	GJA1	3.8	1.16E-05
222077_s_at	Rac GTPase activating protein 1	RACGAP1	3.8	6.81E-05
218704_at	hypothetical protein FLJ20315	FLJ20315	3.8	5.90E-06
202539_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	3.8	2.60E-05
206286_s_at	teratocarcinoma-derived growth factor 1	TDGF1	3.7	0.000418
218908_at	alveolar soft part sarcoma chromosome region, candidate 1	ASPSCR1	3.7	0.0001837
221911_at	ets variant gene 1	ETV1	3.7	3.33E-05
202540_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	3.6	1.09E-05
200831_s_at	stearoyl-CoA desaturase (delta-9-desaturase)	SCD	3.5	0.0009768
205372_at	pleiomorphic adenoma gene 1	PLAG1	3.5	2.00E-07
219682_s_at	T-box 3 (ulnar mammary syndrome)	TBX3	3.5	2.90E-05
202112_at	von Willebrand factor	VWF	3.4	7.35E-05
203774_at	5-methyltetrahydrofolate-homocysteine methyltransferase	MTR	3.4	1.60E-06
212922_s_at	SET and MYND domain containing 2	SMYD2	3.4	1.50E-06
201128_s_at	ATP citrate lyase	ACLY	3.3	5.20E-06
213975_s_at	lysozyme (renal amyloidosis) /// leukocyte immunoglobulin-like receptor, subfamily B 1	LYZ /// LILRB1	3.2	0.0003161
208754_s_at	nucleosome assembly protein 1-like 1	NAP1L1	3.2	1.35E-05
213577_at	squalene epoxidase	SQLE	3.2	2.30E-06
212810_s_at	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	SLC1A4	3.2	1.59E-05
206414_s_at	development and differentiation enhancing factor 2	DDEF2	3.1	3.90E-06
218788_s_at	SET and MYND domain containing 3	SMYD3	3.1	0.0007951
221529_s_at	plasmalemma vesicle associated protein	PLVAP	3.1	4.40E-06
210393_at	leucine-rich repeat-containing G protein-coupled receptor 5	LGR5	3.1	0.0005757
200897_s_at	palladin	KIAA0992	3.1	1.35E-05
201669_s_at	myristoylated alanine-rich protein kinase C substrate	MARCKS	3	7.60E-06
