Rank order	Probe set ID	Gene symbol	Gene description	Relative expressiona	WRRAS P-valueb
1	1642_at	MTA1	Metastasis-associated 1	-	<0.001
2	35201_at	HNRPL	Heterogeneous nuclear ribonucleoprotein L	-	<0.001
3	1974_s_at	TP53	Tumor protein p53 (Li-Fraumeni syndrome)	-	<0.001
4	938_at	NA	NA	+	<0.001
5	38735_at	KIAA0513	KIAA0513 gene product	-	<0.001
6	39035_at	EDD	E3 identified by differential display	+	<0.001
7	36025_at	ARHGEF17	Rho guanine nucleotide exchange factor (GEF) 17	+	<0.001
8	440_at	NFIC	Nuclear factor I/C (CCAAT-binding transcription factor)	-	<0.001
9	906_at	STAT4	Signal transducer and activator of transcription 4	-	<0.001
10	38764_at	NA	Homo sapiens clone 23938 mRNA sequence	+	<0.001
11	41196_at	KPNB1	Karyopherin (importin) beta 1	+	<0.001
12	41498_at	CLSTN1	Calsyntenin 1	+	<0.001
13	1696_at	POLB	Polymerase (DNA directed), beta	+	0.001
14	336_at	TBXA2R	Thromboxane A2 receptor	-	0.001
15	1407_g_at	NR2C1	Nuclear receptor subfamily 2, group C, member 1	-	0.001
16	40416_at	SMARCB1	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily b, member 1	+	0.001
17	424_s_at	FGFR1	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	-	0.001
18	39829_at	ARL7	ADP-ribosylation factor-like 7	+	0.002
19	34046_at	SH3BP1	SH3-domain binding protein 1	-	0.002
20	33761_s_at	KIAA0493	KIAA0493 protein	+	0.002
21	1499_at	FNTA	Farnesyltransferase, CAAX box, alpha	+	0.003
22	31504_at	HDLBP	High-density lipoprotein-binding protein (vigilin)	+	0.003
23	32672_at	NA	Homo sapiens mRNA; cDNA DKFZp586N1918 (from clone DKFZp586N1918)	+	0.003
24	1211_s_at	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	-	0.003
25	36307_at	ARC	Activity-regulated cytoskeleton-associated protein	-	0.003
26	39519_at	KIAA0692	KIAA0692 protein	+	0.003
27	40966_at	STK39	Serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	+	0.003
28	35184_at	MGC23401	hypothetical protein MGC23401	+	0.004
29	32579_at	SMARCA4	SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 4	+	0.004
30	40877_s_at	MN7	D15F37 (pseudogene)	+	0.004
31	35722_at	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	+	0.004
32	38070_at	NA	Homo sapiens clone FBD3 Cri-du-chat critical region mRNA	+	0.005
33	1641_s_at	DDB1	Damage-specific DNA binding protein 1 (127kD)	-	0.005
