Accession No.	Fold change W vs H	Fold change J1 vs 210-58	Fold change J1 vs 226-47	Symbol	Chromosome	Gene description	Gene Function
X58196	3.1	3.3	2.9	H19	7	H19 non-coding RNA	Cell cycle/cell proliferation/cell death
AI842665	3.0	3.1	2.8	Tax1bp3	11	Human T-cell leukemia virus type I binding protein 3	Cell cycle/cell proliferation/cell death
X04017	2.3	2.3	2.3	Sparc	11	Cysteine-rich glycoprotein SPARC	Cell structure/cell adhesion
M26071	2.1	2.5	1.8	F3	3	Coagulation factor III	Cell structure/cell adhesion
M91236	2.1	2.1	2.1	Gjb5	4	Gap junction membrane channel protein beta 5	Cell structure/cell adhesion
U13705	2.3	2.1	2.4	Gpx3	11	Glutathione peroxidase 3	Immune response
AW120625	2.3	1.9	2.7	Pgd	4	Phosphogluconate dehydrogenase	Metabolism
M64782	2.2	1.9	2.5	Folr1	7	Folate-binding protein 1 (FBP1)	Metabolism
X97755	2.0	2.1	2.0	Ebp	x	Phenylalkylamine Ca2+ antagonist (emopamil) binding protein	Metabolism
W71352	3.9	4.2	3.6	Bag2	1	Bcl2-associated athanogene 2	Protein biosynthesis/degradation
AI844175	3.4	3.4	3.4	Mrps11	7	Mitochondrial ribosomal protein S11	Protein biosynthesis/degradation
U16163	2.9	2.9	2.8	P4ha2	11	Prolyl 4-hydroxylase alpha(II)-subunit	Protein biosynthesis/degradation
D00622	2.5	2.0	3.0	Lrpap1	5	Low density lipoprotein receptor related protein, associated protein 1	Protein biosynthesis/degradation
X60676	2.3	2.4	2.2	Serpinh1	7	HSP47	Protein biosynthesis/degradation
AW124432	2.1	1.8	2.5	Mrpl12	11	Mitochondrial ribosomal protein L12	Protein biosynthesis/degradation
AI839392	2.0	2.0	2.1	Aars	8	Alanyl-tRNA syntase	Protein biosynthesis/degradation
D49473	3.4	3.0	3.7	Sox17	1	SRY-box containing gene 17	Transcription/replication
U51335	2.5	2.5	2.6	Gata6	18	GATA-binding protein 6	Transcription/replication
U79962	2.4	2.1	2.6	Tarbp2	15	TAR (HIV) RNA binding protein 2	Transcription/replication
D49473	2.1	1.9	2.3	Sox17	1	SRY-box containing gene 17	Transcription/replication
D14077	2.2	2.1	2.2	Clu	14	Clusterin	Transport
M34603	2.6	2.3	3.0	Prg	10	Proteoglycan core protein	Others
AA793009	2.3	2.0	2.7	Tex19	11	Testis expressed gene 19	Others
AI846553	3.2	3.0	3.3	1110020C13Rik	15	Hypothetical protein	Unknown
AI845664	2.1	2.0	2.2	Grwd	7	Glutamate-rich WD repeat containing 1	Unknown
