Gene symbol	Description	-log10(p-value)	Fold change	Transcript ID
SOCS2	suppressor of cytokine signaling 2	6.253	3.3449	NM_003877
CDW52	CD52 antigen (CAMPATH-1 antigen)	8.1554	3.2894	NM_001803
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	4.8959	2.8763	NM_002124
HLA-DRA	major histocompatibility complex, class II, DR alpha	4.3082	2.8328	NM_019111
HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	4.0166	2.8004	NM_033554
CD74	CD74 antigen (invariant polypeptide of MHC, class II antigen-associated)	5.0667	2.5665	NM_004355
ARL6IP5	ADP-ribosylation-like factor 6 interacting protein 5	4.005	2.206	NM_006407
TRIM22	tripartite motif-containing 22	5.244	2.1824	NM_006074
CD34	CD34 antigen	4.5438	2.17	NM_001773
GIMAP6	GTPase, IMAP family member 6	6.9169	2.0969	NM_024711
PRKCH	protein kinase C, eta	4.7332	1.9944	NM_006255
PTP4A3	protein tyrosine phosphatase type IVA, member 3	6.2967	1.966	NM_007079
NPDC1	neural proliferation, differentiation and control, 1	5.2269	1.9027	NM_015392
CD200	CD200 antigen	5.8105	1.8475	NM_001004196
PTPRCAP	protein tyrosine phosphatase, receptor type, C-associated protein	4.5084	1.796	NM_005608
ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1	4.7729	1.7469	NM_005157
LEPROTL1	leptin receptor overlapping transcript-like 1	4.539	1.7253	NM_015344
PPM1F	protein phosphatase 1F (PP2C domain containing)	4.6666	1.6315	NM_014634
MARCH-VI	membrane-associated RING-CH protein VI	4.9498	1.5921	NM_005885
RHOC	ras homolog gene family, member C	4.0174	1.5333	NM_175744
EGFL7	EGF-like-domain, multiple 7	7.401	1.5306	NM_016215
HCP5	HLA complex P5	4.0113	1.5116	NM_006674
DUSP7	Dual specificity phosphatase 7	4.229	1.5004	NM_001947
ITPR1	inositol 1,4,5-triphosphate receptor, type 1	5.3579	1.4997	NM_002222
KIAA0143	KIAA0143 protein	4.919	1.472	---
DICER1	Dicer1, Dcr-1 homolog (Drosophila)	4.0566	1.4714	NM_030621
RALGDS	ral guanine nucleotide dissociation stimulator	4.8571	1.4702	NM_006266
SYNJ2	synaptojanin 2	5.0771	1.4465	NM_003898
LEMD3	LEM domain containing 3	6.7568	1.4087	NM_014319
FLJ10808	hypothetical protein FLJ10808	5.3427	1.3854	NM_018227
CTNND1	catenin (cadherin-associated protein), delta 1	5.1774	1.3789	NM_001331
PSEN1	presenilin 1 (Alzheimer disease 3)	4.1811	1.3705	NM_000021
TNFRSF10	tumor necrosis factor receptor superfamily, member 10b	4.1538	1.3667	NM_003842
AKAP11	A kinase (PRKA) anchor protein 11	4.5323	1.3576	NM_016248
RNF14	ring finger protein 14	5.0453	1.3514	NM_004290
ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	4.4657	1.351	NM_002205
LBH	likely ortholog of mouse limb-bud and heart gene	6.9518	1.3321	NM_030915
DERL1	Der1-like domain family, member 1	4.6832	1.3288	NM_018630
SLC12A7	solute carrier family 12 (potassium/chloride transporters), member 7	4.0039	1.3203	NM_006598
NCOA3	nuclear receptor coactivator 3	6.9655	1.3158	NM_006534
CYB561	Cytochrome b-561	6.1458	1.3132	NM_001915
CASP8	caspase 8, apoptosis-related cysteine protease	4.9821	1.3108	NM_001228
PHF10	PHD finger protein 10	4.4181	1.2958	NM_018288
RAB2	RAB2, member RAS oncogene family	5.1795	1.292	NM_002865
DEGS	degenerative spermatocyte homolog, lipid desaturase (Drosophila)	4.1498	1.2919	NM_003676
PSCD1	pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)	5.1633	1.2745	NM_004762
SMAD3	SMAD, mothers against DPP homolog 3 (Drosophila)	5.8296	1.271	NM_005902
MBNL2	muscleblind-like 2 (Drosophila)	6.8654	1.2698	NM_144778
MTMR1	myotubularin related protein 1	4.4264	1.2668	NM_003828
FAM11B	family with sequence similarity 11, member B	4.2952	1.2599	NR_000034
MYCPBP	c-myc promoter binding protein	4.2135	1.252	NM_005848
FLJ20772	hypothetical protein FLJ20772	5.2318	1.2514	NM_017956
KCTD5	potassium channel tetramerisation domain containing 5	5.0922	1.2409	NM_018992
CASP7	caspase 7, apoptosis-related cysteine protease	4.1919	1.2386	NM_001227
RAB6A	RAB6A, member RAS oncogene family	4.0714	1.2383	NM_002869
GLS	glutaminase	4.0645	1.2317	NM_014905
EDD	E3 identified by differential display	7.5169	1.2236	NM_015902
KIAA0256	KIAA0256 gene product	4.2398	1.2159	NM_014701
ARH	LDL receptor adaptor protein	4.902	1.2034	NM_015627
HCCS	holocytochrome c synthase (cytochrome c heme-lyase)	4.2781	1.1965	NM_005333
TTF1	transcription termination factor, RNA polymerase I	4.0531	1.1953	NM_007344
SOCS5	suppressor of cytokine signaling 5	6.6792	1.1845	NM_014011
CYB561	cytochrome b-561	4.7654	1.1844	NM_001915
APOL2	apolipoprotein L, 2	4.1873	1.1759	NM_030882
C11orf17	chromosome 11 open reading frame 17	4.0229	1.1711	NM_020642
XPC	xeroderma pigmentosum, complementation group C	4.0228	1.1709	NM_004628
CDYL	chromodomain protein, Y-like	4.2561	1.1705	NM_004824
DLG1	discs, large homolog 1 (Drosophila)	4.6665	1.1666	NM_004087
C9orf91	chromosome 9 open reading frame 91	4.2072	1.1646	NM_153045
GIMAP5	GTPase, IMAP family member 5	5.0583	1.1579	NM_018384
RB1CC1	RB1-inducible coiled-coil 1	4.2372	1.1523	NM_014781
LUZP1	leucine zipper protein 1	4.6913	1.1295	NM_033631
IL15RA	interleukin 15 receptor, alpha	4.4812	1.1276	NM_002189
FLJ10747	hypothetical protein FLJ10747	4.3358	1.1184	NM_018202
HLC-8	lung cancer-related protein 8	4.572	1.0995	NM_017941
SERPINB8	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 8	4.4443	0.8386	NM_002640
HIST1H1B	histone 1, H1b	4.4444	0.8381	NM_005322
HIST1H3C	histone 1, H3c	6.0377	0.8267	NM_003531
HIST1H3F	histone 1, H3f	4.2503	0.8266	NM_021018
HIST1H3G	histone 1, H3g	4.9095	0.8048	NM_003534
FLJ11535	hypothetical protein FLJ11535	4.5768	0.7963	NM_024888
TNFSF5	tumor necrosis factor (ligand) superfamily, member 5 (hyper-IgM syndrome)	4.1115	0.7908	NM_000074
HIST1H1D	histone 1, H1d	5.7645	0.7418	NM_005320
ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	4.024	0.7238	NM_030920
HIST1H3B	histone 1, H3b	5.7898	0.7147	NM_003537
PADI2	peptidyl arginine deiminase, type II	4.5172	0.7119	NM_007365
TUBB	tubulin, beta polypeptide	4.1721	0.6359	NM_001069
BST1	bone marrow stromal cell antigen 1	4.0517	0.6099	NM_004334
FAM46C	family with sequence similarity 46, member C	5.633	0.6033	NM_017709
HIST1H1E	histone 1, H1e	6.2269	0.5942	NM_005321
MAD	MAX dimerization protein 1	4.008	0.4942	NM_002357
APOBEC3A	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A	4.2079	0.4574	NM_145699
FTH1	ferritin, heavy polypeptide 1	4.6874	0.4566	NM_002032
PLAUR	plasminogen activator, urokinase receptor	4.2273	0.4381	NM_001005376
SAT	spermidine/spermine N1-acetyltransferase	4.5646	0.4263	NM_002970
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	4.0394	0.4173	NM_005194
JUNB	jun B proto-oncogene	4.7928	0.3882	NM_002229
FOSB	FBJ murine osteosarcoma viral oncogene homolog B	4.6902	0.3692	NM_006732
C5R1	complement component 5 receptor 1 (C5a ligand)	4.1127	0.3671	NM_001736
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	4.7605	0.3642	NM_004106
KLF4	Kruppel-like factor 4 (gut)	4.6343	0.3538	NM_004235
CSTA	cystatin A (stefin A)	4.0943	0.3222	NM_005213
ZFP36	zinc finger protein 36, C3H type, homolog (mouse)	5.0225	0.3104	NM_003407
RNASE3	ribonuclease, RNase A family, 3 (eosinophil cationic protein)	5.2937	0.2917	NM_002935
PRTN3	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis antigen)	5.5335	0.2784	NM_002777
S100P	S100 calcium binding protein P	4.0904	0.2366	NM_005980
FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	5.1133	0.2343	NM_005252
IL8	interleukin 8	4.7036	0.2281	NM_000584
S100A12	S100 calcium binding protein A12 (calgranulin C)	4.3704	0.2059	NM_005621
RNASE2	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	5.7315	0.2045	NM_002934
LCN2	lipocalin 2 (oncogene 24p3)	4.199	0.196	NM_005564
LTF	lactotransferrin	5.4481	0.1784	NM_002343
G0S2	putative lymphocyte G0/G1 switch gene	5.3802	0.165	NM_015714
MPO	myeloperoxidase	7.3186	0.1433	NM_000250
