GO id	GO term	Array count	List count	p-value	Gene symbol	Use
278	mitotic cell cycle	231	62	9.68E-30	SMC4;CDK4;CDKN3;NDC80;PRMT5;SMC2;SPAG5;CENPF;TXNL4A;DBF4;KIF2C;UBE2C;CHEK1;MAPRE1;TPX2;ASPM;FBXO5;AATF;BIRC5;KIF11;KPNA2;MAD2L1;NEK2;NUSAP1;GTSE1;PLK1;POLD1;NCAPG2;CDCA8;PBK;KIF15;RAN;NCAPG;SKP2;BRCA2;AURKA;BUB1;BUB1B;TTK;C13orf34;CDT1;MAD1L1;RUVBL1;CCNA2;CCNB1;CCNE1;CCNF;PRC1;CCNB2;BUB3;AURKB;NOLC1;KIF23;KNTC1;DLG7;CDC2;CDC6;CDC20;NCAPD2;CDC25A;CDC25C;CDC27	In biological process
279	M phase	202	58	1.41E-29	SMC4;NDC80;PRMT5;SMC2;SC65;SPAG5;CENPF;TXNL4A;KIF2C;UBE2C;CHEK1;CKS2;MAPRE1;TPX2;ASPM;FBXO5;BIRC5;ILF3;KIF11;KPNA2;LIG3;MAD2L1;MRE11A;NEK2;NUSAP1;GTSE1;PLK1;NCAPG2;CDCA8;PBK;KIF15;RAN;NCAPG;BRCA2;AURKA;BUB1;BUB1B;TTK;C13orf34;MAD1L1;RUVBL1;CCNA2;CCNB1;CCNF;CCNB2;BUB3;AURKB;NOLC1;KIF23;KNTC1;DLG7;CDC2;CDC6;CDC20;NCAPD2;CDC25A;CDC25C;CDC27	In biological process
7049	cell cycle	693	105	7.82E-27	CHAF1A;SMC4;CDK4;CDKN3;NDC80;PRMT5;CCT7;CCT4;CCT2;SMC2;SC65;SPAG5;CENPF;SEPT9;TXNL4A;DBF4;COPS5;KIF2C;UBE2C;CHEK1;CHEK2;CKS2;DKC1;E2F5;MAPRE1;TPX2;CIZ1;ASPM;FBXO5;GNL3;AATF;PDCD4;GPS1;BIRC5;ILF3;KIF11;KPNA2;LIG1;LIG3;MAD2L1;MCM2;MCM3;MCM6;MCM7;MKI67;MNAT1;MRE11A;MSH2;NEK2;NHP2L1;NME1;NPM1;NUSAP1;GTSE1;PHB;PLK1;PMS1;POLD1;NCAPG2;PPP1CC;CDCA8;MCM10;PBK;BCCIP;KIF15;RAN;RANBP1;NCAPG;SKP2;SMARCB1;POLR3D;SRPK1;BRCA2;AURKA;BUB1;BUB1B;TTK;TUBG1;C13orf34;CDT1;MAD1L1;SUPT3H;RUVBL1;APPBP1;CCNA2;CCNB1;CCNE1;CCNF;PRC1;CCNB2;BUB3;AURKB;NOLC1;KIF23;KNTC1;DLG7;CKAP5;RB1CC1;CDC2;CDC6;CDC20;NCAPD2;CDC25A;CDC25C;CDC27	In biological process
51301	cell division	169	45	1.13E-21	SMC4;CDK4;NDC80;SMC2;SPAG5;CENPF;SEPT9;TXNL4A;UBE2C;CKS2;MAPRE1;ASPM;FBXO5;AATF;BIRC5;KIF11;LIG1;LIG3;MAD2L1;NEK2;NUSAP1;NCAPG2;PPP1CC;CDCA8;NCAPG;BUB1;BUB1B;C13orf34;MAD1L1;RUVBL1;CCNA2;CCNB1;CCNE1;CCNF;PRC1;CCNB2;AURKB;KIF23;KNTC1;CDC2;CDC6;CDC20;NCAPD2;CDC25A;CDC25C	In biological process
6139	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	2548	212	5.62E-18	CHAF1A;SMC4;HUWE1;PQBP1;TRIM28;DDX39;HNRPR;POP7;SF3A1;WARS2;PRMT5;EMG1;MYBBP1A;NOL5A;RNASEH2A;CENPA;SMC2;CENPF;RAD51AP1;RPP40;RUVBL2;TXNL4A;TCERG1;DBF4;COPS5;CPSF6;CHEK1;SUPT16H;PNKP;PHB2;PARP1;ADSL;AARS;DARS;DDX1;DCP2;DGUOK;DKC1;DNMT1;DNMT3A;ARID3A;E2F5;ENO1;EPRS;NR2F6;FBL;EZH2;FANCA;FARSA;HNRPA3;NCBP2;PDCD11;ASCC3L1;AOF2;HIC2;SR140;EXOSC2;SF3B3;PRPF6;LASS6;XRCC6;LSM4;SERBP1;GART;MYCBP;NUFIP1;PDCD4;MSH6;GTF2F1;GTF3C2;CPSF1;HDAC2;HMGB2;HMGB3;HMGA1;HNRPC;APEX1;HSF1;IARS;APRT;IGSF1;ILF2;ILF3;IMPDH2;KARS;KPNA2;AK3L2;LIG1;LIG3;MAZ;MCM2;MCM3;MCM4;MCM6;MCM7;MNAT1;MRE11A;MSH2;MYCN;ACLY;ATIC;NHP2L1;NME1;NONO;NPM1;YBX1;ORC4L;UTP18;GMPR2;DDX41;DTL;ESF1;ATP6V1H;GINS2;ATP5G2;PFAS;PHB;ATP6AP1;PMS1;POLD1;POLR2D;EXOSC4;PUS7;DDX56;PPAT;THG1L;MCM10;CHD7;NOLA2;YEATS2;KIAA1212;POLR3E;TDP1;UTP6;PRKDC;LANCL2;BCCIP;PEO1;CNOT6;LSM2;QARS;RAN;RBM4;RFC1;RFC2;RFC4;RPS3;RRM1;RRM2;SFPQ;MMS19L;SFRS1;SFRS2;CREB3L2;SMARCA1;SMARCA4;SMARCB1;SMARCC1;POLR3D;SNRPB;SNRPD1;SRPK1;SSB;SSRP1;BRCA2;SUPT4H1;TAF9;TAF12;TCEA1;C2orf3;TMPO;TOP2A;TPI1;VARS;	In biological process
6260	DNA replication	158	36	3.10E-15	CHAF1A;RNASEH2A;DBF4;SUPT16H;PNKP;MSH6;HMGB2;HMGA1;LIG1;LIG3;MCM2;MCM3;MCM4;MCM6;MCM7;MSH2;ORC4L;DTL;GINS2;PHB;PMS1;POLD1;MCM10;KIAA1212;PEO1;RFC1;RFC2;RFC4;RRM1;RRM2;SSRP1;TOP2A;CDT1;APPBP1;GINS1;CDC6	In biological process
6259	DNA metabolic process	585	75	4.46E-15	CHAF1A;SMC4;HUWE1;PRMT5;RNASEH2A;CENPA;SMC2;RAD51AP1;RUVBL2;DBF4;CHEK1;SUPT16H;PNKP;PARP1;DNMT1;DNMT3A;EZH2;FANCA;AOF2;XRCC6;MSH6;HDAC2;HMGB2;HMGA1;APEX1;KPNA2;LIG1;LIG3;MCM2;MCM3;MCM4;MCM6;MCM7;MNAT1;MRE11A;MSH2;NONO;ORC4L;DTL;GINS2;PHB;PMS1;POLD1;MCM10;CHD7;KIAA1212;TDP1;PRKDC;BCCIP;PEO1;RAN;RFC1;RFC2;RFC4;RRM1;RRM2;SFPQ;MMS19L;SMARCA1;SMARCB1;SMARCC1;SSRP1;BRCA2;SUPT4H1;TOP2A;WHSC1;XRCC5;HMGA2;CDT1;TRRAP;RUVBL1;APPBP1;GINS1;CDC6;RBX1	In biological process
6412	translation	336	53	1.50E-14	WARS2;COPS5;AARS;DARS;DDX1;EEF1D;EIF4A1;EIF4B;EPRS;FARSA;RSL1D1;GART;AATF;BZW2;MRPS18B;MRPL15;IARS;EIF3S6;KARS;RPL10A;MRPS7;EIF3S6IP;MRPS33;QARS;RPL4;RPL5;RPL8;RPL11;RPL15;RPL18;RPL22;RPL24;RPL28;RPL37A;MRPL12;RPS3;RPS6;RPS8;RPS9;RPS16;RPS21;VARS;AARSD1;EIF3S9;EIF3S5;EIF3S3;PABPC4;EIF2B4;EIF2S2;RPL23;EIF4E2;EEF1E1;EIF5B	In biological process
6396	RNA processing	340	52	9.64E-14	DDX39;HNRPR;POP7;SF3A1;EMG1;NOL5A;RPP40;TXNL4A;CPSF6;AARS;DDX1;DKC1;FBL;HNRPA3;NCBP2;PDCD11;ASCC3L1;SR140;EXOSC2;SF3B3;PRPF6;LSM4;NUFIP1;CPSF1;HNRPC;KARS;NHP2L1;NONO;YBX1;UTP18;DDX41;EXOSC4;PUS7;DDX56;THG1L;NOLA2;UTP6;LSM2;RBM4;SFPQ;SFRS1;SFRS2;SNRPB;SNRPD1;SRPK1;SSB;PUS1;SFRS9;PABPC4;NOLC1;IMP4;EIF4A3	In biological process
7051	spindle organization and biogenesis	20	13	3.94E-13	NDC80;SPAG5;UBE2C;CKS2;KIF11;RAN;RANBP1;AURKA;BUB1B;TTK;TUBG1;PRC1;KIF23	In biological process
