Affymetrix ID	Gene Name	Fold Change	p-value
207069_s_at	MAD, mothers against decapentaplegic homolog 6 (Drosophila)	2.47	0.0298
210981_s_at	G protein-coupled receptor kinase 6	1.9	0.0009
209932_s_at	dUTP pyrophosphatase	1.88	0.0035
211715_s_at	3-hydroxybutyrate dehydrogenase (heart, mitochondrial)	2.77	0.002
215510_at	hypothetical protein LOC339321	2.31	0.0038
203798_s_at	visinin-like 1	2.41	0.0013
219174_at	capillary morphogenesis protein 1	2.97	0.0081
205671_s_at	major histocompatibility complex, class II, DO beta	2.28	0.0053
221795_at	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1630957	3.74	0.0026
204753_s_at	hepatic leukemia factor	3.35	0.017
212728_at	discs, large (Drosophila) homolog 3 (neuroendocrine-dlg)	2.82	0.0041
207935_s_at	keratin 13	4.82	0.0215
213687_s_at	ribosomal protein L35a	1.6	0.00002
211174_s_at	cholecystokinin A receptor	2.41	0.0153
205195_at	adaptor-related protein complex 1, sigma 1 subunit	2.45	0.0278
206004_at	transglutaminase 3 (E polypeptide, protein-glutamine-gamma-glutamyltransferase)	4.92	0.0419
209757_s_at	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	3.4	0.0167
204775_at	chromatin assembly factor 1, subunit B (p60)	2.7	0.0182
217570_x_at	Homo sapiens transcribed sequence with moderate similarity to protein ref:NP_071431.1 (H.sapiens)  cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens]	2.43	0.0011
219324_at	hypothetical protein MGC3731	2.52	0.0001
204698_at	interferon stimulated gene 20kDa	8.04	0.0003
221796_at	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1630957	5.46	0.0007
221487_s_at	endosulfine alpha	2.49	0.0609
210059_s_at	mitogen-activated protein kinase 13	2.52	0.0003
213174_at	KIAA0227 protein	5.46	0.0167
206526_at	DKFZP566F0546 protein	7.62	0.0226
