Pathway id	Pathway database	Array count	List count	p-value	Name	Gene Symbol
280	KEGG	41	16	9.5E-07	Valine, leucine and isoleucine degradation	BCKDHA;BCKDHB;ACAT1;HMGCS1;HMGCL;IVD;ACAA2;ACAA1;HSD17B10;MUT;PCCA;PCCB;ALDH6A1;ABAT;ACADM;ACADS
980	KEGG	41	13	0.0001	Metabolism of xenobiotics by cytochrome P450	CYP2B6;CYP2C19;CYP2C8;CYP2C18;CYP3A5;CYP1A2;GSTA3;GSTA4;GSTZ1;GSTK1;UGT2B15;ALDH3B2;AKR1C3
4610	KEGG	64	17	0.0001	Complement and coagulation cascades	F9;F2;FGG;VWF;F11;SERPINE1;CFI;CR1;C9;C8A;C8B;C8G;C6;SERPING1;C1R;MASP2;CD46
640	KEGG	27	10	0.0002	Propanoate metabolism	ALDH6A1;PCCA;PCCB;MUT;SUCLG2;ACADM;ABAT;ACAT1;ACACA;ACACB
20	KEGG	24	9	0.0003	Citrate cycle (TCA cycle)	OGDHL;SUCLG2;ACO1;ACLY;SDHB;SDHD;CS;PCK1;PCK2
3320	KEGG	57	15	0.0004	PPAR signaling pathway	AQP7;PCK1;PCK2;SLC27A5;SLC27A2;RXRA;SCP2;ACAA1;ACADM;ACADL;CPT2;CPT1A;ACSL1;ANGPTL4;SCD
178	Biocarta	5	4	0.0005	Catabolic Pathways for Methionine, Isoleucine, Threonine and Valine	BCKDHB;CTH;CBS;MUT
81	Biocarta	3	3	0.0010	Mitochondrial Carnitine Palmitoyltransferase (CPT) System	CPT1A;CPT2;SLC25A20
900	KEGG	3	3	0.0010	Terpenoid biosynthesis	FDPS;FDFT1;SQLE
71	KEGG	44	12	0.0010	Fatty acid metabolism	ACAT1;ACADS;HSD17B10;ACAA2;ACAA1;ACADM;ACADL;GCDH;CYP4F11;ACSL1;CPT1A;CPT2
4310	KEGG	126	24	0.0016	Wnt signaling pathway	SMAD2;PRKCA;PPP3CB;CAMK2B;MAPK9;ROCK2;DVL2;DVL3;CTBP1;LEF1;CHD8;MAP3K7;RBX1;CACYBP;APC2;TP53;PPP2R1A;PRKACG;PSEN1;CSNK2A1;DKK1;SFRP1;SFRP5;WNT11
100	KEGG	19	7	0.0018	Biosynthesis of steroids	CYP51A1;FDPS;HMGCR;FDFT1;SQLE;NSDHL;VKORC1
3010	KEGG	41	11	0.0019	Ribosome	RPL28;RPS23;RPS11;RPS6;RPS24;RPL9;RPL39;RPL41;RPL32;RPL37;RPS3
251	KEGG	25	8	0.0024	Glutamate metabolism	ABAT;GOT1;EPRS;GLUL;GMPS;GLS2;CAD;QARS
260	KEGG	38	10	0.0036	Glycine, serine and threonine metabolism	AGXT;PEMT;CBS;CTH;SARDH;SHMT1;DAO;ALAS1;SDS;GNMT
643	KEGG	4	3	0.0038	Styrene degradation	FAH;GSTZ1;HGD
450	KEGG	22	7	0.0046	Selenoamino acid metabolism	PAPSS2;PAPSS1;SEPHS1;MAT1A;PRMT8;CBS;CTH
123	Biocarta	8	4	0.0052	Alternative Complement Pathway	C6;C8A;C9;CFP
330	KEGG	29	8	0.0065	Arginine and proline metabolism	ASL;CKB;ASS1;PRODH;EPRS;NOS2A;DAO;GOT1
213	Biocarta	13	5	0.0067	Transcription Regulation by Methyltransferase of CARM1	CREB1;NCOA3;PRKACG;PRKAR2A;RXRA
4910	KEGG	127	22	0.0081	Insulin signaling pathway	TSC1;MAPK9;SOCS2;MAPK1;FASN;PRKAG2;PPP1CC;GYS2;CALM3;PRKACG;PRKAR2A;ACACA;ACACB;RPS6;FOXO1;PCK1;PCK2;FBP1;EXOC7;PPARGC1A;PFKM;CRKL
74	Biocarta	9	4	0.0086	Lectin Induced Complement Pathway	C6;C8A;C9;MASP2
61	KEGG	5	3	0.0088	Fatty acid biosynthesis	FASN;ACACA;ACACB
500	KEGG	56	12	0.0089	Starch and sucrose metabolism	GBA3;HK3;MGAM;UXS1;UGP2;UGT2B15;GUSB;GYS2;AGL;TREH;EP400;SMARCA2
153	Biocarta	25	7	0.0099	Transcription factor CREB and its extracellular signals	CAMK2B;CREB1;MAPK1;MAPK14;PRKCA;PRKACG;PRKAR2A
