Rank	E/N	Unigene	Accession	Description	References	Functions
3	87.6	Hs.83169	M13509	Skin collagenase (MMP-1)	-1	Tumour invasion and extracellular matrix morphology
15	15.5	Hs.83326	X05232	Stromelysin (MMP-3)	-5	Tumour invasion and extracellular matrix morphology
12	9	Hs.151738	J05070	Type IV collagenase (MMP-9)		Tumour invasion and extracellular matrix morphology
16	25.2	Hs.2258	X07820	Stromelysin-2 (MMP-10)	-4	Tumour invasion and extracellular matrix morphology
37	10.6	Hs.155324	X57766	Stromelysin-3 (MMP-11)		Tumour invasion and extracellular matrix morphology
6	16.3	Hs.1695	L23808	Human metalloproteinase HME (MMP-12)	-5	Tumour invasion and extracellular matrix morphology
20	6.8	Hs.1274	M22488	Bone morphogenetic protein 1 (BMP-1)		Tumour invasion and extracellular matrix morphology
61	5.8	Hs.153357	AF046889	Lysyl hydroxylase isoform 3 (PLOD3)		Tumour invasion and extracellular matrix morphology
41	36.4	Hs.82085	M14083	Beta-migrating plasminogen activator inhibitor I	-5	Tumour invasion and extracellular matrix morphology
22	9.6	Hs.77274	X02419	uPA	-5	Tumour invasion and extracellular matrix morphology
40	13.1	Hs.179657	U09937	Urokinase-type plasminogen receptor		Tumour invasion and extracellular matrix morphology
1	10.6	Hs.179573	J03464	Collagen alpha-2 type I	(1); (5)	Extracellular matrix proteins
47	7.3	Hs.82985	Y14690	Procollagen alpha 2(V)	(2); (5)	Extracellular matrix proteins
11	7.1	Hs.75617	X05610	Type IV collagen alpha (2) chain	-5	Extracellular matrix proteins
5	5.2	Hs.119571	X14420	Pro-alpha-1 type 3 collagen	-5	Extracellular matrix proteins
9	7.1	Hs.119129	M26576	Alpha-1 collagen type IV	-5	Extracellular matrix proteins
45	18.3	Hs.82772	J04177	Alpha-1 type XI collagen (COL11A1)		Extracellular matrix proteins
35	18.9	Hs.172928	Y15915	Collagen (type1 alpha1)/PDGF beta (chimaeric)		Extracellular matrix proteins
57	5.9	Hs.79914	U21128	Lumican	-5	Extracellular matrix proteins
17	6.7	Hs.111779	J03040	SPARC/osteonectin	(1); (5)	Extracellular matrix proteins
28	11.6	Hs.204133	X78565	Tenascin-C	-5	Extracellular matrix proteins
46	36.1	Hs.313	AF052124	Osteopontin		Extracellular matrix proteins
49	5.4	Hs.83551	U19718	Microfibril-associated glycoprotein (MFAP2)		Extracellular matrix proteins
26	5.5	Hs.287820	M10905	Cellular fibronectin	-2	Extracellular matrix proteins
2	7.6	Hs.2785	Z19574	Cytokeratin 17	(2); (5)	Structural proteins
19	10	Hs.115947	AF061812	Keratin 16 (KRT16A)	(2); (5); (6)	Structural proteins
36	5.1	Hs.119000	M95178	Non-muscle alpha-actinin	-5	Structural proteins
23	7.8	Hs.75517	U17760	Laminin S B3 chain (LAMB3)	(2); (5)	Structural proteins
42	19.7	Hs.54451	Z15008	Laminin (LAMB2)	(2); (6)	Structural proteins
66	16	Hs.83450	L34155	Laminin-related protein (LamA3)	-2	Structural proteins
4	5.4	Hs.121576	AJ001381	Mutated allele of a myosin class I		Structural proteins
