Gene symbol	Gene title	Fold change versus control CD8 &#2;CD57. #22	Fold change versus control CD8 &#2;CD57. #2	Fold change versus control CD8 &#2;CD57. #26	Fold change versus control CD8 &#2;CD57. #22	Fold change versus control CD8 &#2;CD57. #2	Fold change versus control CD8 &#2;CD57. #26	I/D
ARRB1	arrestin,  Beta-1	4.59	6.06	2.83E+00	13.45	15.23	7.36	I
ATF3	activating transcription factor 3	13.93	25.99	1.06E+01	11.31	32	8	I
BCL3	B cell CLL/lymphoma 3	2.64	4.59	4.00E+00	2.46	3.73	4	I
CASP1	caspase 1, apoptosis-related cysteine peptidase	2.3	2.3	2.30E+00	2.28	2.27	2.37	I
CD38	CD38 antigen (p45)	2.38	4.45	7.43E+00	6.06	5.28	9.85	I
CTNNA1	catenin (cadherin-associated protein),  alpha1, 102 kDa	5.16	4.72	3.05E+00	6.41	5.97	6.94	I
FCGR3A/B (CD16)	Fc fragment of IgG, low-affinity IIIa/IIIb, receptor (CD16a/CD16b)	8.57	10.56	3.25E+00	16.97	18.86	6.76	I
GLUL	glutamate-ammonia ligase (glutamine synthetase)	6.96	9.52	2.30E+00	7.57	9.15	2.79	I
HAVCR2	hepatitis A virus cellular receptor 2	4.8	3.71	5.78E+00	6.27	5.63	6.91	I
HDGFRP3	hepatoma-derived growth factor, related protein 3	12.21	9.75	1.39E+01	3.25	3.48	5.13	I
HIST2H2AA	histone 2, H2aa	4	5.47	3.14E+00	4.15	5.66	3.16	I
HLA-DQA1	MHC, class II, DQ  alpha1	24.11	47.1	7.73E+00	51.98	84.45	17.15	I
HLA-DQB1	MHC, class II, DQ  alpha1	13.5	17.15	2.81E+00	17.78	31.08	4.92	I
IFIT2	IFN-induced protein with tetratricopeptide repeats 2	3.73	9.19	2.64E+00	3.04	7.06	2.87	I
IFIT3	IFN-induced protein with tetratricopeptide repeats 3	3.56	2.73	3.41E+00	4.29	4.59	5.66	I
IFNG	IFN-gamma	12.13	13	2.60E+01	45.25	45.25	78.79	I
ITGAX	integrin,  alpha X [antigen CD11C (p150),  alphapolypeptide]	3.25	6.5	4.29E+00	6.06	9.85	6.96	I
JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	3.92	13.48	3.62E+00	3.48	11.75	2.65	I
LAT2	linker for activation of T cells family, member 2	3.48	3.25	3.48E+00	6.96	6.5	6.5	I
LGALS3	lectin, galactoside-binding, soluble, 3 (galectin 3)	5.66	10.56	3.73E+00	4	8	2.64	I
LYN	v-yes-1 Yamaguchi sarcoma viral-related oncogene homolog	2	3.25	2.30E+00	5.17	7.82	8.6	I
MIRN21	microRNA 21	5.28	8.57	3.73E+00	4	5.28	2.46	I
MCL1	Myeloid cell leukemia sequence 1 (BCL2-related)	8.04	9.81	2.74E+00	2.25	2.71	NC	I
NCR1	natural cytotoxicity triggering receptor 1	5.28	3.03	4.29	12.31	14.96	13.2	I
NOTCH2	Notch homolog 2 (Drosophila) /// Notch homolog 2 (Drosophila)	2.64	3.73	2.46	2.83	4	2.64	I
NUAK1	NUAK family, SNF1-like kinase, 1	2.64	2	2.14	45.25	36.76	36.76	I
PARD6G	par-6 partitioning defective 6 homolog gamma(Caenorhabditis elegans)	3.25	2.64	3.48	17.15	13.93	19.7	I
PECAM1 (CD31)	platelet/endothelial cell adhesion molecule (CD31 antigen)	3.02	3.02	2.53	5.91	5.88	9.28	I
PLSCR1	phospholipid scramblase 1	2.15	3.25	2.15	2	3.03	9.28	I
PRSS23	protease, serine, 23	3.04	2.22	3.74	21.98	17.32	28.13	I
RHOB	ras homolog gene family, member B	9.19	18.38	3.25	21.11	48.5	8.57	I
SLC1A4	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	3.62	2.52	5.78	9.73	5.83	25.17	I
TNS3	Tensin 3	7.46	16	19.7	4.59	10.56	16	I
TMEM49	transmembrane protein 49	6.06	9.19	4.59	4.59	8	2.83	I
TNFRSF9	TNFRSF, member 9	4.61	2.87	6	9.85	4	17.15	I
ZNRF1	zinc and ring finger 1	8.57	5-Jan	12.13	16	8.57	21.11	I
BACH2	basic leucine zipper transcription factor 2	-3.86	-2.8	-4.31	-31.24	-17.7	-34.14	D
BCL2	B cell CLL/lymphoma 2	-9.57	-14.16	-5.87	-16.98	-22.25	-12.28	D
CD2	CD2 antigen (p50)	-2.14	-3.48	-3.03	-2	-3.48	-2.83	D
CD28	CD28 antigen (Tp44)	-2.46	-8.57	-256	-5.88	-16.21	-414	D
CD44	CD44 antigen (homing function and Indian blood group system)	-5.03	-3.87	-4.29	-8.93	-6.08	-6.73	D
CD5	CD5 antigen (p56-62)	-3.25	-2.64	-5.28	-3.48	-3.73	-5.66	D
CXCR3	chemokine (C-X-C motif) receptor 3	-13	-7.46	-16	-9.74	-6.64	-28.47	D
FOXP1	Forkhead box P1	-7.87	-6.51	-6.96	-21.13	-11.21	-25.94	D
IL18R1	IL-18R1	-6.5	-9.19	-3.25	-3.48	-4.92	-2.14	D
IL7R	IL-7R	-3.04	-8.66	-9.39	-8	-16	-18.38	D
PTEN	phosphatase and tensin homolog	-2.64	-4	-2.46	-3.25	-4.59	-2.83	D
TNFRSF25	TNFRSF, member 25	-9.85	-6.06	-13	-12.31	-22.5	-42.85	D
TNFRSF7	TNFRSF, member 7	-7.46	-13.93	-45.25	-14.93	-34.3	-90.51	D
TNFSF8	TNFSF (ligand), member 8	-2.46	-2.3	-6.96	-5.25	-4.66	-17.15	D
XCL1 / XCL2	chemokine (C motif) ligand 1/chemokine (C motif) ligand 2	-22.68	-5.86	-19.59	-9.52	-2.65	-8.08	D
