Fold increase	Gene	Description
12.9	Pbx3	pre B-cell leukemia transcription factor 3 (Pbx3), mRNA.
6.4	Cox6a2	cytochrome c oxidase, subunit VI a, polypeptide 2 (Cox6a2), mRNA.
5.6	Mrpl38	mitochondrial ribosomal protein L38 (Mrpl38), mRNA.
5.6	Eef2	eukaryotic translation elongation factor 2 (Eef2), mRNA.
5.4	Ccl8	chemokine (C-C motif) ligand 8 (Ccl8), mRNA.
5.3	Gapdh	glyceraldehyde-3-phosphate dehydrogenase (LOC14433), mRNA.
5.2	Ctse	cathepsin E (Ctse), mRNA.
4.8	Tfrc	transferrin receptor (Tfrc), mRNA.
4.4	Eif3s9	eukaryotic translation initiation factor 3, subunit 9 (eta) (Eif3s9), mRNA.
4.2	Mpo	myeloperoxidase (Mpo), mRNA.
4.1	H2D1	Histocompatibility 2, D region locus 1
4	Farsla	phenylalanine-tRNA synthetase-like, alpha subunit (Farsla), mRNA.
-4	Spo11	sporulation protein, meiosis-specific, SPO11 homolog (S. cerevisiae)
-4.1	Ubd	ubiquitin D (Ubd), mRNA.
-4.1	Tcra	T-cell receptor alpha.
-4.2	Gtf2h4	general transcription factor II H, polypeptide 4 (Gtf2h4), mRNA.
-4.5	Cfd	complement factor D (adipsin) (Cfd), mRNA.
-4.5	1700084E18Rik	PREDICTED: RIKEN cDNA 1700084E18 gene (1700084E18Rik), mRNA.
-4.6	Fabp9	Fatty acid binding protein 9, testis
-4.6	Ly49n	Mus musculus natural killer cell receptor (Ly49n) gene
-4.7	Vamp1	vesicle-associated membrane protein 1 (Vamp1), mRNA.
-4.7	Diras2	DIRAS family, GTP-binding RAS-like 2 (Diras2), mRNA.
-4.9	Ccni	Cyclin I
-4.9	9130430L19Rik	RIKEN cDNA 9130430L19 gene
-5.8	H2Aa	histocompatibility 2, class II antigen A, alpha (H2-Aa), mRNA.
-6	Erf1	Mus musculus ETS-related transcription factor ERF (Erf1) mRNA.
-6.3	Fabp4	Fatty acid binding protein 4, adipocyte
-6.5	5830406J20Rik	RIKEN cDNA 5830406J20 gene (5830406J20Rik), mRNA.
-6.6	Cd8a	CD8 antigen, alpha chain, transcript variant 1 (Cd8a), mRNA.
-6.8	Arpp21	cyclic AMP-regulated phosphoprotein, 21 (Arpp21)
-6.9	Crip3	cysteine-rich protein 3 (Crip3), transcript variant TLP-B, mRNA.
-7.2	Cd74	CD74 antigen
-7.4	Dntt	deoxynucleotidyltransferase, terminal (Dntt), mRNA.
-8.8	Igh6	Immunoglobulin heavy chain 6 (heavy chain of IgM)
-8.9	Cd83	CD83 antigen (Cd83), mRNA.
-9.5	Tctex1d1	Tctex1 domain containing 1 (Tctex1d1), mRNA.
-11.4	Tcrb-V13	T-cell receptor beta, variable 13
-11.7	H2-Eb1	histocompatibility 2, class II antigen E beta (H2-Eb1), mRNA.
-12.2	LOC545854	Immunoglobulin kappa chain
-16.3	LOC674927	PREDICTED: similar to melanoma antigen (LOC674927), mRNA.
-17.6	Ccl25	Chemokine (C-C motif) ligand 25
-32.8	Prss16	protease, serine, 16 (thymus) (Prss16), mRNA.
