NM/M ratio	Unigene	Accession	Description
2.33	Hs.84728	D14520	Kruppel-like factor 5 (intestinal)
2.25	Hs.85266	X53587	Integrin, beta 4
2.13	Hs.5753	AF014398	Inositol(myo)-1(or 4)-monophosphatase 2
2.03	Hs. 98485	AF099730	GJB3: gap junction protein, beta 3, 31 kDa (connexin 31)
1.88	Hs.75318	X06956	Tubulin, alpha 1 (testis specific)
1.83	Hs.139851	AF035752	Caveolin 2
1.81	Hs.82237	L24203	Tripartite motif-containing 29
1.81	Hs.184510	X57348	Stratifin
1.77	Hs.79706	Z54367	Plectin 1, intermediate filament binding protein, 500 kDa
1.76	Hs.149098	AI888563	Smoothelin
1.67	Hs.2340	M23410	Junction plakoglobin
1.66	Hs.18141	U42408	Ladinin 1
1.63	Hs.223025	U59877	RAB31, member RAS oncogene family
1.63	Hs.122552	AL031588	G-2 and S-phase expressed 1
1.59	Hs.99910	D25328	Phosphofructokinase, platelet
1.51	Hs.112028	R54564	Misshapen/NIK-related kinase
1.5	Hs.1274	U50330	Bone morphogenetic protein 1
1.35	Hs.82563	D63487	KIAA0153 protein
