Pathway id	Pathway database	Array count	List count	p-value	Name	Gene Symbol
4110	KEGG	100	32	1.3E-14	Cell cycle	MCM2;MCM3;MCM4;MCM6;MCM7; ORC4L;CDC27;RBX1;CDC2;BUB1B; PLK1;DBF4;E2F5;HDAC2;MAD2L1; BUB1;BUB3;CHEK1;CHEK2;PRKDC; SKP2;SMAD3;CDC20;CDC25C;CDC6;CDC25A;CCNB1;CCNB2;CCNA2; CDK4;CCNE1;MAD1L1
3010	KEGG	41	13	1.1E-06	Ribosome	RPL28;RPS6;RPS8;RPS21;RPL11; RPL10A;RPL8;RPL18;RPL24;RPL37A;RPS16;RPS3;RPS9
970	KEGG	29	9	6.3E-05	Aminoacyl-tRNA biosynthesis	FARSA;QARS;DARS;VARS;AARS; KARS;IARS;WARS2;EPRS
88	Biocarta	24	8	9.2E-05	Cell Cycle: G2/M Checkpoint	CDC2;CDC25A;CDC25C;CHEK1; CHEK2;CCNB1;PLK1;PRKDC
461	KEGG	11	5	0.0004	Activation of Src by Protein-tyrosine phosphatase alpha	CDC2;CDC25A;CDC25C;CCNB1; PTPRA
527	Biocarta	11	5	0.0004	Sonic Hedgehog (SHH) Receptor Ptc1 Regulates cell cycle	CDC2;CDC25A;CDC25C;CCNB1; MNAT1
350	KEGG	48	10	0.0009	Tyrosine metabolism	ADH1A;ADH1C;ADH6;DDC;HGD;MIF; HPD;AOX1;PRMT3;PRMT5
134	Biocarta	13	5	0.0010	RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage	CDC2;CDC25A;CDC25C;CHEK1;CDK4
65	Biocarta	9	4	0.0017	cdc25 and chk1 Regulatory Pathway in response to DNA damage	CDC2;CDC25A;CDC25C;CHEK1
120	Biocarta	10	4	0.0028	Classical Complement Pathway	C1R;C1S;C7;C8A
120	KEGG	31	7	0.0032	Bile acid biosynthesis	SLC27A5;ADH1A;ADH1C;ADH6;ALDH2;ALDH3A2;SOAT2
230	KEGG	118	16	0.0041	Purine metabolism	PPAT;GART;ATIC;ADSL;PDE2A;POLR2D;POLR1C;POLD1;NME1;RRM1;RRM2;APRT;GMPR2;IMPDH2;PFAS;DGUOK
220	KEGG	27	6	0.0069	Urea cycle and metabolism of amino groups	ALDH18A1;ODC1;ALDH2;ALDH3A2;GATM;AMD1
82	Biocarta	27	6	0.0069	Cell Cycle: G1/S Check Point	CDC2;CDC25A;CCNE1;CDK4;SMAD3;SKP2
