Probeset	Ratio	GenBank	Gene	Localization		Description	Expression
228335_at	2	AW264204	CLDN11	3q26.2-q26.3	1	claudin 11 (oligodendrocyte transmembrane protein)	Overexpressed
228977_at	2.1	AI669535	IL17D	13q12.11	1	Interleukin 17D	Overexpressed
201474_s_at	2.1	NM_002204	ITGA3	17q21.33	1	integrin; alpha 3 (antigen CD49C; alpha 3 subunit of VLA-3 receptor)	Overexpressed
237435_at	2.4	AI093492	DKK1	10q21.1	1	Dickopf 1 Homolog	Overexpressed
205226_at	2.5	NM_006207	PDGFRL	8p22-p21.3	1	platelet-derived growth factor receptor-like	Overexpressed
204035_at	2.6	NM_003469	SCG2	2q35-q36	1	secretogranin II (chromogranin C)	Overexpressed
224341_x_at	2.7	U93091	TLR4	9q32-33	1	Homo sapiens toll-like receptor 4 (TLR4), transcript variant 1,	Overexpressed
213808_at	2.9	BE674466	ADAM23	2q33	1	A disintegrin and metalloproteinase domain 23	Overexpressed
205067_at	2.9	NM_000576	IL1B	2q14	1	interleukin 1; beta	Overexpressed
209583_s_at	3.2	AF063591	CD200	3q12-q13	1	CD200 antigen	Overexpressed
207426_s_at	3.2	NM_003326	TNFSF4	1q25	1	tumor necrosis factor (ligand) superfamily; member 4 (tax-transcriptionally activated glycoprotein 1; 34kDa)	Overexpressed
203716_s_at	3.4	M80536	DPP4	2q24.3	1	dipeptidylpeptidase 4 (CD26; adenosine deaminase complexing protein 2)	Overexpressed
206084_at	3.6	NM_002849	PTPRR	12q15	1	protein tyrosine phosphatase; receptor type; R	Overexpressed
227314_at	3.8	N95414	ITGA2	---	1	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	Overexpressed
221577_x_at	4.1	AF003934	GDF15	19p13.1-13.2	1	growth differentiation factor 15	Overexpressed
221009_s_at	4.5	NM_016109	ANGPTL4	19p13.3	1	angiopoietin-like 4	Overexpressed
205239_at	5.2	NM_001657	AREG	4q13-q21	1	amphiregulin (schwannoma-derived growth factor)	Overexpressed
205795_at	6.7	NM_004796	NRXN3	14q31	1	neurexin 3	Overexpressed
212338_at	2.1	AA621962	MYO1D	17q11-q12	2	myosin ID	Overexpressed
203881_s_at	2.7	NM_004010	DMD	xp21.2	2	dystrophin (muscular dystrophy; Duchenne and Becker types)	Overexpressed
231709_x_at	3.3	AI422458	MYR8	13q33.3	2	Myosin heavy chain Myr 8	Overexpressed
243481_at	3.4	AA181207	RHOJ	14q23.2	3	ras homolog gene family; member J	Overexpressed
231947_at	7.5	AI242583	MYCT1	6q25.2	3	myc target 1	Overexpressed
36711_at	2.3	AL021977	MAFF	22q13.1	3	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	Overexpressed
239834_at	2.5	AW874669	KCTD1	18q11.2	3	Potassium channel tetramerisation domain containing 1	Overexpressed
237719_x_at	2.6	H05023	R7BP	5q12.3	3	R7 binding protein	Overexpressed
205194_at	2.2	NM_004577	PSPH	7p15.2-p15.1	3	phosphoserine phosphatase	Overexpressed
204338_s_at	2.9	NM_005613	RGS4	1q23.3	3	regulator of G-protein signalling 4	Overexpressed
220330_s_at	2.6	NM_022136	SAMSN1	21q11	3	SAM domain; SH3 domain and nuclear localisation signals; 1	Overexpressed
230112_at	2	AB037820	MARCH-IV	2q35	4	membrane-associated RING-CH protein IV	Overexpressed
227408_s_at	2	AW008976	SNX25	4q35.1	4	sorting nexin 25	Overexpressed
215417_at	2.1	AI803703	SEC15L2	2p13.2	4	SEC15-like 2 (S. cerevisiae)	Overexpressed
231817_at	2.2	H25097	USP53	4q26	4	ubiquitin specific protease 53	Overexpressed
221539_at	2.5	AB044548	EIF4EBP1	8p12	4	eukaryotic translation initiation factor 4E binding protein 1	Overexpressed
231508_s_at	2.1	AI697792	DNAJA2	16q11.1-q11.2	5	DnaJ (Hsp40) homolog, subfamily A, member 2	Overexpressed
1569917_at	2.3	BC034584	CDK8	13q12	5	Cyclin-dependent kinase 8	Overexpressed
208657_s_at	2.3	AF142408	SEPT9	17q25	5	MLL septin-like fusion	Overexpressed
207039_at	3.1	NM_000077	CDKN2A	9p21	5	cyclin-dependent kinase inhibitor 2A (melanoma; p16; inhibits CDK4)	Overexpressed
217504_at	2.1	AA099357	ABCA6	17q24.3	6	ATP-binding cassette; sub-family A (ABC1); member 6	Overexpressed
209276_s_at	2.1	AF162769	GLRX	5q14	6	glutaredoxin (thioltransferase)	Overexpressed
219049_at	2.2	NM_018371	ChGn	8p21.3	6	chondroitin beta1;4 N-acetylgalactosaminyltransferase	Overexpressed
214769_at	2.3	AF052117	CLCN4	Xp22.3	6	Chloride channel 4	Overexpressed
214308_s_at	2.3	AI478172	HGD	3q21-q23	6	homogentisate 1;2-dioxygenase (homogentisate oxidase)	Overexpressed
201195_s_at	2.3	AB018009	SLC7A5	16q24.3	6	solute carrier family 7 (cationic amino acid transporter; y+ system); member 5	Overexpressed
203180_at	2.4	NM_000693	ALDH1A3	15q26.3	6	aldehyde dehydrogenase 1 family; member A3	Overexpressed
226010_at	2.5	BG290819	SLC25A23	19p13.3	6	solute carrier family 25 (mitochondrial carrier; phosphate carrier); member 23	Overexpressed
210702_s_at	2.7	D38145	PTGIS	20q13.11-q13.13	6	prostaglandin I2 (prostacyclin) synthase	Overexpressed
219090_at	2.8	NM_020689	SLC24A3	20p13	6	solute carrier family 24 (sodium/potassium/calcium exchanger); member 3	Overexpressed
244455_at	3.5	AI732637	KCNT2	1q31.3	6	sodium- and chloride-activated ATP-sensitive potassium channel	Overexpressed
206867_at	4.8	NM_001486	GCKR	2p23	6	glucokinase (hexokinase 4) regulator	Overexpressed
205969_at	9.8	NM_001086	AADAC	3q21.3-q25.2	6		Overexpressed
218380_at	2.2	NM_021730	NALP1	17p13	7	NACHT; leucine rich repeat and PYD containing 1	Overexpressed
241740_at	2.1	AI669495	CREM	10p11.21	8	CAMP responsive element modulator	Overexpressed
210002_at	2.1	D87811	GATA6	18q11.1-q11.2	8	GATA binding protein 6	Overexpressed
203231_s_at	2.4	AW235612	ATXN1	6p23	8	ataxin 1	Overexpressed
234081_at	2.5	AU146742	SETBP1	18q21.1	8	SET binding protein 1	Overexpressed
204249_s_at	3	NM_005574	LMO2	11p13	8	LIM domain only 2 (rhombotin-like 1)	Overexpressed
241031_at	3.9	BE218239	NLF1	15q22.2	8	Nuclear localized factor 1	Overexpressed
206029_at	4.2	NM_014391	ANKRD1	10q23.31	8	ankyrin repeat domain 1 (cardiac muscle)	Overexpressed
231385_at	4.2	AI066520	DPPA3	12p13.31	8	developmental pluripotency associated 3	Overexpressed
229548_at	4.4	BG231709	UNC84B	22q13.1	8	mitotic spindle organization and biogenesis	Overexpressed
209676_at	2.1	J03225	TFPI	2q31-q32.1	9	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	Overexpressed
211809_x_at	2.2	M59217	COL13A1	10q22	9	collagen; type XIII; alpha 1	Overexpressed
242720_at	2.4	AI004137	ITIH4	3p21-p14	9	inter-alpha (globulin) inhibitor H4 (plasma Kallikrein-sensitive glycoprotein)	Overexpressed
201860_s_at	2.4	NM_000930	PLAT	8p12	9	plasminogen activator; tissue	Overexpressed
202627_s_at	2.6	AL574210	SERPINE1	7q21.3-q22	9	serine (or cysteine) proteinase inhibitor; clade E (nexin; plasminogen activator inhibitor type 1); member 1	Overexpressed
204614_at	4	NM_002575	SERPINB2	18q21.3	9	serine (or cysteine) proteinase inhibitor; clade B (ovalbumin); member 2	Overexpressed
237544_at	2	BF508786	---	---		---	Overexpressed
241809_at	2	BE906233	LOC284465	1p13.2		hypothetical protein LOC284465	Overexpressed
1565192_at	2.1	BC015125	---	---		CDNA clone IMAGE:3829636; partial cds	Overexpressed
238620_at	2.1	AA678564	---	---		---	Overexpressed
226614_s_at	2.1	BE856336	C8orf13	8p23-p22		chromosome 8 open reading frame 13	Overexpressed
215797_at	2.1	AE000659	MGC40069	14q11.2		hypothetical protein MGC40069	Overexpressed
226997_at	2.2	W74476	---	---		CDNA FLJ10196 fis; clone HEMBA1004776	Overexpressed
223194_s_at	2.2	AL512737	C6orf85	6p25.2		chromosome 6 open reading frame 85	Overexpressed
237329_at	2.2	AW102716	LOC389100	3p24.1		Hypothetical LOC389100	Overexpressed
229006_at	2.3	AA535917	---	---		CDNA FLJ36097 fis; clone TESTI2020956	Overexpressed
1566772_at	2.3	AL832567	SCHIP1	3q25.32		Schwannomin interacting protein 1	Overexpressed
214825_at	2.4	L10374	---	---		Transcribed locus; weakly similar to NP_775622.1 expressed sequence AW121567 [Mus musculus]	Overexpressed
243512_x_at	2.4	H93043	---	---		---	Overexpressed
231260_at	2.4	AW162207	BC036928	19q13.43		hypothetical protein BC036928	Overexpressed
238949_at	2.5	BF681162	---	---		---	Overexpressed
242313_at	2.5	BG284890	---	---		---	Overexpressed
227410_at	2.5	AW264102	FAM43A	3q29		family with sequence similarity 43; member A	Overexpressed
217300_at	2.6	U80771	---	---		---	Overexpressed
204447_at	2.6	NM_014731	ProSAPiP1	20p13		ProSAPiP1 protein	Overexpressed
239879_at	2.8	N63566	LOC284998	2q12.1		hypothetical protein LOC284998	Overexpressed
1568817_at	2.9	BC020585	---	---		---	Overexpressed
