ProbeID	GeneSymbol	Description	LocusLink	Fold Ch
203504_s_at	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	19	0.331155
205179_s_at	ADAM8	A disintegrin and metalloproteinase domain 8	101	5.65848
205180_s_at	ADAM8	A disintegrin and metalloproteinase domain 8	101	3.847525
219935_at	ADAMTS5	A disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)	11096	0.205994
206170_at	ADRB2	Adrenergic, beta-2-, receptor, surface	154	3.487437
231067_s_at	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	9590	5.039827
223333_s_at	ANGPTL4	Angiopoietin-like 4	51129	10.86426
221009_s_at	ANGPTL4	Angiopoietin-like 4	51129	6.609342
203946_s_at	ARG2	Arginase, type II	384	3.402364
203263_s_at	ARHGEF9	Cdc42 guanine nucleotide exchange factor (GEF) 9	23229	0.322799
220658_s_at	ARNTL2	Aryl hydrocarbon receptor nuclear translocator-like 2	56938	1.746339
209281_s_at	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	490	3.679947
212930_at	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	490	3.472879
225612_s_at	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	84002	5.623739
1554835_a_at	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	84002	5.377894
228498_at	B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	2683	3.201531
208002_s_at	BACH	Brain acyl-CoA hydrolase	11332	2.18061
203140_at	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	604	0.28988
209373_at	BENE	BENE protein	7851	2.851526
205289_at	BMP2	Bone morphogenetic protein 2	650	14.64187
205290_s_at	BMP2	Bone morphogenetic protein 2	650	22.15398
219563_at	C14orf139	Chromosome 14 open reading frame 139	79686	5.029963
1558378_a_at	C14orf78	Chromosome 14 open reading frame 78	113146	0.28177
60474_at	C20orf42	Chromosome 20 open reading frame 42	55612	7.93008
218796_at	C20orf42	Chromosome 20 open reading frame 42	55612	11.77627
229545_at	C20orf42	Chromosome 20 open reading frame 42	55612	7.060253
1552575_a_at	C6orf141	Chromosome 6 open reading frame 141	135398	3.321485
202241_at	C8FW	Tribbles homolog 1 (Drosophila)	10221	3.950119
207243_s_at	CALM2	Calmodulin 2 (phosphorylase kinase, delta)	805	2.651816
214845_s_at	CALU	Calumenin	813	3.082181
200756_x_at	CALU	Calumenin	813	2.325673
227364_at	CAPZA1	Capping protein (actin filament) muscle Z-line, alpha 1	829	3.4526
206011_at	CASP1	Caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	834	0.410289
226032_at	CASP2	Caspase 2, apoptosis-related cysteine protease (neural precursor cell expressed, developmentally do 835		0.527375
205476_at	CCL20	Chemokine (C-C motif) ligand 20	6364	61.82525
205899_at	CCNA1	Cyclin A1	8900	3.954344
241495_at	CCNL1	Cyclin L1	57018	0.237369
218451_at	CDCP1	CUB domain containing protein 1	64866	4.161304
226372_at	CHST11	Carbohydrate (chondroitin 4) sulfotransferase 11	50515	4.013263
219500_at	CLC	Cardiotrophin-like cytokine factor 1	23529	5.207404
230603_at	COL27A1	Collagen, type XXVII, alpha 1	85301	0.209111
208960_s_at	COPEB	Kruppel-like factor 6	1316	3.142782
208961_s_at	COPEB	Kruppel-like factor 6	1316	3.824948
207945_s_at	CSNK1D	Casein kinase 1, delta	1453	1.981158
225756_at	CSNK1E	Casein kinase 1, epsilon	1454	3.410265
202332_at	CSNK1E	Casein kinase 1, epsilon	1454	2.508583
222265_at	CTEN	C-terminal tensin-like	84951	2.949865
204470_at	CXCL1	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	2919	5.619592
209774_x_at	CXCL2	Chemokine (C-X-C motif) ligand 2	2920	8.730503
207850_at	CXCL3	Chemokine (C-X-C motif) ligand 3	2921	29.84267
215101_s_at	CXCL5	Chemokine (C-X-C motif) ligand 5	6374	6.952676
202436_s_at	CYP1B1	Cytochrome P450, family 1, subfamily B, polypeptide 1	1545	0.328668
202435_s_at	CYP1B1	Cytochrome P450, family 1, subfamily B, polypeptide 1	1545	0.20113
205676_at	CYP27B1	Cytochrome P450, family 27, subfamily B, polypeptide 1	1594	3.199695
227109_at	CYP2R1	Cytochrome P450, family 2, subfamily R, polypeptide 1	120227	0.342858
201925_s_at	DAF	Decay accelerating factor for complement (CD55, Cromer blood group system)	1604	7.269209
201926_s_at	DAF	Decay accelerating factor for complement (CD55, Cromer blood group system)	1604	4.862087
1555950_a_at	DAF	Decay accelerating factor for complement (CD55, Cromer blood group system)	1604	4.350231
208151_x_at	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	10521	0.215284
208719_s_at	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	10521	0.191949
204420_at	DIPA	Hepatitis delta antigen-interacting protein A	11007	9.954048
235263_at	DKFZP434A0131	DKFZp434A0131 protein	54441	0.466245
224215_s_at	DLL1	Delta-like 1 (Drosophila)	28514	0.277978
215210_s_at	DLST	Dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	1743	2.504691
204720_s_at	DNAJC6	DnaJ (Hsp40) homolog, subfamily C, member 6	9829	0.307829
38037_at	DTR	Heparin-binding EGF-like growth factor	1839	20.81494
203821_at	DTR	Heparin-binding EGF-like growth factor	1839	17.02068
201041_s_at	DUSP1	Dual specificity phosphatase 1	1843	21.29323
201044_x_at	DUSP1	Dual specificity phosphatase 1	1843	45.49336
204014_at	DUSP4	Dual specificity phosphatase 4	1846	4.902013
204015_s_at	DUSP4	Dual specificity phosphatase 4	1846	3.14847
209457_at	DUSP5	Dual specificity phosphatase 5	1847	7.533075
208891_at	DUSP6	Dual specificity phosphatase 6	1848	7.620052
208893_s_at	DUSP6	Dual specificity phosphatase 6	1848	8.643688
208892_s_at	DUSP6	Dual specificity phosphatase 6	1848	5.352137
206722_s_at	EDG4	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4	9170	2.284867
202711_at	EFNB1	Ephrin-B1	1947	3.506378
227404_s_at	EGR1	Early growth response 1	1958	5.17121
201694_s_at	EGR1	Early growth response 1	1958	3.14462
209039_x_at	EHD1	EH-domain containing 1	10938	2.571908
221773_at	ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	2004	4.256937
203499_at	EPHA2	EPH receptor A2	1969	7.32631
205767_at	EREG	Epiregulin	2069	13.64925
202081_at	ETR101	Immediate early response 2	9592	4.266997
210638_s_at	FBXO9	F-box protein 9	26268	0.449949
203639_s_at	FGFR2	Fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, cr 2263		0.295012
217943_s_at	FLJ10350	Hypothetical protein FLJ10350	55700	2.504325
229676_at	FLJ10486	PAP associated domain containing 1	55149	3.090418
219235_s_at	FLJ13171	Phosphatase and actin regulator 4	65979	0.532749
219388_at	FLJ13782	Transcription factor CP2-like 3	79977	0.438553
227180_at	FLJ23563	ELOVL family member 7, elongation of long chain fatty acids (yeast)	79993	7.367114
238063_at	FLJ32028	Hypothetical protein FLJ32028	201799	3.592296
235390_at	FLJ36754	Hypothetical protein FLJ36754	285672	2.987093
1553581_s_at	FLJ36754	Hypothetical protein FLJ36754	285672	4.205241
230769_at	FLJ37099	FLJ37099 protein	163259	2.603324
226908_at	FLJ90440	Leucine-rich repeats and immunoglobulin-like domains 3	121227	0.171318
1560017_at	FLJ90492	SMILE protein	160418	0.089432
208614_s_at	FLNB	Filamin B, beta (actin binding protein 278)	2317	2.898411
208613_s_at	FLNB	Filamin B, beta (actin binding protein 278)	2317	3.075063
219250_s_at	FLRT3	Fibronectin leucine rich transmembrane protein 3	23767	2.182937
214701_s_at	FN1	Fibronectin 1	2335	0.203387
209189_at	FOS	V-fos FBJ murine osteosarcoma viral oncogene homolog	2353	158.4641
227475_at	FOXQ1	Forkhead box Q1	94234	3.227012
213524_s_at	G0S2	Putative lymphocyte G0/G1 switch gene	50486	8.028258
204457_s_at	GAS1	Growth arrest-specific 1	2619	0.03306
215243_s_at	GJB3	Gap junction protein, beta 3, 31kDa (connexin 31)	2707	6.217691
205490_x_at	GJB3	Gap junction protein, beta 3, 31kDa (connexin 31)	2707	5.812696
206156_at	GJB5	Gap junction protein, beta 5 (connexin 31.1)	2709	5.191625
215977_x_at	GK	Glycerol kinase	2710	2.968146
225706_at	GLCCI1	Glucocorticoid induced transcript 1	113263	0.39418
219267_at	GLTP	Glycolipid transfer protein	51228	3.683227
226177_at	GLTP	Glycolipid transfer protein	51228	3.592023
221050_s_at	GTPBP2	GTP binding protein 2	54676	2.32365
205014_at	HBP17	Fibroblast growth factor binding protein 1	9982	3.212566
208553_at	HIST1H1E	Histone 1, H1e	3008	0.052856
202934_at	HK2	Hexokinase 2	3099	3.044356
209377_s_at	HMGN3	high mobility group nucleosomal binding domain 3	9324	0.30045
213472_at	HNRPH1	Heterogeneous nuclear ribonucleoprotein H1 (H)	3187	0.327861
206858_s_at	HOXC6	Data not found	3223	0.231191
222881_at	HPSE	Heparanase	10855	10.46875
219403_s_at	HPSE	Heparanase	10855	7.674973
212983_at	HRAS	V-Ha-ras Harvey rat sarcoma viral oncogene homolog	3265	50.06713
201631_s_at	IER3	Immediate early response 3	8870	13.39731
206924_at	IL11	Interleukin 11	3589	6.167717
206172_at	IL13RA2	Interleukin 13 receptor, alpha 2	3598	26.07531
210118_s_at	IL1A	Interleukin 1, alpha	3552	4.045487
39402_at	IL1B	Interleukin 1, beta	3553	3.430884
205067_at	IL1B	Interleukin 1, beta	3553	4.337042
202859_x_at	IL8	Interleukin 8	3576	2.997533
202794_at	INPP1	Inositol polyphosphate-1-phosphatase	3628	2.022634
223309_x_at	IPLA2(GAMMA)	Intracellular membrane-associated calcium-independent phospholipase A2 gamma	50640	1.997961
228462_at	IRX2	Iroquois homeobox protein 2	153572	0.318327
205032_at	ITGA2	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	3673	5.543545
201188_s_at	ITPR3	Inositol 1,4,5-triphosphate receptor, type 3	3710	2.182901
