Gene	WIPF1 correlation p value Aronow data	WIPF1 correlation p value Ayers data	WIPF1 correlation p value Staub data	Cox regression Wald test p value Wang data	Cox regression Wald test p value Phillips data
AGGF1	1.01E-09	6.40E-06	6.66E-03	4.74E-01	7.74E-01
AVEN	1.87E-10	1.04E-08	9.21E-08	1.23E-04	6.37E-04
AXL	3.15E-07	4.18E-06	1.27E-04	9.10E-02	2.23E-05
BIN1	9.45E-08	4.09E-08	1.57E-04	8.26E-02	1.01E-02
C12orf29	9.28E-07	4.99E-07	9.31E-04	4.75E-02	7.31E-06
C12orf43	9.05E-12	1.61E-09	3.27E-03	2.46E-02	1.35E-04
C1QB	4.44E-16	6.73E-07	9.96E-04	1.76E-02	1.56E-02
CCL16	8.44E-15	9.04E-10	3.02E-04	4.16E-03	9.65E-04
CHRDL1	1.22E-09	1.17E-07	2.10E-03	1.34E-03	5.83E-03
CYLC1	9.27E-12	1.91E-06	5.33E-04	1.16E-03	2.38E-01
DDX50	3.69E-07	3.60E-09	1.35E-08	5.63E-04	7.08E-03
DECR2	4.89E-12	4.55E-07	8.30E-07	8.97E-04	1.46E-04
DEDD	7.73E-12	4.91E-08	6.10E-11	1.48E-03	2.74E-02
DTX4	4.00E-09	3.28E-07	7.26E-04	7.73E-01	5.25E-05
EFHD2	3.97E-08	2.55E-06	3.42E-03	2.05E-01	2.42E-02
GTPBP2	4.64E-12	3.01E-10	1.26E-05	1.55E-05	1.63E-02
HSPA14	1.18E-12	2.92E-06	1.84E-03	6.09E-01	6.07E-03
IPW	9.49E-10	2.44E-07	1.64E-05	2.38E-03	3.69E-02
MADCAM1	1.39E-08	2.19E-06	1.16E-03	3.89E-01	1.22E-02
MINA	0.00E+00	6.98E-06	8.23E-05	9.65E-02	5.60E-03
MOBKL2B	8.13E-12	4.70E-06	5.86E-03	1.61E-01	9.03E-01
MRPL16	1.48E-09	9.52E-10	8.58E-04	1.36E-01	4.49E-02
MS4A12	1.36E-13	2.77E-10	2.02E-04	4.64E-01	1.02E-03
NF1	1.31E-14	2.16E-07	6.94E-03	3.51E-01	6.15E-02
NIP7	1.92E-09	2.03E-08	7.09E-03	4.60E-01	8.45E-01
NLK	0.00E+00	3.29E-09	6.99E-05	7.86E-03	3.52E-02
NT5E	3.61E-12	4.34E-09	1.05E-04	5.92E-06	4.19E-03
PGM1	3.93E-07	3.17E-07	4.95E-03	4.04E-01	8.73E-01
PLA2G2E	1.99E-11	9.69E-06	6.35E-04	2.24E-01	1.04E-03
SCUBE2	4.93E-08	4.20E-06	1.94E-03	7.52E-04	2.49E-03
SH2B1	1.29E-11	2.68E-08	1.28E-06	5.99E-03	6.13E-03
SLC24A1	1.06E-09	5.12E-08	4.70E-03	2.26E-05	1.92E-04
SLC39A7	1.17E-07	4.49E-06	1.72E-04	3.57E-03	9.01E-05
SPBC25	1.28E-11	5.89E-06	2.90E-05	1.48E-03	2.39E-03
THBD	1.02E-14	1.78E-06	3.81E-03	1.79E-03	8.01E-04
TXNIP	8.99E-08	1.85E-07	9.15E-04	2.85E-01	1.25E-01
UBE2E3	1.55E-15	1.31E-07	5.94E-04	4.08E-04	3.28E-02
ZNF230	1.60E-09	3.87E-09	1.90E-09	6.37E-04	1.03E-03
WIPF1	–	–	–	6.92E-06	7.80E-02
