Name	Symbol	UG Cluster	Known/probable Function	Fold change
diacylglycerol kinase, delta 130kDa	DGKD	Hs.115907	cell regulation	1.4
insulin receptor substrate 2	IRS2	Hs.143648	cell regulation	2.1
WNT inhibitory factor 1	WIF1	Hs.284122	cell regulation	1.6
prostaglandin D2 receptor (DP)	PTGDR	Hs.306831	GTP	17.2
chemokine (C-X-C motif) ligand 16	CXCL16	Hs.82407	immune response	1.5
hyaluronoglucosaminidase 3	HYAL3	Hs.129910	metabolism	0.6
sialyltransferase 8D (alpha-2, 8-polysialyltransferase)	SIAT8D	Hs.308628	metabolism	1.5
copper chaperone for superoxide dismutase	CCS	Hs.5002	transport	2.2
solute carrier family 29 (nucleoside transporters), member 1	SLC29A1	Hs.25450	transport	1.8
endothelial differentiation-related factor 1	EDF1	Hs.174050	transcription	1.5
heat shock 70kDa protein 1A	HSPA1A	Hs.274402	transcription	1.6
HSPC189 protein	HSPC189	Hs.82482	transcription	2.2
EH-domain containing 1	EHD1	Hs.155119	ATP binding	1.5
serine (or cysteine) proteinase inhibitor, clade A	SERPINA3	Hs.76353	proteinase inhibitor	1.6
sema domain, seven thrombospondin repeats	SEMA5A	Hs.27621	unknown	0.7
hypothetical protein MGC14799	MGC14799	Hs.333166	unknown	0.6
Homo sapiens, clone IMAGE:3690314		Hs.472494	unknown	2.3
hypothetical protein FLJ10486	FLJ10486	Hs.173946	unknown	1.5
hypothetical protein FLJ21816	FLJ21816	Hs.444664	unknown	2.1
hypothetical protein KIAA1259	KIAA1259	Hs.525807	unknown	3.4
hypothetical protein LOC338692	LOC338692	Hs.438673	unknown	2.5
kraken-like	dJ222E13.1	Hs.301947	unknown	1.7
