Probe Set ID	Gene Symbol	Gene Title	p-value	spec	tstat	FC	AUC
205590_at	RASGRP1	RAS guanyl releasing protein 1	2.64E-06	0.54	6.4	4.01	0.95
217028_at	CXCR4	chemokine (C-X-C motif) receptor 4	4.41E-05	0.69	5.08	2.35	0.92
206687_s_at	PTPN6	protein tyrosine phosphatase, non-receptor type 6	8.23E-05	0.77	-4.75	-2.15	0.91
210439_at	ICOS	inducible T-cell co-stimulator	1.27E-04	0.77	4.56	3.81	0.91
206641_at	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	3.79E-02	0.62	2.24	2.55	0.91
213539_at	CD3D	CD3d molecule, delta (CD3-TCR complex)	1.75E-04	0.69	4.63	2.82	0.91
208018_s_at	HCK	hemopoietic cell kinase	2.62E-04	0.62	-4.28	-3.14	0.9
203063_at	PPM1F	protein phosphatase 1F (PP2C domain containing)	3.66E-04	0.85	-4.17	-2.31	0.9
208130_s_at	TBXAS1	thromboxane A synthase 1	2.70E-04	0.46	-4.26	-2.51	0.89
216834_at	RGS1	regulator of G-protein signalling 1	3.90E-04	0.62	4.16	3.48	0.87
213388_at	PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	1.47E-03	0.54	-3.64	-2.01	0.86
38487_at	STAB1	stabilin 1	7.95E-04	0.54	-3.87	-2.45	0.86
210982_s_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	4.23E-03	0.69	-3.25	-3.07	0.85
210321_at	GZMH	granzyme H (cathepsin G-like 2, protein h-CCPX)	1.64E-03	0.54	3.55	2.83	0.85
217147_s_at	TRAT1	T cell receptor associated transmembrane adaptor 1	1.19E-03	0.54	3.72	2.82	0.85
206298_at	ARHGAP22	Rho GTPase activating protein 22	7.89E-04	0.62	-3.88	-2.19	0.85
202990_at	PYGL	phosphorylase, glycogen; liver	1.95E-03	0.46	-3.5	-2.01	0.85
221671_x_at	IGKC	immunoglobulin kappa constant	1.62E-03	0.46	3.56	3.1	0.85
221651_x_at	IGKC	immunoglobulin kappa constant	1.65E-03	0.46	3.57	2.92	0.85
207651_at	GPR171	G protein-coupled receptor 171	1.13E-03	0.62	3.7	3.01	0.85
202988_s_at	RGS1	regulator of G-protein signalling 1	1.48E-03	0.54	3.59	2.95	0.84
213418_at	HSPA6	heat shock 70kDa protein 6	1.63E-02	0.62	-2.61	-2.34	0.83
209901_x_at	AIF1	allograft inflammatory factor 1	3.52E-03	0.54	-3.24	-2.48	0.83
205488_at	GZMA	granzyme A	4.43E-03	0.46	3.18	2.75	0.83
217022_s_at	IGHA1	immunoglobulin heavy constant alpha 1	3.43E-03	0.69	3.36	2.56	0.83
207339_s_at	LTB	lymphotoxin beta (TNF superfamily, member 3)	1.34E-03	0.46	3.65	2.4	0.83
206337_at	CCR7	chemokine (C-C motif) receptor 7	1.14E-03	0.54	3.71	2.08	0.83
208894_at	HLA-DRA	major histocompatibility complex, class II, DR alpha	6.14E-03	0.46	-3.05	-2.58	0.82
39729_at	PRDX2	peroxiredoxin 2	5.81E-03	0.54	3.05	2.13	0.82
209500_x_at	TNFSF13	tumor necrosis factor (ligand) superfamily, member 13	1.23E-03	0.46	-3.68	-2.02	0.82
214677_x_at		immunoglobulin lambda locus	4.69E-03	0.46	3.17	2.86	0.82
210314_x_at	TNFSF13	tumor necrosis factor (ligand) superfamily, member 13	3.48E-03	0.46	-3.24	-2.05	0.81
209138_x_at		Immunoglobulin lambda locus	4.17E-03	0.54	3.17	3.41	0.8
207831_x_at	DHPS	deoxyhypusine synthase	1.09E-02	0.62	-2.77	-2.05	0.8
215121_x_at		immunoglobulin lambda locus	1.20E-02	0.46	2.72	4.42	0.79
215946_x_at		similar to omega protein	1.10E-02	0.46	2.76	2.46	0.79
204069_at	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog	1.01E-02	0.62	-2.89	-2.14	0.78
204698_at	ISG20	interferon stimulated exonuclease gene 20kDa	6.93E-03	0.46	2.95	2.39	0.78
209906_at	C3AR1	complement component 3a receptor 1	1.49E-02	0.54	-2.65	-2.05	0.77
205608_s_at	ANGPT1	angiopoietin 1	6.40E-03	0.46	-3.11	-2.18	0.76
205927_s_at	CTSE	cathepsin E	2.02E-02	0.46	2.55	2.05	0.76
215051_x_at	AIF1	allograft inflammatory factor 1	1.54E-02	0.62	-2.62	-2.03	0.76
205609_at	ANGPT1	angiopoietin 1	4.12E-02	0.54	-2.2	-3.11	0.73
202890_at	MAP7	microtubule-associated protein 7	3.30E-02	0.62	-2.3	-2.31	0.73
203485_at	RTN1	reticulon 1	2.60E-02	0.54	-2.4	-2.29	0.72
