Gene symbol	Gene name	Function	Fold change CD57+ versus CD57+
B3GAT1	Beta-1,3-Glucuronyltransferase (CD57 transferase)	Cell adhesion	56
GZMB	Granzyme B	Proteolysis	4.6
CD38	CD38 antigen (p45)	Cell death regulation	5
HLA-DQ	MHC class II	Cell adhesion/antigen processing	3.5
HLA-DR	MHC class II	Cell adhesion/antigen processing	5.2
PRSS23	Serine protease 23	Effector cells, antiviral	8.4
TNFRS7 (CD27)	TNFRSF	Lymphocyte homeostasis	-2.2
CD28	CD28 antigen (Tp44)	Cell death regulation	-11.3
IL7R	IL-7R	Signal transduction	-2.2
BCL2	B cell lymphoma 2	Cell death regulation	-2.8
CCR7	Chemokine receptor 7	Homing marker	-2.8
