Probe Set	Entrez	UniGene	Name	Log Fold Change	q value
1635_at	25	Hs.431048	v-abl Abelson murine leukemia viral oncogene homolog 1	0.9929738	0
1636_g_at	25	Hs.431048	v-abl Abelson murine leukemia viral oncogene homolog 1	0.67265845	0
39730_at	25	Hs.431048	v-abl Abelson murine leukemia viral oncogene homolog 1	0.70010206	0
37374_at	307	Hs.422986	annexin A4	0.69067958	0
33385_g_at	831	Hs.440961	calpastatin	0.83131365	0
41257_at	831	Hs.440961	calpastatin	0.80733291	0
38578_at	939	Hs.355307	tumor necrosis factor receptor superfamily, member 7	1.05959556	0
40953_at	1266	Hs.483454	calponin 3, acidic	1.69533777	0
36638_at	1490	Hs.410037	connective tissue growth factor	2.30697	0
40444_s_at	1500	Hs.166011	catenin (cadherin-associated protein), delta 1	0.22127697	0
37762_at	2012	Hs.436298	epithelial membrane protein 1	1.51964665	0
39631_at	2013	Hs.531561	epithelial membrane protein 2	0.2773792	0
32562_at	2022	Hs.76753	endoglin (Osler-Rendu-Weber syndrome 1)	0.42393289	0
2039_s_at	2534	Hs.390567	FYN oncogene related to SRC, FGR, YES	0.64762611	0
40479_at	2534	Hs.390567	FYN oncogene related to SRC, FGR, YES	0.26737965	0
40480_s_at	2534	Hs.390567	FYN oncogene related to SRC, FGR, YES	0.6005457	0
1249_at	2549	Hs.80720	GRB2-associated binding protein 1	1.30753255	0
32979_at	2549	Hs.80720	GRB2-associated binding protein 1	1.20596394	0
1598_g_at	2621	Hs.369201	growth arrest-specific 6	0.156803696	0
37658_at	2621	Hs.369201	growth arrest-specific 6	0.20614517	0
31728_at	3111	Hs.351874	major histocompatibility complex, class II, DO alpha	0.85682676	0
38833_at	3113	Hs.347270	major histocompatibility complex, class II, DP alpha 1	1.30989781	0
32773_at	3117	Hs.387679	major histocompatibility complex, class II, DQ alpha 1	1.57796165	0
33261_at	3123	Hs.520049	major histocompatibility complex, class II, DR beta 1	0.86814584	0
1036_at	3600	Hs.168132	interleukin 15	0.397729655	0
38488_s_at	3600	Hs.168132	interleukin 15	0.72315196	0
39753_at	3678	Hs.505654	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	0.57028622	0
36334_at	4063	Hs.403857	lymphocyte antigen 9	-0.183582437	0
39613_at	4121	Hs.102788	mannosidase, alpha, class 1A, member 1	0.67765836	0
41439_at	4430	Hs.439620	myosin IB	0.9706903	0
35912_at	4585	Hs.369646	mucin 4, tracheobronchial	0.63564676	0
35362_at	4651	Hs.481720	myosin X	0.79701852	0
39250_at	4856	Hs.235935	nephroblastoma overexpressed gene	0.84018893	0
35643_at	4925	Hs.128686	nucleobindin 2	-1.07643367	0
32696_at	5090	Hs.428027	pre-B-cell leukemia transcription factor 3	0.60584625	0
268_at	5175	Hs.514412	platelet/endothelial cell adhesion molecule (CD31 antigen)	0.396258306	0
37398_at	5175	Hs.514412	Platelet/endothelial cell adhesion molecule (CD31 antigen)	0.67293367	0
40504_at	5445	Hs.530077	paraoxonase 2	2.22795075	0
809_at	5873	Hs.493512	RAB27A, member RAS oncogene family	0.354110206	0
37727_i_at	5955	Hs.79088	reticulocalbin 2, EF-hand calcium binding domain	0.6900473	0
37728_r_at	5955	Hs.79088	reticulocalbin 2, EF-hand calcium binding domain	0.60473326	0
34362_at	6518	Hs.530003	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	0.78953803	0
671_at	6678	Hs.111779	secreted protein, acidic, cysteine-rich (osteonectin)	0.69452209	0
39729_at	7001	Hs.432121	peroxiredoxin 2	-0.67179101	0
1583_at	7133	Hs.256278	tumor necrosis factor receptor superfamily, member 1B	0.78674235	0
33813_at	7133	Hs.256278	tumor necrosis factor receptor superfamily, member 1B	0.54671442	0
40795_at	7273	Hs.134602	titin	0.50243458	0
39755_at	7494	Hs.437638	X-box binding protein 1	0.5949064	0
39756_g_at	7494	Hs.437638	X-box binding protein 1	0.60499791	0
34472_at	8323	Hs.292464	frizzled homolog 6 (Drosophila)	0.47836227	0
34216_at	8609	Hs.471221	Kruppel-like factor 7 (ubiquitous)	0.51273606	0
1211_s_at	8738	Hs.38533	CASP2 and RIPK1 domain containing adaptor with death domain	0.96195087	0
35769_at	9289	Hs.513633	G protein-coupled receptor 56	0.32906291	0
37536_at	9308	Hs.484703	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	0.74027193	0
35951_at	9369	Hs.368307	neurexin 3	0.22604328	0
36655_at	9414	Hs.50382	tight junction protein 2 (zona occludens 2)	0.82269179	0
38968_at	9467	Hs.257761	SH3-domain binding protein 5 (BTK-associated)	0.68047553	0
40051_at	9697	Hs.520182	translocation associated membrane protein 2	0.2971287	0
37363_at	9788	Hs.336994	metastasis suppressor 1	1.55361648	0
40196_at	10217	Hs.475963	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	0.31929916	0
33362_at	10602	Hs.369574	CDC42 effector protein (Rho GTPase binding) 3	1.11284225	0
34237_at	10767	Hs.378532	HBS1-like (S. cerevisiae)	0.56510218	0
38005_at	11046	Hs.494556	solute carrier family 35, member D2	0.34401589	0
34376_at	11142	Hs.472831	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	-0.62131792	0
36008_at	11156	Hs.43666	protein tyrosine phosphatase type IVA, member 3	0.43262294	0
39824_at	11156	Hs.43666	Protein tyrosine phosphatase type IVA, member 3	0.166954753	0
35664_at	22915	Hs.268107	multimerin 1	0.5827878	0
34051_at	23143	Hs.507971	leucine-rich repeats and calponin homology (CH) domain containing 1	0.175495784	0
36536_at	29970	Hs.134665	schwannomin interacting protein 1	1.7324467	0
40936_at	51232	Hs.332847	cysteine rich transmembrane BMP regulator 1 (chordin-like)	0.69198045	0
32467_at	57556	Hs.156967	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	0.173364773	0
36275_at	57556	Hs.156967	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	1.39931996	0
39224_at	116984	Hs.479451	centaurin, delta 1	0.58888382	0
38637_at	4015	Hs.102267	lysyl oxidase	0.35714786	0.01999911
41511_at	4261	Hs.584780	class II, major histocompatibility complex, transactivator	0.49792795	0.01999911
37397_at	5175	Hs.514412	platelet/endothelial cell adhesion molecule (CD31 antigen)	0.412890825	0.01999911
34217_at	8609	Hs.471221	Kruppel-like factor 7 (ubiquitous)	0.207296682	0.01999911
33291_at	10125	Hs.511010	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	-0.7551867	0.01999911
449_at	10668	Hs.59106	cell growth regulator with ring finger domain 1	0.200721283	0.01999911
39257_at	11278	Hs.373857	Kruppel-like factor 12	-0.20241278	0.01999911
35084_at	268	Hs.112432	anti-Mullerian hormone	-0.225006594	0.03775114
37716_at	4345	Hs.79015	CD200 antigen	0.4394139	0.03775114
36514_at	10668	Hs.59106	cell growth regulator with ring finger domain 1	0.27828441	0.03775114
450_g_at	10668	Hs.59106	cell growth regulator with ring finger domain 1	0.25819832	0.03775114
33379_at	117178	Hs.22587	synovial sarcoma, X breakpoint 2 interacting protein	-0.201460686	0.03775114
