U133A probe set	Gene	Gene title	NPM1-mutated	MLL-rearranged	Fold NPM1 v. MLL	t statistic	P	q
205453_at	HOXB2	homeo box B2	2363.6	191.7	12.3	11	<0.0001	0.0001
205366_s_at	HOXB6	homeo box B6	777.7	62.9	12.4	8.2	<0.0001	0.0022
201663_s_at	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	3357.6	1376.4	2.4	7.2	<0.0001	0.0305
208414_s_at	HOXB3	homeo box B3	263.1	71.6	3.7	6.2	<0.0001	0.0391
218656_s_at	LHFP	lipoma HMGIC fusion partner	180.7	45.5	4	5.8	<0.0001	0.0636
221164_x_at	CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	491.1	280.1	1.8	5.8	<0.0001	0.0636
221823_at	LOC90355	hypothetical gene supported by AF038182; BC009203	408.3	158.7	2.6	5.6	<0.0001	0.072
212252_at	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	875.9	1374.6	-1.6	-5.4	<0.0001	0.0906
215237_at	DOCK9	dedicator of cytokinesis 9	114.8	36.5	3.1	5.5	0.0001	0.1041
203589_s_at	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	599.4	233	2.6	5.4	0.0001	0.1052
201427_s_at	SEPP1	selenoprotein P, plasma, 1	3615.1	338.8	10.7	5.2	0.0001	0.1233
202283_at	SERPINF1	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	45	406.1	-9	-5	0.0001	0.1233
202932_at	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	198.5	57.1	3.5	5	0.0001	0.1233
211217_s_at	KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1	51.6	175.2	-3.4	-5.1	0.0001	0.1233
214475_x_at	CAPN3	calpain 3, (p94)	35.3	413	-11.7	-5.6	0.0001	0.1233
217188_s_at	C14orf1	chromosome 14 open reading frame 1	517.8	198.7	2.6	5	0.0001	0.1233
217963_s_at	NGFRAP1	nerve growth factor receptor (TNFRSF16) associated protein 1	2536	288.2	8.8	5.4	0.0001	0.1233
220010_at	KCNE1L	KCNE1-like	31.9	3511.9	-110	-4.9	0.0001	0.1233
220529_at	FLJ11710	hypothetical protein FLJ11710	300.2	115.3	2.6	5	0.0001	0.1233
204497_at	ADCY9	adenylate cyclase 9	38.2	993.6	-26	-5.3	0.0002	0.1446
205522_at	HOXD4	homeo box D4	221.7	91.8	2.4	4.7	0.0002	0.1446
208072_s_at	DGKD	diacylglycerol kinase, delta 130kDa	839.8	1384.6	-1.6	-4.8	0.0002	0.1446
208308_s_at	GPI	glucose phosphate isomerase	2757.3	5216.8	-1.9	-4.7	0.0002	0.1446
215143_at	FLJ36166	Hypothetical protein FLJ36166	289.3	153.8	1.9	4.6	0.0002	0.1446
221763_at	JMJD1C	jumonji domain containing 1C	422.5	985.4	-2.3	-4.9	0.0002	0.1446
201830_s_at	NET1	neuroepithelial cell transforming gene 1	537.3	240.8	2.2	4.6	0.0002	0.1505
209663_s_at	ITGA7	integrin, alpha 7	37.4	316.2	-8.5	-4.6	0.0002	0.1505
201841_s_at	HSPB1	heat shock 27kDa protein 1	309.8	1925.2	-6.2	-4.6	0.0003	0.1551
204494_s_at	DKFZP434H132	DKFZP434H132 protein	658.5	1275	-1.9	-5.9	0.0003	0.1551
205600_x_at	HOXB5	homeo box B5	987.1	503.1	2	5.6	0.0003	0.1551
206653_at	POLR3G	Polymerase (RNA) III (DNA directed) polypeptide G (32kD)	188.3	92.4	2	4.7	0.0003	0.1551
218176_at	MAGEF1	melanoma antigen, family F, 1	311.8	709.3	-2.3	-4.5	0.0003	0.1551
220507_s_at	UPB1	ureidopropionase, beta	20.6	133.4	-6.5	-4.5	0.0003	0.1551
221606_s_at	NSBP1	nucleosomal binding protein 1	178.4	52.9	3.4	4.5	0.0003	0.1551
200684_s_at	UBE2L3	ubiquitin-conjugating enzyme E2L 3	455.8	686.6	-1.5	-4.7	0.0005	0.1618
201596_x_at	KRT18	keratin 18	633.1	221.6	2.9	4.3	0.0005	0.1618
202117_at	ARHGAP1	Rho GTPase activating protein 1	2276.7	3606.1	-1.6	-4.6	0.0004	0.1618
202216_x_at	NFYC	nuclear transcription factor Y, gamma	693.3	962.2	-1.4	-4.8	0.0004	0.1618
202351_at	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	376.5	101.2	3.7	4.2	0.0005	0.1618
203582_s_at	RAB4A	RAB4A, member RAS oncogene family	462	630.3	-1.4	-4.3	0.0005	0.1618
204030_s_at	SCHIP1	schwannomin interacting protein 1	1404.5	306.8	4.6	4.4	0.0004	0.1618
204943_at	ADAM12	a disintegrin and metalloproteinase domain 12 (meltrin alpha)	254.2	134.1	1.9	4.5	0.0004	0.1618
207071_s_at	ACO1	aconitase 1, soluble	798	503.6	1.6	4.5	0.0004	0.1618
207209_at	CETN1	centrin, EF-hand protein, 1	323.7	200.7	1.6	4.5	0.0004	0.1618
207231_at	DZIP3	zinc finger DAZ interacting protein 3	100.7	43.7	2.3	4.5	0.0003	0.1618
211984_at	CALM1	calmodulin 1 (phosphorylase kinase, delta)	745.4	1425.6	-1.9	-4.8	0.0005	0.1618
212748_at	MKL1	megakaryoblastic leukemia (translocation) 1	632	1096.1	-1.7	-4.8	0.0004	0.1618
213603_s_at	RAC2	ras-related C3 botulinum toxin substrate 2	9557.6	13528.7	-1.4	-5.1	0.0004	0.1618
213915_at	NKG7	natural killer cell group 7 sequence	750.9	2885.1	-3.8	-4.7	0.0005	0.1618
217234_s_at	VIL2	villin 2 (ezrin)	409.7	970.1	-2.4	-4.5	0.0004	0.1618
217823_s_at	UBE2J1	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	1071.4	1835	-1.7	-4.4	0.0004	0.1618
217975_at	WBP5	WW domain binding protein 5	609.6	157.8	3.9	4.4	0.0003	0.1618
219360_s_at	TRPM4	transient receptor potential cation channel, subfamily M, member 4	14.7	599.8	-40.8	-4.5	0.0005	0.1618
220608_s_at	FLJ20582	Hypothetical protein FLJ20582	233.7	121.2	1.9	4.3	0.0005	0.1618
200675_at	CD81	CD81 antigen (target of antiproliferative antibody 1)	1498.3	3139.1	-2.1	-4.2	0.0006	0.1651
203271_s_at	UNC119	unc-119 homolog (C. elegans)	69.1	274.8	-4	-4.2	0.0006	0.1651
203747_at	AQP3	aquaporin 3	297.1	125.6	2.4	4.2	0.0006	0.1651
205462_s_at	HPCAL1	hippocalcin-like 1	347.8	707.1	-2	-5.4	0.0005	0.1651
208621_s_at	VIL2	villin 2 (ezrin)	366.5	674.5	-1.8	-4.3	0.0006	0.1651
208623_s_at	VIL2	villin 2 (ezrin)	452.9	1134.2	-2.5	-4.3	0.0006	0.1651
211075_s_at	CD47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	3102.3	2024.6	1.5	4.2	0.0006	0.1651
212541_at	PP591	FAD-synthetase	295.9	497	-1.7	-4.6	0.0006	0.1651
213623_at	KIF3A	kinesin family member 3A	148.5	86	1.7	4.3	0.0006	0.1651
213848_at	DUSP7	Dual specificity phosphatase 7	411.8	695.7	-1.7	-4.2	0.0005	0.1651
214655_at	GPR6	G protein-coupled receptor 6	11.6	63.7	-5.5	-4.3	0.0006	0.1651
215841_at	GUCA1B	guanylate cyclase activator 1B (retina)	203.3	93.2	2.2	4.2	0.0006	0.1651
202731_at	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	881.8	632.8	1.4	4.2	0.0006	0.167
222319_at	---	---	410	176.1	2.3	4.3	0.0007	0.1679
206470_at	PLXNC1	plexin C1	41.1	300.3	-7.3	-5.1	0.0007	0.1699
216216_at	SLIT3	slit homolog 3 (Drosophila)	102.2	47.3	2.2	4.1	0.0007	0.1699
217520_x_at	LOC283683	hypothetical protein LOC283683	306.9	854.3	-2.8	-4.1	0.0007	0.1699
205142_x_at	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	402	760	-1.9	-4.1	0.0007	0.1723
212285_s_at	AGRN	agrin	525.3	304.6	1.7	4.4	0.0007	0.1723
216701_at	---	---	107.8	40.5	2.7	4.1	0.0007	0.1723
219469_at	DNCH2	dynein, cytoplasmic, heavy polypeptide 2	202.4	108.1	1.9	4.1	0.0007	0.1723
209160_at	AKR1C3	aldo-keto reductase family 1, member C3	3588.5	511.8	7	4.1	0.0008	0.1881
211659_at	GPR135	G protein-coupled receptor 135 /// G protein-coupled receptor 135	26.6	16	1.7	4	0.0008	0.1881
213110_s_at	COL4A5	collagen, type IV, alpha 5 (Alport syndrome)	966	253.2	3.8	4.1	0.0008	0.1889
206389_s_at	PDE3A	phosphodiesterase 3A, cGMP-inhibited	97.8	35.7	2.7	4.2	0.0009	0.1897
200009_at	GDI2	GDP dissociation inhibitor 2	6573.7	7660.6	-1.2	-4.1	0.0009	0.1919
200743_s_at	CLN2	ceroid-lipofuscinosis, neuronal 2, late infantile	3941.9	6573.3	-1.7	-4	0.001	0.1919
201829_at	NET1	neuroepithelial cell transforming gene 1	500.8	314.2	1.6	4.1	0.0009	0.1919
203588_s_at	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	1581	382.8	4.1	4.1	0.001	0.1919
206851_at	RNASE3	ribonuclease, RNase A family, 3 (eosinophil cationic protein)	1380.9	7043.5	-5.1	-4.2	0.001	0.1919
