Order	F	ProbeSet	Contrast	P-value	Boot- strap	Gene symbol	Chromosome	Description
1	143.9	1495_at	2222.37	0.002	2.8	LTBP1	2p22-p21	latent transforming growth factor beta binding protein 1
2	115.4	36143_at	1151.13	0.003	7.4	CASP3	4q34	caspase 3, apoptosis-related cysteine protease
3	93.07	38095_i_at	-3098.79	0.004	11.3	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
4	92.22	37242_at	2267.99	0.011	22.7	FTO	16q12.2	fatso
5	87.82	41027_at	3380.03	0.015	23.3	FOXC1	6p25	forkhead box C1
6	81.26	32667_at	1600.12	0.003	21.6	COL4A5	Xq22	collagen, type IV, alpha 5 (Alport syndrome)
7	80.55	37344_at	-1905.37	0.010	21.4	HLA-DMA	6p21.3	major histocompatibility complex, class II, DM alpha
8	77.88	38096_f_at	-2678.34	0.012	25.8	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
9	77.65	35016_at	-2326.1	0.007	30.2	CD74	5q32	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
10	75.92	38833_at	-2496.39	0.005	27.4	HLA-DPA1	6p21.3	major histocompatibility complex, class II, DP alpha 1
11	74.75	34748_at	2148.38	0.015	30.3	RASGRP 3	2p25.1-p24.1	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
12	72.68	41723_s_at	-2809.97	0.001	24.5	HLA-DRB3	6p21.3	major histocompatibility complex, class II, DR beta 3
13	69.23	33279_s_at	604.94	0.010	47.2	SAH	16p13.11	SA hypertension-associated homolog (rat)
14	68.7	41348_at	430.79	0.034	74.9	IRX5	16q11.2-q13	iroquois homeobox protein 5
15	67.7	34789_at	-1632.72	0.021	51.2	SERPINB 6	6p25	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6
16	67.19	37039_at	-3488.24	0.009	37.8	HLA-DRA	6p21.3	major histocompatibility complex, class II, DR alpha
17	64.42	39771_at	856.69	0.013	44.3	RHOBTB 1	10q21.3	Rho-related BTB domain containing 1
18	63.67	40304_at	255.8	0.030	66.8	BPAG1	6p12-p11	bullous pemphigoid antigen 1, 230/240kDa
19	60.33	35158_at	2565.4	0.025	74.7	MYCN	2p24.1	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
20	59.94	33371_s_at	-1716.1	0.007	39.3	RAB31	18p11.3	RAB31, member RAS oncogene family
21	58.09	37423_at	646.87	0.043	96.4	SLC12A2	5q23.3	solute carrier family 12 (sodium/potassium/chloride transporters), member 2
22	56.43	1500_at	1108.42	0.021	62.5	WT1	11p13	Wilms tumor 1
23	55.8	37012_at	-791.91	0.015	60.4	CAPZB	1p36.1	capping protein (actin filament) muscle Z-line, beta
24	55.72	34878_at	1047.46	0.013	59.7	SMC4L1	3q26.1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)
25	54.38	539_at	559.79	0.020	77.8	RYK	3q22	RYK receptor-like tyrosine kinase
26	53.96	34332_at	-1454.48	0.024	57	GNPI	5q21	glucosamine-6-phosphate isomerase
27	53.66	39713_at	955.02	0.027	69.2	PLU-1	1q32.1	putative DNA/chromatin binding motif
28	52.82	39061_at	-1451.89	0.034	109.4	BST2	19p13.2	bone marrow stromal cell antigen 2
29	52.62	33955_at	514.57	0.041	94.9	IL12A	3p12-q13.2	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)
30	52.3	40763_at	1188.89	0.039	94.4	MEIS1	2p14-p13	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)
31	52.21	33982_f_at	593.16	0.032	110.7	ZNF43	19p13.1-p12	zinc finger protein 43 (HTF6)
32	50.47	36506_at	777.65	0.042	110.4	AKAP9	7q21-q22	A kinase (PRKA) anchor protein (yotiao) 9
33	50.34	36508_at	656.14	0.043	155.4	GPC4	Xq26.1	glypican 4
34	50.12	37033_s_at	-1183.61	0.024	79.2			H.sapiens unspliced mRNA for glutathione peroxidase
35	49.99	36773_f_at	-2147.69	0.022	84.1	HLA-DQB1	6p21.3	major histocompatibility complex, class II, DQ beta 1
36	49.93	38050_at	926.66	0.034	100.3	BTF	6q22-q23	Bcl-2-associated transcription factor
37	49.9	37398_at	-1666.57	0.033	91.1	PECAM1	17q23	platelet/endothelial cell adhesion molecule (CD31 antigen)
38	48.6	41609_at	-1525.42	0.015	88.8	HLA-DMB	6p21.3	major histocompatibility complex, class II, DM beta
39	48.48	31852_at	814.99	0.028	103.7	DKFZP56 4O043	7p21	hypothetical protein DKFZp564O043
40	48.29	33721_at	241.38	0.054	148.8	ABCC2	10q24	ATP-binding cassette, sub-family C (CFTR/MRP), member 2
41	47.98	33280_r_at	1171.99	0.039	124	SAH	16p13.11	SA hypertension-associated homolog (rat)
42	47.9	36970_at	603.34	0.039	93.6	KIAA018 2	16q24.1	KIAA0182 protein
43	46.86	39616_at	985.55	0.054	177.1	PTGER3	1p31.2	prostaglandin E receptor 3 (subtype EP3)
44	46.8	33278_at	894.96	0.057	130.3	SAH	16p13.11	SA hypertension-associated homolog (rat)
45	46.55	35847_at	926.92	0.060	141.4	USP24	1p32.3	ubiquitin specific protease 24
46	46.49	34756_g_at	472.63	0.037	108.8	ADPRTL 2	14q11.2-q12	ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase)-like 2
47	45.78	34417_at	1100.8	0.037	132.8	FLJ36166	7q22.1	hypothetical protein FLJ36166
48	45.45	32802_at	470.05	0.043	122.5	TEB4	5p15.2	similar to S. cerevisiae SSM4
49	45.2	268_at	-1041.62	0.060	135.9			---
50	44.7	36878_f_at	-2053.07	0.021	104.4	HLA-DQB1	6p21.3	major histocompatibility complex, class II, DQ beta 1
